parameter,coefficient,p_value
Intercept,10.439364559713741,3.0502901528643714e-22
C(gender_male)[T.1],-0.22535176403924106,0.8337522487076605
age_mc,-0.8454024705645664,0.048024660418276785
C(gender_male)[T.1]:age_mc,0.8617471456643455,0.14534344420302456
age_mc2,0.029798417149037304,0.7399358235451539
z_ucla,-0.06792505184677233,0.9362688703667738
z_ucla:C(gender_male)[T.1],2.2916296182141673,0.04360901642329746
z_ucla:age_mc,0.8597642850436629,0.05937973600317924
z_ucla:C(gender_male)[T.1]:age_mc,-1.0193470482782192,0.10229978526442834
z_dass_dep,-0.6538503205627433,0.443995068332271
z_dass_anx,0.10184812438493829,0.8977664457711347
z_dass_str,-0.8742569904899795,0.26555502483259336
