parameter,coefficient,std_err,t_value,p_value
Intercept,-1.1355719687520687e-15,953237503.5928626,-1.191279156004633e-24,1.0
C(gender_male)[T.1.0],1.0758146953160456e-13,1853293889.364104,5.804879093866626e-23,1.0
t2_error_prev,235.39201803005548,61.65646309410029,3.81779956581031,0.0001346472446949966
t2_error_prev:C(gender_male)[T.1.0],-6.183091841761097,100.69521289883807,-0.06140402968284945,0.951037443194974
z_ucla,-1.0569584356840838e-14,591034438.4869765,-1.7883195408880966e-23,1.0
z_ucla:C(gender_male)[T.1.0],-7.580876619745378e-14,,,
t2_error_prev:z_ucla,-103.1775043339849,58.34014038345028,-1.7685508409104533,0.07696886067123457
t2_error_prev:z_ucla:C(gender_male)[T.1.0],130.38377118855777,106.13074608403083,1.2285202544917964,0.2192517307676929
soa_scaled,-226.98365767606106,7.262933124428903,-31.25234031311684,2.0749053166690204e-214
z_dass_dep,2.859785104966772e-15,18448721.687313464,1.5501264279645703e-22,1.0
z_dass_anx,-1.9071819034281656e-14,,,
z_dass_str,-1.0083763863487233e-14,740753412.2416333,-1.3612848347160788e-23,1.0
z_age,8.629636941165681e-14,364953181.7463249,2.3645873971757976e-22,1.0
Group Var,0.0,,,
