task,participant_id,tau_q1,tau_q2,tau_q3,tau_q4,tau_slope,n_trials
stroop,06qcrpGKL6Vc3LVplFQC90VAcRm1,156.5172404333858,122.04411158793187,36.57417548400217,110.77049563134798,-45.746744802037824,107
stroop,0ZtXlQtAJkW6jS21vfMOtNL4OnL2,187.38878385320552,434.8599869287184,167.07047323973188,102.72112373031361,-84.66766012289192,106
stroop,0d841i8KPjdjwCYfDuUUXj0SEjH2,225.26019347125106,248.272604941085,205.8571450189002,174.05325389765844,-51.20693957359262,105
stroop,0oa5NYVnIBS9NmrmRAZrahXDctP2,174.59838019649712,112.34258315519601,68.5016677001213,71.23097434805337,-103.36740584844375,104
stroop,146QT9LupyU2BAiTsB3PMIpVXM22,233.20645200012748,187.03464528953657,151.2769631448463,129.26459262115927,-103.94185937896822,107
stroop,1Vb7DcXYw9R86bw5qj9eBk9fPqA2,296.079939837633,294.5096961455228,430.6907145591107,300.7782361415647,4.698296303931727,107
stroop,1dpmVw8fpcc2IHs0s9WqdU8Yvi53,254.551429265199,270.10556217387676,91.6101831245968,99.368879797337,-155.182549467862,107
stroop,1tT7dcLvf0bMGBdBWWYd8YkdJwr1,450.49980245494606,130.90048621717324,407.57281086957414,355.04729999808137,-95.45250245686469,106
stroop,23AEyocWhqY955WHbxhHRSgQ1ms2,247.05480312798923,77.26724412413697,70.95000212098803,154.76219109129852,-92.29261203669071,107
stroop,2h5FgHUEvBS1twD5DqbTIRrMm1f2,162.45518257686578,343.75308453542203,194.77955508174944,165.42316120091863,2.967978624052847,107
stroop,2zDXvJKvjeejeOSNbtDbtSI5cdz1,0.0,132.02946643072133,157.43607242358536,96.4924788879022,96.4924788879022,108
stroop,3WijiOiVCoMbn80F05SPYsxl0TC2,226.28124548398898,118.40552961476195,71.87319914755973,189.844866749221,-36.43637873476797,108
stroop,3xCaqfcHxRQxuOlEzXz3PNcHODH2,300.2016929291269,105.16761852244689,261.58989230273903,93.6746475247055,-206.52704540442141,105
stroop,4ySuGdFDDmaAr6JUXbD4UIY6BQ13,194.01552134203337,188.4367802376745,223.47827291119577,154.63781170786422,-39.37770963416915,108
stroop,5OOi73igsahMZ5IVKQwwyhnj4Cn2,78.26230147949953,131.12581451277725,132.5864693053511,145.07842233842624,66.81612085892671,107
stroop,5rXSa3anB5ejmFrnwUsTB82byup1,177.7828022648204,221.64248030401205,218.99011444302883,243.0620966524583,65.27929438763792,108
stroop,5zxa5CMLGQSSonWOXqXf0QNS3PH3,307.34764979539364,101.72725074904915,103.00259059228846,69.75526200108433,-237.5923877943093,107
stroop,62fAfeQc27bZelkPX7G54T3gvci2,176.09430395442166,371.4486714132071,106.40665757082276,384.959326358178,208.8650224037563,106
stroop,6ABZuv4jbjgE0B8TeyUk6nwVb122,77.83302328264283,148.4074903126788,220.4271801878299,238.7587201525419,160.92569686989907,108
stroop,6WFCyGwk71XLPBmbe4Vav3eotVm1,112.39998985321967,122.99583146068177,86.66844625362879,125.88516871722855,13.485178864008887,108
stroop,7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,228.48576689772057,105.47699074664725,194.29970094676736,188.4650972809767,-40.020669616743874,108
stroop,80UJMJbCOMgs6YVpsMgXfYTzw6o2,112.87158337101555,0.0,48.835155495428076,0.0,-112.87158337101555,108
stroop,87w5Le0CgZhSfYAaOH3Xd2fc98l1,307.12227835807215,331.67040514542674,374.9107184482799,282.8366241086716,-24.28565424940058,106
stroop,8bwaafIhKVMNBoHaXFcY8HirS9u2,175.17325116348795,195.72119099559026,55.289388873136886,148.32863620607856,-26.84461495740939,106
stroop,8cOQBMgQEYSlJ4CK60pFMmBVEBV2,321.9986641209252,322.22952935912076,142.0091604213151,216.44398405701986,-105.55468006390532,107
stroop,8mscvscxtXf7EbbLqCyy4a4pl2q2,0.0,190.02958360073214,189.87901605974142,231.10601953372162,231.10601953372162,108
stroop,9Xz1RIwnPXgyRqmucudW9VeuDnq1,274.389775823258,174.54239083596377,436.0396413392705,434.73842608874116,160.34865026548317,103
stroop,9l7DjYLs0XdgwykPZR5E01KTZfu2,189.26544338106987,316.8732178677746,192.2797771236668,194.52623221524973,5.260788834179863,105
stroop,A9AEg0g6c2P1Bk72HLmnK3oWJ9B2,329.9467114680775,226.75942973103918,120.07674509802457,309.9347867996585,-20.011924668419,108
stroop,ASGvwW80q7VY7xFaLGZhVuErUQu2,142.47621862410998,118.41779779199895,47.520361560389205,0.0,-142.47621862410998,105
stroop,AUKCfn4HzgVB7m6LNnh2gQb7G5s2,293.7796912055739,138.35651433271687,389.16252372011627,165.25996393669672,-128.51972726887718,107
stroop,AsXBOflrszVNKoFqbN61bMJqS0k2,126.47789506976477,148.26669705099695,263.81260616659137,109.51124078026736,-16.966654289497413,104
stroop,AyAnuCaltBbpEYbudoyNzTvXlcC2,410.92201929489147,165.16155288227714,513.2843711700535,272.0656227380629,-138.85639655682854,104
stroop,BbwUTWswjtPWhb5DvLAmh9Hdpyl2,221.64197529432616,176.43250438329542,165.22327564810354,186.18446203413254,-35.45751326019362,107
stroop,BcCTlXWx6ARh4rBtkdWRgZH3C7H2,79.09295616432216,152.31320499288847,179.46942108403775,122.20309909767948,43.110142933357324,106
stroop,CDEoAyvS8feXLKMKsaZah9agEhF3,146.1730877221165,231.57685863279383,167.9830713216972,291.62140672728367,145.44831900516718,108
stroop,CGyTPhevTbSvVnZ8qSP0NtWuhgw1,361.268485582667,404.016964167333,97.26472405966332,347.3116144224867,-13.956871160180299,107
stroop,CUNlBEszJVRGK1jWlTaOaCqpDg53,190.63558886731585,149.61713869987742,0.0,124.83637657131781,-65.79921229599803,108
stroop,Cbkx2NHyF3NrebzXGqNgSfiWent1,193.23029610766616,167.21641770419046,207.24327104355987,105.67844067740883,-87.55185543025733,107
stroop,Co587hoelyeANqFX7AYvuVQW0lZ2,170.7415265872751,112.24938508053438,163.32704813364992,150.04353633102025,-20.697990256254855,107
stroop,CtJe4bZZnYUBNrcPk00d3YQFSGp2,31.504572490154946,146.07636960638428,93.62569831612483,84.23883569328979,52.734263203134844,108
stroop,DAKDKPH698P12JfTbbjemLI6PIH2,173.96154689481952,84.09833490792272,65.97588423716414,128.14935213825714,-45.81219475656238,108
stroop,DPvStUYSmohmXwFwaKRqHv89R3k1,185.63202197055284,254.9809029223395,102.79593725699199,460.3822426679743,274.75022069742147,105
stroop,DaRehVxIOhXtEtUExdgvUl0mKcx2,306.15350720758505,202.59749066377384,307.3364156885826,200.88482699332943,-105.26868021425562,107
stroop,Df83JuPuJkXqTGbENhM2gw5SJM43,262.28609197431734,353.4642968795787,373.4136205038118,235.50150765414708,-26.784584320170268,104
stroop,DzB19GqCB7fyrlEPexogWkjFzEx2,204.42355779952075,339.87358471549123,233.04069904659596,484.94772234487743,280.5241645453567,106
stroop,EEodWwGh0wWq5f8JmzfKvq0lyeu1,196.01927032796834,189.39851524263142,102.08736843395522,248.59427362104523,52.57500329307689,102
stroop,EUhcW9kURScie1DwGPHqmNqotJB2,214.71390512558892,260.3039640703802,249.86606648522155,160.73665038897687,-53.97725473661205,107
stroop,EmfmKFDgWJdW47a6CNTNjnbYaPh2,182.4184244276589,124.30978320271893,176.3241247833068,185.97351720245337,3.555092774794474,108
stroop,EoToosG69XMp4LTYdB6sB9WTrv22,121.6648613533173,154.63302821273146,0.0,114.67614037663448,-6.988720976682828,107
stroop,Fz7EUjZCLuUBxLDUVtN6djaBTy42,153.57051881997174,145.906747258262,256.516998881822,61.5421050555509,-92.02841376442083,108
stroop,G1Ff3XYUZMRsPafyEQ80ussnVlf1,225.022454108689,190.22983690862844,136.110197341701,258.79064143674714,33.76818732805813,108
stroop,G9VruXninjUdE9czK2DambZl5li2,165.92390304827103,178.64618873628208,194.11060832078545,300.6018759333141,134.67797288504306,105
stroop,GDZGRW51kbWtAdUIHCtEd8sAtqY2,221.0488501933205,280.1504411054486,147.9673125571686,175.73397265312516,-45.31487754019534,108
stroop,GE4hogtdLdTFbNasENgtm6SO3hC3,236.27113370501104,0.0,205.63766817078115,224.68629874296255,-11.58483496204849,104
stroop,GEwkBw3YHaNp3TCh9YS9PKVfavz1,167.61831041584324,163.66495995288003,144.90465563146907,111.07602767912664,-56.5422827367166,107
stroop,HSggdq91WiQp16bOj7V3dABkcgk2,238.1303368554268,165.8312203306141,102.2002640583214,0.0,-238.1303368554268,108
stroop,HbydnnT1hUP3WagAy2TJAc6GqVs2,195.88302533529145,61.44955961151832,183.11479626970845,257.7679795567616,61.88495422147014,108
stroop,HyQM2xKwwuVfqidmRYF6TiRk90C2,165.25523676895526,0.0,250.21562664514056,125.73517697253732,-39.52005979641794,108
stroop,IaTJhUGICmO9xcL3605RW8QHneN2,421.85071275460047,139.8622372631206,28.247159194280783,101.76243802410826,-320.08827473049223,106
stroop,JntnHLHjYhc0xJJQALM3h9R5Ozv1,349.2730174847943,94.26447411995187,112.64538398486484,158.62822836602348,-190.64478911877083,106
stroop,Jp6aXC9KLjcFZBaQdZl4i9dUscl1,213.05642519531227,266.2062389871052,130.9626989665716,215.6194926462291,2.563067450916833,108
stroop,K26uNuY0VNPjJNF26wEx3bFg0kr2,223.12886082606508,127.55991015801597,156.77488938770395,83.79133941254145,-139.33752141352363,107
stroop,K7ykiXe6CqQUKpEzs2nYrMTVuDA2,242.89099862266457,76.31277004867202,63.98902767579354,106.931285584252,-135.9597130384126,108
stroop,LSLmd8jENtONZFVkIpRDX665Bu73,139.6641130607296,211.26094030403806,162.75824025978756,365.3236660598583,225.6595529991287,108
stroop,Lhv9P8ZrkDSIB7BGwooAqfu8SGF3,194.2707833455952,94.78405726170726,98.35339309246632,0.0,-194.2707833455952,108
stroop,LliUMEIsrCVZ88YFQfevan2Og4z1,0.0,369.21071049263145,46.617364799149215,151.91791768692067,151.91791768692067,106
stroop,M4Km1Q2P2oPliChDQkwl6k20FUI3,113.12062944336645,224.49993412119804,90.20629549041455,140.76627393054542,27.64564448717897,107
stroop,MMSYeiMQi3gMr4PrXQcpXzFiegj2,354.8220903375964,180.94046437709403,314.8967030445345,220.30227628129393,-134.5198140563025,107
stroop,O61Eik2zvrSQLMNpFbTNEgjWwMr2,173.60144160073557,121.14143720065695,155.76263347942586,216.44325666608927,42.8418150653537,107
stroop,OExlWyngGfPrScDYjaRcv5PIAet1,192.51802412346876,174.97048033871368,179.14985913686314,102.71029422898847,-89.80772989448029,108
stroop,ORuVuFPU5idz3fMoXTGsbwToW2j2,132.06244514070815,316.3758292086111,183.43173143279375,376.56397516959476,244.5015300288866,107
stroop,ORvIk1xRWIQmKuLVe6GXNouvAXx2,106.72033318405762,268.04050565064415,189.01790296084047,437.9847901212251,331.2644569371675,104
stroop,P9bS6GGJcIXivbMWo4ibJ5jgUPG2,370.1353315300133,409.52627425069346,222.92455929954454,359.54550173304887,-10.589829796964409,104
stroop,PLreonkqaMeFc0UqxKUelH44UQu1,175.91376775725277,89.88105315419146,177.0819620859251,216.3107588858386,40.396991128585825,105
stroop,PkpTH7pWpEOG9A86xSloOSozwTk2,76.69751204790626,311.7684147693593,99.1150086167604,0.0,-76.69751204790626,106
stroop,QG6VXg7od2fHJ1SF9ZzYBqUa1FY2,170.62516908972398,186.58485436457804,92.67235607108998,254.19213132455337,83.56696223482939,107
stroop,QbOEVCaZLUMOgltUdXm58oZOALv2,232.4656326403731,0.0,0.0,153.0164801452486,-79.44915249512448,107
stroop,Qg9GDwQ9hBNkDLt50CNLd4NqRlX2,181.50394752546185,160.20158972507306,162.3465683104843,193.64164301445027,12.137695488988413,108
stroop,QreA2rLiUhV3YHeMfuHMPdGbpJ53,87.90218927185202,279.93325145145644,332.7369844072927,310.83951277716017,222.93732350530814,105
stroop,Qv0jhW3sqicqQvd7LfReAsI7nD73,148.84079510366755,242.87108824022494,114.93077787321855,93.35799827681036,-55.48279682685718,108
stroop,Rc706mP0TSeIoIpMYH1SpRXjOxA2,146.65731375422314,156.5465733909984,0.0,0.0,-146.65731375422314,106
stroop,Rmd4rr2vGjOoLvdfYd4EdYyxK3m1,227.89015003187313,215.13275226622198,146.6845971049484,82.17085853933351,-145.71929149253964,108
stroop,Ru3Qf6pXZua1DfNkQdhbor6iJ403,260.0536102943503,442.5856396826769,281.7333972793234,322.9759643755307,62.9223540811804,103
stroop,SOhR7IO689NQCPQu56SjATO8FR92,283.7921101604626,172.4907504054951,318.69658460933454,159.04426292210124,-124.74784723836135,102
stroop,SPCT9D90pRa1ihXS5jEw6vCmquI3,213.28860808394222,75.14005032221043,235.96864038696162,113.98531620133775,-99.30329188260447,105
stroop,SdDjNMBD2ZMTEwUphkohi2cZwUx1,115.59686229981007,160.78147719586428,171.02534896049357,184.2932063370145,68.69634403720444,108
stroop,SpSfX0ZcfcPLdlOENlfdfvEPwru2,151.7290243436071,165.5672777877246,137.11251812051444,110.58194984505947,-41.14707449854764,107
stroop,ToTCRJ4EX9OL6UlJqmDkaEbggWF2,130.97334339449029,284.6822818425448,143.20210759704847,128.88863266827505,-2.084710726215235,108
stroop,Ub7nV8F55kPruh35ZpUcKoBUyn63,208.1057816686235,290.4062106282953,290.03204606051014,230.58603409149413,22.48025242287062,107
stroop,UbwuSMtBsHdW3Ji41opk3GInMqi2,205.58960872670377,62.258912668820656,0.0,0.0,-205.58960872670377,107
stroop,VwTymW8T68MfpnJvZ2X97ILqDWS2,221.27949070081945,173.47399310377318,263.59388766694644,459.6185117125979,238.33902101177847,104
stroop,WKzqsLX1lNVSdbGgYTTVGtFwsrF3,195.54887266201087,90.2642394390582,0.0,313.3036745760533,117.75480191404245,108
stroop,WbOfW9KmUkPQK8o5hlHJnJFdpp92,271.3918691483644,214.640598615542,225.72823587488386,434.3447033556531,162.95283420728873,104
stroop,WcTsIpSoEhYeIBSNjAbbdaNSBya2,169.93365546527545,0.0,0.0,217.6883236167348,47.754668151459356,108
stroop,WeHQDy9BWldTlaQDVVlsJNCqwxA2,215.80551932549616,228.12064202655657,292.46912368625385,225.62644617750001,9.82092685200385,108
stroop,Wfo71fsX1VVfPZnzhT7HEYBTwnq1,97.31587622562095,210.4074088317672,194.5154650035761,119.85805184234655,22.5421756167256,108
stroop,WnC6Uscb5VMIr43GASKiUCO3AYH2,0.0,90.50502915241432,48.37669119947891,135.1350075510969,135.1350075510969,108
stroop,WqoZv41KTtTCuPKBPyClregrKAi1,337.9633040279288,216.49253096823335,257.65610927995283,299.3539914012461,-38.60931262668271,108
stroop,XehZHBpwr5MYzUXkj0FAYCsFG922,234.9402304236105,122.40867817676266,89.42740093925758,0.0,-234.9402304236105,105
stroop,YEU5ox3jteVINfdSTg5ymqYcS9o2,198.11785128677204,101.55192203088204,100.7718398433994,110.81899832023166,-87.29885296654038,105
stroop,Yco8O7tmHlbsUBfKW2ywcZByGO32,367.8966730198318,236.57314152744502,185.4569677446671,305.74216214522664,-62.15451087460514,107
stroop,Z3GikGkUkjMOa6UK1xdIDvuGRHp2,150.96208060769504,177.2845746902151,70.83499096916789,187.42235163682375,36.460271029128705,106
stroop,aM2995jJmJWvr6cneaGH58HauIg2,495.30620388975126,265.07613283857137,380.21220351118654,360.0166129676401,-135.28959092211113,103
stroop,afdTz6deeYWf1qKNdUpKAYKN3hz1,275.63236421397346,150.44053413462746,241.49239781849735,309.34007842320943,33.707714209235974,104
stroop,aj2Ivskb3BgyvBNTLIKlSZG0Sq22,113.84355352642777,203.5697785634063,162.32644523971328,120.54202206278069,6.6984685363529195,108
stroop,azdL1gX79EVd9iepyCAVQrqIaQF3,183.04099121683515,128.97942943607592,104.9611165815705,135.69157419829662,-47.34941701853853,106
stroop,bXpFswkI7TfIfL6G4FqWrbaxTGx2,186.63330263717972,159.2929248848787,257.41837482160633,136.69351298872192,-49.939789648457804,104
stroop,biQ16yPcCKSkJQhSxUKcDc8gm8I2,196.04071243735592,175.15443935722112,306.373983632169,166.62002482488074,-29.420687612475177,108
stroop,btpcu1rB1JeSTo2upeHGPdv8kYG3,343.2176924142854,342.06236011658825,430.96214259791145,202.3120327200237,-140.90565969426171,108
stroop,c0hRe9PCPPZs3HWFqhIQargNlp52,318.4041116392646,59.256543304995745,239.43830790068222,187.64084798454402,-130.7632636547206,107
stroop,cC0BEsQjfrcuCyoaOas9zJT0MNs2,174.80087030590275,124.17212577718229,269.6597215837543,145.59681895455665,-29.204051351346095,108
stroop,cEIs6U87xfbSL5eFTXDK77MmvNf1,331.3070309343751,186.00373598194133,144.59380515184895,362.77928630352045,31.47225536914533,108
stroop,cUugYJoOmOSFc0Mh5JD0ZXJrYN52,204.0439219726261,166.7650419139611,118.115491902669,142.51193612399558,-61.53198584863051,104
stroop,cec6NLR2ZLVVw6h0TEKSNIH11v02,101.9226978426708,83.21072949663726,397.89440614073015,130.73628108733223,28.81358324466143,108
stroop,d9rwc0NXArcNlJvFsgKhQqkGxJq2,148.8261487807594,183.69189937751676,204.5427215291221,97.35136233153176,-51.47478644922765,108
stroop,dnkEqKuvjoQzAQm5yXlrAOp9ZlD3,244.28899604690727,156.22997936456412,182.2971882812276,269.931954055741,25.642958008833745,108
stroop,e7NIVznoeNMC7bBejXnMVvFNPfx1,332.8855735118975,358.4787382151565,136.5490662762445,155.5318388037951,-177.35373470810242,107
stroop,fEq0OghbLpfD1jigl1Mbz96aMbg2,180.8258215873044,135.70852752004592,137.15224929526016,246.1303466787093,65.30452509140488,103
stroop,foaW7wtvY3XLNdguFUK7OvOefP93,186.46487490342105,126.14936196860742,159.1324993493268,191.19479845872485,4.729923555303799,108
stroop,g2G9l3no7RbeRA9a1W3JnfegTnh2,243.59680046604075,410.45493125617685,482.895172142229,383.47373817216385,139.8769377061231,102
stroop,h12a1QYNpYbl3T0Gj1PxUz3EnEx2,236.08361573833665,133.10095343573352,219.94310164946535,156.20674955808457,-79.87686618025208,104
stroop,h5RYP03wJuVN0xo7qAR8CKFxLaj1,151.5464833996832,279.4891561288596,341.90432916406513,169.311088463215,17.764605063531775,107
stroop,hrRr560eFBNwJ0CcUjCqtSD8TdP2,294.1459472306865,35.49817284908505,53.745365307549385,94.41507578720972,-199.73087144347676,108
stroop,i1tBstVkNiVP0qro7TgGD08IGGa2,0.0,248.46693887658867,268.00628628446316,279.2733305404872,279.2733305404872,106
stroop,iKVZi0Oo96UrMBhPQMHWFcf55uA3,383.90090315434617,359.83814772595207,286.72267825952656,215.66587360504994,-168.23502954929623,104
stroop,iWsc4pghIEWOQUZKuQJMfe516UI3,236.92238919957342,185.68836558447313,139.2619541626125,143.3650389029598,-93.5573502966136,106
stroop,iZScIvzhvAdvlsBXU5D8IHwvG6Q2,222.4716100576112,0.0,212.77105187469058,314.90783173466104,92.43622167704984,106
stroop,idP8RVfm74N86O0dszLXANIpjXv2,302.5940531886567,0.0,0.0,122.66253019280018,-179.9315229958565,106
stroop,iv9ew8Ci8lOzvXFiJw1acJfuRAl2,429.8017177151077,288.12824216941965,239.98818173654323,279.0985055938059,-150.70321212130182,106
stroop,jpklrtZKDdb3UbsoQ7Ho5KuR5yb2,157.97037104485366,103.13945353509378,318.7389034557862,386.20517590272874,228.23480485787508,106
stroop,jzdk8E3tVXTXIozlfK5oeEb7wWp2,206.9218175487138,415.16003812941824,78.61449599984942,37.684508900970776,-169.23730864774302,108
stroop,k8j7IpYfd8dYB0L1qyLCcrwoFOy1,152.31793464604993,238.98829108689657,143.2592745926459,113.73216057942165,-38.58577406662829,108
stroop,kI0YdycDU0X5hcoEPjEON3Ionyd2,347.54741870992865,293.2090467912999,200.15241589304506,398.73176531855484,51.184346608626186,108
stroop,kR2rCtaPyPaj7YMizKUDn5xL2qx1,311.486643353693,169.29123647004656,119.34562167791083,238.4565054530605,-73.03013790063252,105
stroop,kgSRatooJJfDaMZ2yIURqb8aJuE3,272.93379790040854,440.68977668431387,309.8734418999207,537.5156598327192,264.58186193231063,107
stroop,kxerHPSL3bQjD74HhiebYf3blPr1,76.90823406014918,152.51184052844908,150.63029148674934,195.2728244540649,118.36459039391572,107
stroop,lHDkoPQu5reNCO45npeYSS9eLQl1,172.696469123042,111.16338883019948,240.4492127457015,175.45080992623605,2.7543408031940544,106
