outcome,outcome_label,parameter,posterior_mean,posterior_sd,hdi_3%,hdi_97%,rope_in,rope_below,rope_above,prob_direction,n_obs
prp_lapse_prob,PRP Lapse Probability,b_ucla,-0.008900938090445818,0.12321665416213613,-0.23626287994509101,0.22428986428533929,0.571,0.239,0.19,0.534,152
prp_lapse_prob,PRP Lapse Probability,b_ucla_x_gender,0.06841055092587368,0.15755778866307518,-0.2201881348580163,0.3655130627223519,0.4465,0.137,0.4165,0.667,152
prp_state_separation,PRP State Separation,b_ucla,0.045161308482208416,0.12673459020122949,-0.19863479859272443,0.29007274734173183,0.553,0.1225,0.3245,0.641,152
prp_state_separation,PRP State Separation,b_ucla_x_gender,0.09533190476666116,0.1600984128211585,-0.21212730681251743,0.39796277746706443,0.407,0.106,0.487,0.7335,152
stroop_lapse_prob,Stroop Lapse Probability,b_ucla,0.26913717203131704,0.12039599981802121,0.04663405642043299,0.4988143901948463,0.071,0.002,0.927,0.985,156
stroop_lapse_prob,Stroop Lapse Probability,b_ucla_x_gender,0.015746206583906377,0.15779505303527058,-0.28169184060081853,0.31123016807521997,0.4755,0.226,0.2985,0.5245,156
stroop_state_separation,Stroop State Separation,b_ucla,-0.07520775042275815,0.12519737075199827,-0.3101212504086445,0.15507103530542415,0.4985,0.4235,0.078,0.7170000000000001,156
stroop_state_separation,Stroop State Separation,b_ucla_x_gender,-0.04905901653841355,0.15818439389091118,-0.34209292031124605,0.2436601067363996,0.445,0.377,0.178,0.6214999999999999,156
wcst_lapse_prob,WCST Lapse Probability,b_ucla,0.009521780711884583,0.12052795963812807,-0.21484800493773556,0.23688011492089056,0.5985,0.1835,0.218,0.541,148
wcst_lapse_prob,WCST Lapse Probability,b_ucla_x_gender,0.2351150515706323,0.1582821038772663,-0.06595139795923402,0.5364448227869318,0.168,0.0175,0.8145,0.9325,148
wcst_state_separation,WCST State Separation,b_ucla,0.0521008265047995,0.12016373614926583,-0.17529623886507922,0.2699805266911901,0.5355,0.1035,0.361,0.6705,148
wcst_state_separation,WCST State Separation,b_ucla_x_gender,-0.1816477693922217,0.16177659175706913,-0.48290760450286846,0.1416582931600873,0.248,0.706,0.046,0.87,148
