participant_id,n_trials,changepoint_rt_trial,changepoint_pe_trial,rt_early,rt_late,rt_change_ms,rt_pct_change,pe_early,pe_late,pe_change,ucla_total,gender,gender_male,cp_rt_pct,cp_pe_pct
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,72,4.0,14,5778.739999985695,1701.0750000073629,-4077.664999978332,-70.56321966360186,0.0,10.344827586206897,10.344827586206897,32.0,female,0,5.555555555555555,19.444444444444446
2h5FgHUEvBS1twD5DqbTIRrMm1f2,99,57.0,13,1723.6913793076728,2931.5952380994954,1207.9038587918226,70.07657364260774,7.142857142857142,13.953488372093023,6.810631229235881,65.0,male,1,57.57575757575758,13.131313131313133
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,82,25.0,22,1740.876923076907,1140.2175438596435,-600.6593792172634,-34.5032650645762,4.3478260869565215,10.0,5.6521739130434785,50.0,female,0,30.48780487804878,26.82926829268293
5zxa5CMLGQSSonWOXqXf0QNS3PH3,87,2.0,69,5880.333333333333,1193.9188235338997,-4686.414509799433,-79.6964091003815,5.714285714285714,16.666666666666664,10.952380952380949,54.0,male,1,2.2988505747126435,79.3103448275862
62fAfeQc27bZelkPX7G54T3gvci2,70,,12,,,,,0.0,10.344827586206897,10.344827586206897,49.0,female,0,,17.142857142857142
7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,76,34.0,15,1949.3628571578436,1584.3714285748345,-364.9914285830091,-18.723626914445465,0.0,9.836065573770492,9.836065573770492,57.0,female,0,44.73684210526316,19.736842105263158
80UJMJbCOMgs6YVpsMgXfYTzw6o2,71,8.0,12,2924.6444444447343,1211.0523809522745,-1713.5920634924598,-58.591466280537844,0.0,8.47457627118644,8.47457627118644,56.0,female,0,11.267605633802818,16.901408450704224
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,98,28.0,37,3487.5206895696706,1500.735714190347,-1986.7849753793237,-56.968406849063754,0.0,9.836065573770492,9.836065573770492,42.0,female,0,28.57142857142857,37.755102040816325
A9AEg0g6c2P1Bk72HLmnK3oWJ9B2,82,13.0,34,3160.4785714319773,1222.4608695679817,-1938.0177018639956,-61.320387342031616,5.714285714285714,14.583333333333334,8.86904761904762,38.0,male,1,15.853658536585366,41.46341463414634
AUKCfn4HzgVB7m6LNnh2gQb7G5s2,94,38.0,21,2613.041025650807,1386.7517857381276,-1226.2892399126795,-46.929582347726765,4.545454545454546,12.32876712328767,7.783312577833125,25.0,female,0,40.42553191489361,22.340425531914892
AsXBOflrszVNKoFqbN61bMJqS0k2,105,39.0,11,1523.5799999803305,1167.7636363596628,-355.81636362066774,-23.35396655411999,8.333333333333332,20.212765957446805,11.879432624113473,42.0,female,0,37.142857142857146,10.476190476190476
AyAnuCaltBbpEYbudoyNzTvXlcC2,112,59.0,34,3052.7016666760046,1555.1245283034611,-1497.5771383725435,-49.05743508186342,2.857142857142857,16.666666666666664,13.809523809523807,62.0,female,0,52.67857142857143,30.357142857142854
CDEoAyvS8feXLKMKsaZah9agEhF3,68,,9,,,,,0.0,10.16949152542373,10.16949152542373,33.0,female,0,,13.23529411764706
