participant_id,stroop_interference,wcst_pe_rate,wcst_total_errors,prp_bottleneck,ucla_total,age,gender,education,gender_coded,z_ucla,z_age,ucla_x_gender,z_stroop,z_wcst_pe,ef_composite,distance_from_healthy,cluster,is_wcst_impaired
7QYZfcjgZHcVB941oHiLGGPTk7U2,230.0,0.0945945945945946,11.0,806.0,25.0,36,female,대학원 재학,-1,-1.3442296531287317,5.698354554814877,1.3442296531287317,0.8776191509265555,-0.28450999256128967,0.29655457918263295,1.4646268750741982,2.0,0
GE4hogtdLdTFbNasENgtm6SO3hC3,167.0,0.04477611940298507,7.0,518.0,56.0,19,female,대학교 재학,-1,1.174169979042341,-0.581163213023471,-1.174169979042341,0.23351376289797915,-1.3255823331769425,-0.5460342851394817,1.1170495891493937,1.0,0
ORvIk1xRWIQmKuLVe6GXNouvAXx2,293.0,0.16831683168316833,24.0,730.0,54.0,24,female,대학교 재학,-1,1.0116925834184007,1.2657537775172196,-1.0116925834184007,1.5217245389551317,1.256086776529505,1.3889056577423182,2.7546496002623795,2.0,0
80UJMJbCOMgs6YVpsMgXfYTzw6o2,74.0,0.07042253521126761,10.0,564.0,56.0,20,female,대학원 재학,-1,1.174169979042341,-0.21177981491533282,-1.174169979042341,-0.7173084765727764,-0.7896411179703443,-0.7534747972715603,0.2901150335338722,1.0,0
rUuJv5gl7dWVo7UPQWMx4bohxhK2,397.0,0.10112359550561797,15.0,852.0,43.0,20,female,대학교 재학,-1,0.11806690748672984,-0.21177981491533282,-0.11806690748672984,2.5850096239546865,-0.14807140759501158,1.2184691081798373,3.1736746019089783,2.0,0
xyAILKfYP2M8GqAai11x6NT7IcP2,204.0,0.09876543209876543,13.0,935.0,35.0,24,male,대학교 재학,1,-0.5318426750090308,1.2657537775172196,-0.5318426750090308,0.6117978796766669,-0.1973506897906987,0.2072235949429841,1.22560789797895,2.0,0
pcbRW89vVJcviD87V3uxyG4I9st2,91.0,0.028169014084507043,4.0,392.0,33.0,18,male,대학교 재학,1,-0.694320070632971,-0.950546611131609,-0.694320070632971,-0.5435022607555415,-1.6726262348271168,-1.1080642477913292,1.129438225590031,1.0,0
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,317.0,0.061224489795918366,28.0,873.0,42.0,20,female,대학교 재학,-1,0.036828209674759756,-0.21177981491533282,-0.036828209674759756,1.767098020108875,-0.9818555651772608,0.39262122746580713,2.3719300078813172,2.0,0
yatBVTBMCSMp0wJluOCLzTFKMyP2,34.0,0.10989010989010989,24.0,825.0,35.0,21,female,대학교 재학,-1,-0.5318426750090308,0.1576035831928053,0.5318426750090308,-1.126264278495682,0.03512519997279477,-0.5455695392614436,0.8067574597691489,1.0,0
u64Uf920g5VD9Byq26LT2rs5o4t1,98.0,0.1308411214953271,17.0,622.0,34.0,21,male,대학교 재학,1,-0.613081372821001,0.1576035831928053,-0.613081372821001,-0.47193499541903305,0.472945077161302,0.0005050408711344823,1.020475110889914,1.0,0
nT1qJOiMyDdJ9ui4el195A8Hsgs1,112.0,0.08860759493670886,9.0,926.0,62.0,18,female,대학교 재학,-1,1.6616021659141613,-0.950546611131609,-1.6616021659141613,-0.3288004647460161,-0.4096222069180625,-0.3692113358320393,0.2705265884801973,1.0,0
cUugYJoOmOSFc0Mh5JD0ZXJrYN52,218.0,0.08403361344537816,17.0,408.0,40.0,19,male,대학교 재학,1,-0.1256491859491804,-0.581163213023471,-0.1256491859491804,0.7549324103496838,-0.5052061363498153,0.12486313699993429,1.3194346005930617,2.0,0
ric6cNjG25XmZJCiKZDOxzeezao1,61.0,0.18,25.0,782.0,44.0,19,male,대학교 재학,1,0.19930560529869992,-0.581163213023471,0.19930560529869992,-0.8502191121977207,1.5002336184115521,0.3250072531069157,2.0635596633198983,0.0,1
kxerHPSL3bQjD74HhiebYf3blPr1,129.0,0.21875,80.0,,43.0,19,female,대학교 재학,-1,0.11806690748672984,-0.581163213023471,-0.11806690748672984,-0.1549942489287812,2.310004552662284,1.0775051518667516,2.8825351690809984,0.0,1
2h5FgHUEvBS1twD5DqbTIRrMm1f2,144.0,0.13131313131313133,22.0,634.0,65.0,23,male,대학교 재학,1,1.9053182593500717,0.8963703794090815,1.9053182593500717,-0.0016358232076915877,0.48280881473907894,0.2405864957656937,1.1701481348399108,1.0,0
lpzDdvuMkKWkPxu6xeclmdctEp42,103.0,0.10714285714285714,13.0,411.0,52.0,19,female,대학교 재학,-1,0.8492151877944606,-0.581163213023471,-0.8492151877944606,-0.42081552017866986,-0.02228500451148265,-0.22155026234507624,0.540389044892472,1.0,0
iv9ew8Ci8lOzvXFiJw1acJfuRAl2,409.0,0.11392405063291139,16.0,332.0,23.0,18,female,대학교 재학,-1,-1.506707048752672,-0.950546611131609,1.506707048752672,2.707696364531558,0.11942372807629056,1.4135600463039244,3.3381087357188712,2.0,0
A9AEg0g6c2P1Bk72HLmnK3oWJ9B2,127.0,0.10975609756097561,16.0,612.0,38.0,21,male,대학원 재학,1,-0.2881265815731206,0.1576035831928053,-0.2881265815731206,-0.17544203902492647,0.03232470219307397,-0.07155866841592626,0.6945260684757383,1.0,0
7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,146.0,0.07894736842105263,12.0,799.0,57.0,20,female,대학교 재학,-1,1.255408676854311,-0.21177981491533282,-1.255408676854311,0.018811966888453692,-0.61149499790275,-0.29634151550714816,0.5867300566066886,1.0,0
