outcome,outcome_label,predictor,n,coef_no_ucla,se_no_ucla,p_no_ucla,coef_with_ucla,se_with_ucla,p_with_ucla,model_r2_no_ucla,model_r2_with_ucla,r2_increase_ucla
pe_rate,WCST PE Rate,depression,174,-0.8258263993222926,0.5559844526525974,0.13932760036894695,-0.7044488419464248,0.6417297929740191,0.27390073349421806,0.035251660294284504,0.03609260056411612,0.0008409402698316137
pe_rate,WCST PE Rate,anxiety,174,-0.1508667728933862,0.6348006170820034,0.812434329985695,-0.13901056764686723,0.6371783775003449,0.8275662460254156,0.035251660294284504,0.03609260056411612,0.0008409402698316137
pe_rate,WCST PE Rate,stress,174,-0.07309619029451825,0.6607590149193269,0.9120460971189212,-0.04960441360117723,0.6652982763175109,0.9406543068221327,0.035251660294284504,0.03609260056411612,0.0008409402698316137
wcst_accuracy,WCST Accuracy,depression,174,1.077755990610936,1.0008435670501052,0.28309225453572023,1.0007015069052012,1.1556373722758135,0.3877706651875781,0.05819994120418259,0.05830204026721775,0.00010209906303515481
wcst_accuracy,WCST Accuracy,anxiety,174,0.8944401341815003,1.1427228062489458,0.4348892928527136,0.8869134233650129,1.14744110980566,0.44064521229201103,0.05819994120418259,0.05830204026721775,0.00010209906303515481
wcst_accuracy,WCST Accuracy,stress,174,0.28593442045270534,1.1894512630654284,0.8103195657264577,0.2710210644454514,1.1980798776071842,0.8213125085759712,0.05819994120418259,0.05830204026721775,0.00010209906303515481
stroop_interference,Stroop Interference,depression,174,-11.490838060633026,10.470358509193748,0.2740092502729184,-17.352435493019943,12.055693403898452,0.1519214270792837,0.028108208559380565,0.033679121913412935,0.00557091335403237
stroop_interference,Stroop Interference,anxiety,174,9.626101656642694,11.954632923627933,0.42183126818927674,9.053538624947759,11.970189395661457,0.4505107149624805,0.028108208559380565,0.033679121913412935,0.00557091335403237
stroop_interference,Stroop Interference,stress,174,-3.35573052417383,12.44348424021481,0.7877391533138289,-4.490201681156258,12.498456716892287,0.7198540695139111,0.028108208559380565,0.033679121913412935,0.00557091335403237
prp_bottleneck,PRP Bottleneck,depression,169,-8.740239888838646,14.85109488951299,0.5569946139336467,-22.734023763342595,17.081728237057927,0.18509296400297048,0.10463072770975967,0.11912544496966171,0.014494717259902035
prp_bottleneck,PRP Bottleneck,anxiety,169,9.553258349010752,16.88032066888937,0.5722124688933101,8.332777460630426,16.81135390643741,0.6208034498099162,0.10463072770975967,0.11912544496966171,0.014494717259902035
prp_bottleneck,PRP Bottleneck,stress,169,-3.754925688669884,17.5502091504735,0.8308508528077051,-6.2895467925167114,17.53009184124548,0.7202225455985956,0.10463072770975967,0.11912544496966171,0.014494717259902035
