measure,predictor,estimate,std_error,p_value,conf_low,conf_high,n_obs,r_squared
Stroop 간섭,dass_dep,-1.3480648287578458,1.8683056474428872,0.4727322458522002,-5.067575650613845,2.3714459930981535,82,0.02103964566126182
Stroop 간섭,dass_anx,2.9498384149646117,2.6081071443039034,0.26150951380059667,-2.242504048419643,8.142180878348867,82,0.02103964566126182
Stroop 간섭,dass_stress,-1.668332343296708,2.171441425395512,0.4446251045880548,-5.9913401401416415,2.6546754535482258,82,0.02103964566126182
PRP 병목,dass_dep,-0.5408055239025198,3.0797488815378355,0.8610874177240839,-6.677339124601485,5.595728076796446,78,0.03618850136759588
PRP 병목,dass_anx,-3.1609453943910646,4.371062068195243,0.4718656628572747,-11.870476685405606,5.548585896623478,78,0.03618850136759588
PRP 병목,dass_stress,5.698064978808992,3.5848331886851725,0.11621288576374693,-1.4448710726143679,12.841001030232352,78,0.03618850136759588
WCST 총 오류,dass_dep,-0.23897961029683312,0.26706308774770376,0.3738944755022451,-0.7714882829077413,0.29352906231407505,75,0.03009726584595429
WCST 총 오류,dass_anx,-0.19952523243742726,0.38949462869290613,0.6100540774030202,-0.9761554641311418,0.5771049992562873,75,0.03009726584595429
WCST 총 오류,dass_stress,0.08094646788341278,0.320810498504522,0.8015237975675698,-0.5587314979449277,0.7206244337117532,75,0.03009726584595429
WCST 보속 오류,dass_dep,-0.08563250834540385,0.1241902949920517,0.4927394476078636,-0.3332609233955971,0.16199590670478942,75,0.02440462196928117
WCST 보속 오류,dass_anx,0.03083633990190643,0.18112369344313314,0.8652976022581855,-0.3303140473987331,0.39198672720254596,75,0.02440462196928117
WCST 보속 오류,dass_stress,-0.08030402326611105,0.14918404030235105,0.5920616010342334,-0.3777685510153984,0.21716050448317628,75,0.02440462196928117
WCST 비보속 오류,dass_dep,-0.15334710195142934,0.1776719736584596,0.3909935380195174,-0.5076149554797575,0.20092075157689884,75,0.033262138799726504
WCST 비보속 오류,dass_anx,-0.2303615723393337,0.25912334045434754,0.3770033094234253,-0.7470388384922839,0.2863156938136166,75,0.033262138799726504
WCST 비보속 오류,dass_stress,0.16125049114952378,0.21342909991926734,0.4524347463975331,-0.2643150471397606,0.5868160294388082,75,0.033262138799726504
