outcome,spec,term,estimate,std_error,z,P>|z|,conf_low,conf_high
Stroop interference (ms),dep_only,Intercept,101.73800943059759,113.12499002234202,0.8993415991506782,0.368470736008919,-119.98289676464573,323.4589156258409
Stroop interference (ms),dep_only,C(gender)[T.male],-18.61671163474465,17.481292987691354,-1.0649504958158844,0.28689833241349805,-52.8794162938123,15.645993024323001
Stroop interference (ms),dep_only,z_dass_dep,-8.592730040962525,7.007241146267837,-1.2262643544869503,0.22009921065547056,-22.326670318634648,5.141210236709599
Stroop interference (ms),dep_only,age,2.275863439250907,5.542774529275884,0.41060003924572935,0.6813658349265173,-8.587775012555777,13.139501891057591
Stroop interference (ms),anx_only,Intercept,103.8855332957389,113.50310562187407,0.915265998463731,0.3600520044679695,-118.57646585658003,326.3475324480578
Stroop interference (ms),anx_only,C(gender)[T.male],-16.199125986977204,17.429955822868976,-0.9293842251581119,0.3526900000338895,-50.361211651924606,17.962959677970193
Stroop interference (ms),anx_only,z_dass_anx,1.9520951015360826,8.360975263431632,0.23347696172167307,0.8153910571463097,-14.435115290420208,18.339305493492375
Stroop interference (ms),anx_only,age,2.130496948391312,5.558899249614124,0.3832587806910158,0.7015278983997066,-8.764745374539103,13.02573927132173
Stroop interference (ms),str_only,Intercept,102.70118710658059,113.5817915334592,0.9042046768238079,0.3658868807483494,-119.91503359853587,325.3174078116971
Stroop interference (ms),str_only,C(gender)[T.male],-17.324757263543333,17.500120301117814,-0.9899793238813747,0.32218422521286694,-51.62436277885249,16.974848251765827
Stroop interference (ms),str_only,z_dass_stress,-4.667642200577376,8.651350595316703,-0.5395275742384251,0.5895228757943141,-21.62397778502727,12.28869338387252
Stroop interference (ms),str_only,age,2.207371677330613,5.564820885598452,0.39666535953442966,0.6916142480157921,-8.69947683885864,13.114220193519866
Stroop interference (ms),all_three,Intercept,102.76296059877355,117.71196438833651,0.8730035313976615,0.3826611528928183,-127.94825015182742,333.4741713493745
Stroop interference (ms),all_three,C(gender)[T.male],-18.693681135475437,17.614886273142478,-1.0612433623246154,0.2885793177237794,-53.21822382260367,15.830861551652795
Stroop interference (ms),all_three,z_dass_dep,-11.768844435751133,7.8305679691662515,-1.5029362470375445,0.13285548482050072,-27.116475633809937,3.578786762307672
Stroop interference (ms),all_three,z_dass_anx,13.840801371387679,10.610288484267418,1.3044698447087804,0.19207343467178473,-6.95498192335654,34.636584666131895
Stroop interference (ms),all_three,z_dass_stress,-7.314502977600544,12.029359887002773,-0.6080542145474891,0.543151517410854,-30.891615113196792,16.262609157995705
Stroop interference (ms),all_three,age,2.228657007253676,5.767014604520485,0.38644899659292337,0.6991641690052153,-9.074483915922979,13.53179793043033
PRP bottleneck (ms),dep_only,Intercept,651.1403731060211,264.91679065718364,2.457905259575001,0.013975003565725312,131.91300451800407,1170.3677416940382
PRP bottleneck (ms),dep_only,C(gender)[T.male],-98.58734248261996,24.970973850734012,-3.9480775988927648,7.878127062415713e-05,-147.5295518889501,-49.64513307628983
PRP bottleneck (ms),dep_only,z_dass_dep,-7.7727680626276605,12.972687815247737,-0.5991640416638844,0.549063498947447,-33.19876896319482,17.6532328379395
PRP bottleneck (ms),dep_only,age,-0.5982810580736562,12.955800293219205,-0.046178626139118856,0.9631678781677591,-25.991183023676772,24.79462090752946
PRP bottleneck (ms),anx_only,Intercept,652.7183888674956,265.2212420811681,2.4610336025337602,0.013853739018195615,132.89430645342713,1172.542471281564
PRP bottleneck (ms),anx_only,C(gender)[T.male],-96.6854150088096,25.025792997942467,-3.86343062202899,0.00011180565789659483,-145.7350679693315,-47.635762048287695
PRP bottleneck (ms),anx_only,z_dass_anx,0.30248924143173195,12.47743240753424,0.024242907639321697,0.9806588528293988,-24.152828896868275,24.75780737973174
