outcome,spec,nobs,r2,aic,bic
Stroop interference (ms),dep_only,156,0.016493834641606697,1898.6771057932551,1910.8765298222534
Stroop interference (ms),anx_only,156,0.010511192952911363,1899.623175070601,1911.8225990995993
Stroop interference (ms),str_only,156,0.01216593467824345,1899.3620747990976,1911.5614988280959
Stroop interference (ms),all_three,156,0.024259736015348587,1901.4404191358035,1919.7395551793006
PRP bottleneck (ms),dep_only,152,0.0999299735950675,1949.698226229429,1961.7937483128142
PRP bottleneck (ms),anx_only,152,0.0974245381900386,1950.1207457201128,1962.2162678034979
PRP bottleneck (ms),str_only,152,0.09756288732678153,1950.0974449751504,1962.1929670585355
PRP bottleneck (ms),all_three,152,0.10122751792793916,1953.4789443613688,1971.6222274864465
WCST total errors,dep_only,47,0.04153303498995242,378.0272323931382,385.42782279997846
WCST total errors,anx_only,47,0.04627213216061432,377.7942665684927,385.1948569753329
WCST total errors,str_only,47,0.04233047301216464,377.98811243548977,385.38870284233
WCST total errors,all_three,47,0.07698255361420536,380.25594525240115,391.35683086266147
Latent meta-control,dep_only,46,0.03543212835171594,140.29921640316456,147.61378198912095
Latent meta-control,anx_only,46,0.032585009764867556,140.434794779544,147.7493603655004
Latent meta-control,str_only,46,0.03853726730145557,140.15089423723617,147.46545982319256
Latent meta-control,all_three,46,0.04271594743682561,143.95053471966366,154.92238309859823
