age,beta,se,p,lower_ci,upper_ci,significant
18,42.35927884717582,44.33060774795916,0.3393091348278817,-44.52871233882413,129.24727003317577,False
19,44.23655850645525,33.52417765566237,0.1869879977336535,-21.470829698642987,109.9439467115535,False
20,46.113838165732986,24.923992490289507,0.0642878086074429,-2.7371871152344482,94.96486344670042,False
21,47.99111782501379,21.3824115994012,0.02480537410161395,6.0815910901874375,89.90064455984015,True
22,49.86839748429322,25.13716093633102,0.0472723834444652,0.5995620490844189,99.13723291950203,True
23,51.74567714357127,33.84100181812596,0.12624404084070254,-14.582686419955607,118.07404070709815,False
24,53.62295680285168,44.690235601889654,0.23018562765667383,-33.96990497685204,141.2158185825554,False
25,55.50023646213071,56.461386116823384,0.3256188238339959,-55.16408032684313,166.16455325110454,False
26,57.37751612141014,68.68206677362167,0.40348828858792474,-77.23933475488835,191.99436699770862,False
27,59.25479578068901,81.14944041915514,0.465271901154908,-99.79810744085508,218.3076990022331,False
28,61.13207543996862,93.76515490506291,0.514420474825504,-122.6476281739547,244.91177905389193,False
29,63.00935509924737,106.47649542683769,0.5540061281416875,-145.6845759373545,271.7032861358492,False
30,64.88663475852715,119.25288714481952,0.5863660890959761,-168.8490240453191,298.62229356237344,False
31,66.763914417806,132.07545311809906,0.6132089060199597,-192.10397369366814,325.63180252928015,False
32,68.64119407708496,144.93193833765525,0.6357781476318889,-215.42540506471937,352.70779321888926,False
33,70.5184737363642,157.814053221668,0.6549867345377489,-238.79707057810506,379.8340180508335,False
34,72.39575339564348,170.7159958767061,0.671513819338617,-262.20759852270044,406.99910531398746,False
35,74.27303305492302,183.63358710236596,0.6858721145821157,-285.64879766571426,434.1948637755603,False
36,76.15031271419932,196.56374178869126,0.6984543831375618,-309.1146211916356,461.41524662003417,False
