age,beta,se,p,lower_ci,upper_ci,significant
18,59.53001878141243,34.345412888756464,0.08304694038780315,-7.786990480550237,126.8470280433751,False
19,42.4767589114464,25.9773938739178,0.10201903218385078,-8.438933081432488,93.3924509043253,False
20,25.423499041480344,19.556130028561817,0.19359168057484621,-12.906515814500818,63.7535138974615,False
21,8.37023917151427,17.391350555354364,0.6303121986053024,-25.71680791698028,42.45728626000882,False
22,-8.683020698451784,20.85366993639925,0.6771330272275835,-49.55621377379431,32.19017237689074,False
23,-25.736280568418113,27.922959168490657,0.3566908898850689,-80.4652805386598,28.992719401823575,False
24,-42.78954043838401,36.56374393939922,0.24189136445202997,-114.45447855960647,28.875397682838454,False
25,-59.84280030834999,45.89687044057111,0.19228349909143627,-149.80066637186934,30.11506575516937,False
26,-76.89606017831616,55.57461367245872,0.16646429454879463,-185.82230297633527,32.03018261970293,False
27,-93.94932004828219,65.44426847844932,0.15112694852017072,-222.22008626604287,34.32144616947848,False
28,-111.00257991824857,75.43054084220489,0.14113252198430176,-258.8464399689702,36.84128013247302,False
29,-128.05583978821468,85.49257470709121,0.13416983527432494,-295.6212862141134,39.50960663768407,False
30,-145.1090996581807,95.60645266706344,0.12907108739476833,-332.497746885625,42.27954756926363,False
31,-162.16235952814657,105.75730176372255,0.1251910363163289,-369.4466709850428,45.12195192874964,False
32,-179.21561939811338,115.9354112613518,0.12214733290589974,-406.4490254703629,48.01778667413615,False
33,-196.2688792680789,126.13418218534629,0.1197003786027642,-443.49187635135763,50.95411781519982,False
34,-213.3221391380447,136.3489782507569,0.11769302912287256,-480.5661365095282,53.9218582334388,False
35,-230.37539900801173,146.57644915782495,0.11601825236258277,-517.6652393573486,56.91444134132516,False
36,-247.42865887797754,156.8141149534679,0.11460079552016512,-554.7843241867746,59.927006430819546,False
