feature,importance_mean,importance_std
stroop_effect,0.47436863778569177,0.04019851527277888
stroop_accuracy,0.05298670318853354,0.0062586879732488285
mrt_incong,0.02243503412119918,0.001674667562236955
mrt_cong,0.027730295516008252,0.0035669378085140687
mrt_total,0.03080409443634716,0.0035285385837277522
stroop_ratio_incong_cong,0.077374316289173,0.006991092760637209
prp_bottleneck,0.16487802052778072,0.012877632578061113
prp_rt_slope,0.15996984404728218,0.012491165036509549
prp_mrt_t1,0.11238547911394253,0.010801898675311268
prp_mrt_t2,0.10860088196916014,0.012279484271628586
prp_acc_t1,0.14089426049503773,0.021086257609284842
prp_acc_t2,0.05968627695670472,0.008175199345676305
wcst_total_errors,0.0,0.0
wcst_persev_errors,0.0,0.0
wcst_nonpersev_errors,0.0,0.0
wcst_conceptual_pct,0.0,0.0
wcst_persev_resp_pct,0.0,0.0
wcst_failure_to_maintain_set,0.0,0.0
