feature,importance_mean,importance_std,feature_set,model
stroop_effect,0.9720036326640477,0.1751198508023663,ef_basic,ridge
stroop_accuracy,0.09807735138491508,0.03970061792009883,ef_basic,ridge
mrt_incong,0.0537689800716943,0.025899836652513206,ef_basic,ridge
mrt_cong,0.07341567003253459,0.03298971938227097,ef_basic,ridge
mrt_total,0.002537449638613561,0.005301788282540952,ef_basic,ridge
stroop_ratio_incong_cong,0.9898588516959553,0.16766324970776414,ef_basic,ridge
prp_bottleneck,0.0006159760189317076,0.004727051679091266,ef_basic,ridge
prp_rt_slope,0.0006159760189318113,0.004727051679091566,ef_basic,ridge
prp_mrt_t1,0.09852827763475151,0.03315328053300964,ef_basic,ridge
prp_mrt_t2,0.06641071652562083,0.03428595664204404,ef_basic,ridge
prp_acc_t1,0.1214562949499399,0.05551544798564366,ef_basic,ridge
prp_acc_t2,0.07773282363355065,0.03793869455486,ef_basic,ridge
wcst_total_errors,0.09503498194581401,0.041438354641675154,ef_basic,ridge
wcst_persev_errors,0.36859661943597666,0.08304194930687328,ef_basic,ridge
wcst_nonpersev_errors,0.07588281175117907,0.03823456171208794,ef_basic,ridge
wcst_conceptual_pct,0.7464585630700662,0.1645063976694401,ef_basic,ridge
wcst_persev_resp_pct,0.026073324244036154,0.023256860431857446,ef_basic,ridge
wcst_failure_to_maintain_set,0.050102584901293205,0.03435438955142442,ef_basic,ridge
stroop_effect,4.643456018610447,0.6082841816910998,ef_basic,lasso
stroop_accuracy,0.1141580952771908,0.04299872678284835,ef_basic,lasso
mrt_incong,0.0,0.0,ef_basic,lasso
mrt_cong,0.1605293061286896,0.050545109706063684,ef_basic,lasso
mrt_total,0.0001425772752386756,0.001132221033925864,ef_basic,lasso
stroop_ratio_incong_cong,4.159891694946088,0.49905237635815725,ef_basic,lasso
prp_bottleneck,0.002709772062314227,0.007607982075903078,ef_basic,lasso
prp_rt_slope,9.251858538542972e-17,4.831561120766419e-16,ef_basic,lasso
prp_mrt_t1,0.10013732211327832,0.03258452613889018,ef_basic,lasso
prp_mrt_t2,0.09929826318692199,0.04144367853996039,ef_basic,lasso
prp_acc_t1,0.13384302885504748,0.05660346653712309,ef_basic,lasso
prp_acc_t2,0.09676500251401642,0.04084444639747059,ef_basic,lasso
wcst_total_errors,0.0,0.0,ef_basic,lasso
wcst_persev_errors,0.8145478090202203,0.14147006020045347,ef_basic,lasso
