outcome,outcome_label,parameter,coefficient,std_error,t_value,p_value,ci_lower,ci_upper,n_obs,r_squared,r_squared_adj
wcst_error_transition_ratio,WCST Error Transition Ratio,C(gender_male)[T.1.0],-0.78885364015559,0.34715820765858957,-2.2723174125019763,0.024460393601213604,-1.474696032977429,-0.10301124733375111,161,0.04427080427176222,0.0005446319181826587
wcst_error_transition_ratio,WCST Error Transition Ratio,z_ucla,-0.2025431765787983,0.2579449590583715,-0.7852185881754872,0.4335396376068872,-0.712136739496675,0.30705038633907844,161,0.04427080427176222,0.0005446319181826587
wcst_error_transition_ratio,WCST Error Transition Ratio,z_ucla:C(gender_male)[T.1.0],-0.19863979179724117,0.3373619082200678,-0.5888032612966623,0.556861543469066,-0.8651287103255312,0.4678491267310489,161,0.04427080427176222,0.0005446319181826587
wcst_error_transition_ratio,WCST Error Transition Ratio,z_dass_depression,0.22007133470799775,0.256670576436008,0.85740772379831,0.39256063857780776,-0.28700457024353776,0.7271472396595333,161,0.04427080427176222,0.0005446319181826587
wcst_error_transition_ratio,WCST Error Transition Ratio,z_dass_anxiety,0.06005513668799505,0.25799907778234654,0.23277267967081197,0.8162490278544599,-0.4496453426568267,0.5697556160328168,161,0.04427080427176222,0.0005446319181826587
wcst_error_transition_ratio,WCST Error Transition Ratio,z_dass_stress,-0.10443537225416595,0.2662259828429514,-0.3922809154047639,0.6953965813910468,-0.6303888455591141,0.4215181010507822,161,0.04427080427176222,0.0005446319181826587
wcst_error_transition_ratio,WCST Error Transition Ratio,z_age,0.03450006564031661,0.16990717292687135,0.20305243766939468,0.8393638341693843,-0.3011668996424389,0.3701670309230721,161,0.04427080427176222,0.0005446319181826587
wcst_clustering_coef,WCST Clustering Coefficient,C(gender_male)[T.1.0],-0.08881800353397404,0.03189034501036835,-2.785106385807274,0.006027685171729422,-0.15182026027835338,-0.025815746789594682,161,0.06763589841699247,0.024978717298815623
wcst_clustering_coef,WCST Clustering Coefficient,z_ucla,-0.035954266642680366,0.02369511524309564,-1.5173704062552233,0.13123670636150178,-0.08276610682966506,0.010857573544304333,161,0.06763589841699247,0.024978717298815623
wcst_clustering_coef,WCST Clustering Coefficient,z_ucla:C(gender_male)[T.1.0],0.01084013719990836,0.03099044588072838,0.34978964941738294,0.7269775868616686,-0.05038428753948052,0.07206456193929725,161,0.06763589841699247,0.024978717298815623
wcst_clustering_coef,WCST Clustering Coefficient,z_dass_depression,0.005920487724195488,0.023578049016211678,0.25110168021640417,0.802072416616831,-0.040660077558744075,0.052501053007135055,161,0.06763589841699247,0.024978717298815623
wcst_clustering_coef,WCST Clustering Coefficient,z_dass_anxiety,-0.002806242064237882,0.023700086650197676,-0.11840640524470301,0.9059009627243947,-0.049627903714945264,0.044015419586469505,161,0.06763589841699247,0.024978717298815623
wcst_clustering_coef,WCST Clustering Coefficient,z_dass_stress,-0.0029783539601212295,0.024455819439924056,-0.12178508135609944,0.9032290359125549,-0.051293033990937306,0.04533632607069485,161,0.06763589841699247,0.024978717298815623
wcst_clustering_coef,WCST Clustering Coefficient,z_age,-0.0009787080240202589,0.015607864785679883,-0.06270608039340636,0.9500824000638766,-0.03181345453238371,0.029856038484343192,161,0.06763589841699247,0.024978717298815623
wcst_max_error_run_length,WCST Max Error Run (PE),C(gender_male)[T.1.0],-0.3364290855011931,0.19359750687772623,-1.7377759193648992,0.0842623928340142,-0.7188984450962893,0.0460402740939031,161,0.05412357386633615,0.01084818182100511
wcst_max_error_run_length,WCST Max Error Run (PE),z_ucla,-0.22532431116185336,0.14384652266233783,-1.566421676322164,0.11931586470907725,-0.5095061081794865,0.05885748585577982,161,0.05412357386633615,0.01084818182100511
wcst_max_error_run_length,WCST Max Error Run (PE),z_ucla:C(gender_male)[T.1.0],0.14242672505821813,0.18813446695504457,0.75704748504298,0.4501856713169343,-0.22924990577518917,0.5141033558916255,161,0.05412357386633615,0.01084818182100511
wcst_max_error_run_length,WCST Max Error Run (PE),z_dass_depression,0.014743752696845918,0.14313584582090044,0.1030053136744944,0.9180936398922145,-0.2680340380357513,0.29752154342944315,161,0.05412357386633615,0.01084818182100511
wcst_max_error_run_length,WCST Max Error Run (PE),z_dass_anxiety,0.046883932288078335,0.14387670270649588,0.32586187621855733,0.7449741110281975,-0.23735748813249966,0.33112535270865634,161,0.05412357386633615,0.01084818182100511
wcst_max_error_run_length,WCST Max Error Run (PE),z_dass_stress,-0.09671683312155685,0.14846454846072676,-0.6514473261415757,0.5157350690787056,-0.39002195718089105,0.19658829093777733,161,0.05412357386633615,0.01084818182100511
wcst_max_error_run_length,WCST Max Error Run (PE),z_age,-0.08797821814088998,0.0947510511162507,-0.9285197061608204,0.3546005869818324,-0.27516747706188927,0.0992110407801093,161,0.05412357386633615,0.01084818182100511
