outcome,label,n_low,n_high,low_mean,low_sd,high_mean,high_sd,beta,se,t,p,cohens_d,p_fdr
wcst_accuracy,WCST Accuracy (%),49,47,82.80070131144447,7.563115709929855,83.7643016013235,10.808545148267784,-0.05690933902172368,4.115973454125016,-0.013826459197565843,0.9889684331627073,-0.006301518890301644,0.9931705627778757
pe_rate,Perseverative Error Rate (%),49,47,10.50993319596702,4.616576500605401,9.344684257682525,4.814111645774536,0.0952297392681608,1.9516346529197108,0.04879485979903766,0.9610827785830269,0.020953832340083675,0.9931705627778757
pe_count,Perseverative Error Count,49,47,9.387755102040817,5.574556509006689,8.0,5.637606646055769,0.019896097972259108,2.3244368506533974,0.008559534739206329,0.9931705627778757,0.003700234188675973,0.9931705627778757
wcst_mean_rt,WCST Mean RT (ms),49,47,1490.3574439653612,247.31917131928915,1548.6484762791754,334.0424766950346,115.22379550493835,108.02874354533901,1.066603125459657,0.2861510885570848,0.4116651598562063,0.9931705627778757
wcst_sd_rt,WCST RT Variability (SD),49,47,682.9844179587287,132.72378566049392,698.5760436452264,180.34459075991694,50.82142590074927,52.60777205361283,0.9660440637736363,0.33402213247400137,0.3312937763399586,0.9931705627778757
stroop_interference,Stroop Interference (ms),49,47,134.38035898173356,115.09611876680313,137.6282804773373,112.48969733904333,18.32085590378567,35.7210685465474,0.5128865582481704,0.6080306765885998,0.16725409701880586,0.9931705627778757
accuracy_incongruent,Stroop Accuracy Incongruent,49,47,0.9722222222222222,0.03402069087198859,0.972222222222222,0.034266330819108966,-0.0039820899547129245,0.00931073168191462,-0.42768818721817836,0.6688781513289919,-0.11776576911251169,0.9931705627778757
accuracy_congruent,Stroop Accuracy Congruent,49,47,0.9903628117913832,0.020087754693766464,0.9934988179669031,0.011888231331773426,-0.003065484298233275,0.004271442514493531,-0.7176695666233851,0.4729610524156773,-0.19466906469127923,0.9931705627778757
rt_mean_incongruent,Stroop RT Incongruent (ms),49,47,997.8479462803423,241.08628133736576,986.6258134028826,210.27082306355044,24.782298995966315,76.04464909003867,0.3258914242161008,0.7445065042988468,0.11205543058996072,0.9931705627778757
rt_mean_congruent,Stroop RT Congruent (ms),49,47,863.4675872986088,206.27583756286336,848.9975329255451,168.93763549751503,6.46144309218057,64.27631959547608,0.10052602782557796,0.9199267202780805,0.03488816129049607,0.9931705627778757
prp_bottleneck,PRP Bottleneck (ms),48,46,570.8727845068634,136.10630339148278,590.0777060657404,162.17470679788053,5.761263172991839,51.11399616893225,0.11271400408512001,0.9102572983509776,0.04110536115517564,0.9931705627778757
t2_rt_mean_short,PRP T2 RT Short SOA (ms),48,46,1239.9550024816783,250.90044884532463,1278.482028565045,283.9374469730142,27.74313521862767,85.84160947525184,0.3231898305288186,0.7465514820694138,0.10909474089983441,0.9931705627778757
t2_rt_mean_long,PRP T2 RT Long SOA (ms),48,46,669.0822179748151,184.4241874019811,688.4043224993045,199.00044007141557,21.981872045635846,55.72801282042311,0.394449235368751,0.6932493995568475,0.11883579346285289,0.9931705627778757
t2_rt_sd_short,PRP T2 RT SD Short SOA,48,46,397.1148458368684,105.25672014547607,404.05133764067904,102.21787137927022,15.623556153579532,30.954420799870302,0.5047277820053734,0.6137500451682236,0.1545632315564488,0.9931705627778757
t2_rt_sd_long,PRP T2 RT SD Long SOA,48,46,239.73299274239528,110.89869517913127,257.52765118245776,113.27891368322562,13.196733823872872,31.680255640000194,0.41656020626331003,0.6770001212959202,0.12055736538214297,0.9931705627778757
