model,treatment_effect,p_value,r2,aic,n,outcome
Unadjusted,-0.4522605861306552,0.2749745704085046,0.008047119891464671,918.6709740695155,150,WCST PE Rate
Covariate-Adjusted,-0.46378642815994825,0.26354794543139687,0.013394340402303473,919.8601969170259,150,WCST PE Rate
Fully-Adjusted,0.02312999220583431,0.9675202221423647,0.025280233518716666,924.0421347333269,150,WCST PE Rate
Gender-Moderated,-0.8787963907975764,0.09707900473933607,0.02951927707672586,921.3883640359209,150,WCST PE Rate
Unadjusted,7.94240467289891,0.5264221913151019,0.002645278175431587,1997.333145355652,154,PRP Bottleneck
Covariate-Adjusted,7.625110263560578,0.5444186408363354,0.0046205852740482944,1999.027838804978,154,PRP Bottleneck
Fully-Adjusted,18.638117253770996,0.2873010062761809,0.012149196014736074,2003.8586234386141,154,PRP Bottleneck
Gender-Moderated,-12.591267844393045,0.4183012972155885,0.09097377028381692,1989.052333188262,154,PRP Bottleneck
Unadjusted,0.480092867723261,0.5600332589821845,0.00230002523712336,1125.3129553600697,150,WCST Accuracy
Covariate-Adjusted,0.5034296576369819,0.5415868499780652,0.007860144473715525,1126.474676777608,150,WCST Accuracy
Fully-Adjusted,0.3691337841425133,0.7453690660527716,0.010440698393264447,1132.0840187856195,150,WCST Accuracy
Gender-Moderated,1.178538505226821,0.26011352024469475,0.034018306611606985,1126.466797129834,150,WCST Accuracy
