outcome,effect_type,effect_label,analysis_type,effect_metric,effect_value,se,ci_lower,ci_upper,p_value,n,r2,dass_controlled,source,interpretation,significant,effect_formatted,ci_formatted,p_formatted
PRP,Regression,PRP: UCLA,PRP Comprehensive DASS-Controlled,β,,,,,,154,0.0137568182529258,True,prp_comprehensive,,,,,
PRP,Regression,PRP: UCLA,PRP Comprehensive DASS-Controlled,β,,,,,,154,0.1099994921874607,True,prp_comprehensive,,,,,
PRP,Regression,PRP: UCLA,PRP Comprehensive DASS-Controlled,β,,,,,,97,0.0340839391717928,True,prp_comprehensive,,,,,
PRP,Regression,PRP: UCLA,PRP Comprehensive DASS-Controlled,β,,,,,,57,0.2927299074651952,True,prp_comprehensive,,,,,
PRP,Regression,PRP: UCLA,PRP Comprehensive DASS-Controlled,β,,,,,,154,0.0363455144871427,True,prp_comprehensive,,,,,
PRP,Regression,PRP: UCLA,PRP Comprehensive DASS-Controlled,β,,,,,,154,0.1083881161538349,True,prp_comprehensive,,,,,
PRP,Regression,PRP: UCLA,PRP Comprehensive DASS-Controlled,β,,,,,,97,0.0288341682429753,True,prp_comprehensive,,,,,
PRP,Regression,PRP: UCLA,PRP Comprehensive DASS-Controlled,β,,,,,,57,0.1688309355426166,True,prp_comprehensive,,,,,
PRP,Regression,PRP: UCLA,PRP Comprehensive DASS-Controlled,β,,,,,,154,0.0137568182529256,True,prp_comprehensive,,,,,
PRP,Regression,PRP: UCLA,PRP Comprehensive DASS-Controlled,β,,,,,,154,0.1099994921874606,True,prp_comprehensive,,,,,
PRP,Regression,PRP: UCLA,PRP Comprehensive DASS-Controlled,β,,,,,,97,0.034083939171793,True,prp_comprehensive,,,,,
PRP,Regression,PRP: UCLA,PRP Comprehensive DASS-Controlled,β,,,,,,57,0.2927299074651953,True,prp_comprehensive,,,,,
PRP,Regression,PRP: UCLA,PRP Comprehensive DASS-Controlled,β,,,,,,154,0.0336668494854591,True,prp_comprehensive,,,,,
PRP,Regression,PRP: UCLA,PRP Comprehensive DASS-Controlled,β,,,,,,154,0.0469427154913986,True,prp_comprehensive,,,,,
PRP,Regression,PRP: UCLA,PRP Comprehensive DASS-Controlled,β,,,,,,97,0.0574662162929308,True,prp_comprehensive,,,,,
PRP,Regression,PRP: UCLA,PRP Comprehensive DASS-Controlled,β,,,,,,57,0.1145290393103588,True,prp_comprehensive,,,,,
PRP,Regression,PRP: UCLA,PRP Comprehensive DASS-Controlled,β,,,,,,154,0.0300373732506064,True,prp_comprehensive,,,,,
PRP,Regression,PRP: UCLA,PRP Comprehensive DASS-Controlled,β,,,,,,154,0.127040569254671,True,prp_comprehensive,,,,,
PRP,Regression,PRP: UCLA,PRP Comprehensive DASS-Controlled,β,,,,,,97,0.0290096786493888,True,prp_comprehensive,,,,,
PRP,Regression,PRP: UCLA,PRP Comprehensive DASS-Controlled,β,,,,,,57,0.2670102252804923,True,prp_comprehensive,,,,,
PRP,Regression,PRP: UCLA,PRP Comprehensive DASS-Controlled,β,,,,,,154,0.0110564887199676,True,prp_comprehensive,,,,,
PRP,Regression,PRP: UCLA,PRP Comprehensive DASS-Controlled,β,,,,,,154,0.0183826220138181,True,prp_comprehensive,,,,,
PRP,Regression,PRP: UCLA,PRP Comprehensive DASS-Controlled,β,,,,,,97,0.0147270330206583,True,prp_comprehensive,,,,,
PRP,Regression,PRP: UCLA,PRP Comprehensive DASS-Controlled,β,,,,,,57,0.0527549764506543,True,prp_comprehensive,,,,,
PRP,Regression,PRP: UCLA,PRP Comprehensive DASS-Controlled,β,,,,,,62,0.1083409560500835,True,prp_comprehensive,,,,,
PRP,Regression,PRP: UCLA,PRP Comprehensive DASS-Controlled,β,,,,,,62,0.1192204777383051,True,prp_comprehensive,,,,,
PRP,Regression,PRP: UCLA,PRP Comprehensive DASS-Controlled,β,,,,,,40,0.1054406452859106,True,prp_comprehensive,,,,,
PRP,Regression,PRP: UCLA,PRP Comprehensive DASS-Controlled,β,,,,,,22,0.2372842580815917,True,prp_comprehensive,,,,,
PRP,Regression,PRP: UCLA,PRP Comprehensive DASS-Controlled,β,,,,,,62,0.0962121786867694,True,prp_comprehensive,,,,,
PRP,Regression,PRP: UCLA,PRP Comprehensive DASS-Controlled,β,,,,,,62,0.1143023719134037,True,prp_comprehensive,,,,,
PRP,Regression,PRP: UCLA,PRP Comprehensive DASS-Controlled,β,,,,,,40,0.1013808577257896,True,prp_comprehensive,,,,,
PRP,Regression,PRP: UCLA,PRP Comprehensive DASS-Controlled,β,,,,,,22,0.226937130059539,True,prp_comprehensive,,,,,
PRP,Regression,PRP: UCLA,PRP Comprehensive DASS-Controlled,β,,,,,,62,0.1428693928477918,True,prp_comprehensive,,,,,
PRP,Regression,PRP: UCLA,PRP Comprehensive DASS-Controlled,β,,,,,,62,0.1765779120272537,True,prp_comprehensive,,,,,
PRP,Regression,PRP: UCLA,PRP Comprehensive DASS-Controlled,β,,,,,,40,0.0689589176586673,True,prp_comprehensive,,,,,
PRP,Regression,PRP: UCLA,PRP Comprehensive DASS-Controlled,β,,,,,,22,0.4493919228552352,True,prp_comprehensive,,,,,
PRP,Regression,PRP: UCLA,PRP Comprehensive DASS-Controlled,β,,,,,,62,0.0317839568742617,True,prp_comprehensive,,,,,
PRP,Regression,PRP: UCLA,PRP Comprehensive DASS-Controlled,β,,,,,,62,0.0689759182778831,True,prp_comprehensive,,,,,
PRP,Regression,PRP: UCLA,PRP Comprehensive DASS-Controlled,β,,,,,,40,0.0388670691541923,True,prp_comprehensive,,,,,
PRP,Regression,PRP: UCLA,PRP Comprehensive DASS-Controlled,β,,,,,,22,0.300381256827693,True,prp_comprehensive,,,,,
PRP,Regression,PRP: UCLA,PRP Comprehensive DASS-Controlled,β,,,,,,154,0.0787610430145573,True,prp_comprehensive,,,,,
PRP,Regression,PRP: UCLA,PRP Comprehensive DASS-Controlled,β,,,,,,154,0.0804885442538618,True,prp_comprehensive,,,,,
PRP,Regression,PRP: UCLA,PRP Comprehensive DASS-Controlled,β,,,,,,97,0.0747474332648914,True,prp_comprehensive,,,,,
PRP,Regression,PRP: UCLA,PRP Comprehensive DASS-Controlled,β,,,,,,57,0.1027850950641792,True,prp_comprehensive,,,,,
PRP Bottleneck,Female Correlation,PRP Bottleneck: Female r(UCLA),Pearson Correlation (Unadjusted),r,-0.0785489957792425,,-0.2737063878983996,0.1228204778734776,0.4444075167572155,97,0.0061699447379274,False,synthesis_analysis,negligible,,-0.079,"[-0.27, 0.12]",= 0.444
PRP Bottleneck,Female Simple Slope,PRP Bottleneck: Female UCLA Effect,Stratified Regression (DASS-controlled),β (standardized),4.451868688085029,21.586884522800908,-38.42782556307953,47.33156293924959,0.8370717591167196,97,0.0472193405573494,True,synthesis_analysis,large,,4.452,"[-38.43, 47.33]",= 0.837
PRP Bottleneck,Interaction,PRP Bottleneck: UCLA × Gender,Hierarchical Regression (DASS-controlled),β (standardized),38.1397423722142,25.550354345204298,-12.356589410978527,88.63607415540693,0.1376660659174315,154,0.1011397746057649,True,synthesis_analysis,large,,38.140,"[-12.36, 88.64]",= 0.138
PRP Bottleneck,Interaction ΔR²,PRP Bottleneck: UCLA × Gender ΔR²,Hierarchical Model Comparison,ΔR²,0.013718321059015,,,,0.1376660659174321,154,0.1011397746057648,True,master_dass_controlled,negligible,,0.014,,= 0.138
PRP Bottleneck,Interaction β,PRP Bottleneck: UCLA × Gender β,Hierarchical Regression Model 3,β (unstandardized),38.13974237221411,,,,0.1004087413229751,154,0.1011397746057648,True,master_dass_controlled,large,,38.140,,= 0.100
PRP Bottleneck,Male Correlation,PRP Bottleneck: Male r(UCLA),Pearson Correlation (Unadjusted),r,0.1858150459655879,,-0.0785560913547735,0.4257681207011482,0.1663957034193963,57,0.0345272313071935,False,synthesis_analysis,negligible,,0.186,"[-0.08, 0.43]",= 0.166
PRP Bottleneck,Male Simple Slope,PRP Bottleneck: Male UCLA Effect,Stratified Regression (DASS-controlled),β (standardized),21.391215139939565,24.426857200667293,-27.647746935942603,70.43017721582173,0.3852854058689283,57,0.2764318624757708,True,synthesis_analysis,large,,21.391,"[-27.65, 70.43]",= 0.385
PRP Bottleneck (ms),Cohen's d (Female),PRP Bottleneck (ms): High vs Low UCLA (Female only),Group Comparison (Female Median Split),Cohen's d,-0.07335989185725997,,-0.41887722484633605,0.40902110568843997,0.7215334624354983,95,,False,computed_group_female,negligible,,-0.073,"[-0.42, 0.41]",= 0.722
PRP Bottleneck (ms),Cohen's d (High vs Low UCLA),PRP Bottleneck (ms): High vs Low UCLA (median split),Group Comparison (Median Split),Cohen's d,0.2159949672748544,,-0.314672524140017,0.3164499969737418,0.1793530093738287,156,,False,computed_group_comparison,small,,0.216,"[-0.31, 0.32]",= 0.179
PRP Bottleneck (ms),Cohen's d (Male),PRP Bottleneck (ms): High vs Low UCLA (Male only),Group Comparison (Male Median Split),Cohen's d,0.15192104411237753,,-0.5535319024463771,0.5066633251048173,0.5654779361101745,58,,False,computed_group_male,negligible,,0.152,"[-0.55, 0.51]",= 0.565
PRP Bottleneck (ms),Correlation r,PRP Bottleneck (ms): UCLA Correlation (Full Sample),Pearson Correlation,r,0.05132308797920414,,-0.09324299805009563,0.20686728499356521,0.5245879160916639,156,0.002634059359721128,False,computed_correlation,negligible,,0.051,"[-0.09, 0.21]",= 0.525
PRP Bottleneck (ms),Female UCLA β,PRP Bottleneck (ms): Female UCLA Effect,Gender-Stratified Regression,β (unstandardized),4.451868688085029,21.586884522800908,-38.42782556307953,47.33156293924959,0.8370717591167196,97,0.0472193405573494,True,synthesis_analysis,large,,4.452,"[-38.43, 47.33]",= 0.837
PRP Bottleneck (ms),Male UCLA β,PRP Bottleneck (ms): Male UCLA Effect,Gender-Stratified Regression,β (unstandardized),21.391215139939565,24.426857200667293,-27.647746935942603,70.43017721582173,0.3852854058689283,57,0.2764318624757708,True,synthesis_analysis,large,,21.391,"[-27.65, 70.43]",= 0.385
Stroop Interference,Female Correlation,Stroop Interference: Female r(UCLA),Pearson Correlation (Unadjusted),r,-0.0273733829084441,,-0.2225946916617644,0.1699585386701834,0.7868964082863922,100,0.0007493020918523,False,synthesis_analysis,negligible,,-0.027,"[-0.22, 0.17]",= 0.787
Stroop Interference,Female Simple Slope,Stroop Interference: Female UCLA Effect,Stratified Regression (DASS-controlled),β (standardized),2.2746528568008486,14.693458310117848,-26.89955306002779,31.44885877362949,0.8773052469138887,100,0.0159276162342176,True,synthesis_analysis,large,,2.275,"[-26.90, 31.45]",= 0.877
Stroop Interference,Interaction,Stroop Interference: UCLA × Gender,Hierarchical Regression (DASS-controlled),β (standardized),9.789906098865844,17.655127588360067,-25.094954620463437,44.67476681819512,0.5800571899152857,158,0.0322222567651714,True,synthesis_analysis,large,,9.790,"[-25.09, 44.67]",= 0.580
Stroop Interference,Interaction ΔR²,Stroop Interference: UCLA × Gender ΔR²,Hierarchical Model Comparison,ΔR²,0.0019838082984399,,,,0.5800571899152676,158,0.0322222567651715,True,master_dass_controlled,negligible,,0.002,,= 0.580
Stroop Interference,Interaction β,Stroop Interference: UCLA × Gender β,Hierarchical Regression Model 3,β (unstandardized),9.789906098865815,,,,0.5641627706262302,158,0.0322222567651715,True,master_dass_controlled,large,,9.790,,= 0.564
Stroop Interference,Male Correlation,Stroop Interference: Male r(UCLA),Pearson Correlation (Unadjusted),r,0.0448941299851769,,-0.2159052747043452,0.2997144271271639,0.7379046015367895,58,0.0020154829071259,False,synthesis_analysis,negligible,,0.045,"[-0.22, 0.30]",= 0.738
Stroop Interference,Male Simple Slope,Stroop Interference: Male UCLA Effect,Stratified Regression (DASS-controlled),β (standardized),33.129642657728866,19.30263539154394,-5.603928979983444,71.86321429544117,0.0920545543731677,58,0.1620359688005687,True,synthesis_analysis,large,,33.130,"[-5.60, 71.86]",= 0.092
