outcome,effect_type,effect_metric,effect_value,r_equivalent,d_equivalent,p_value,n
PRP Bottleneck,Female Correlation,r,-0.0785489957792425,-0.0785489957792425,-0.15758488878042143,0.4444075167572155,97
PRP Bottleneck,Female Simple Slope,β (standardized),4.451868688085029,,,0.8370717591167196,97
PRP Bottleneck,Interaction,β (standardized),38.1397423722142,,,0.1376660659174315,154
PRP Bottleneck,Interaction ΔR²,ΔR²,0.013718321059015,,,0.1376660659174321,154
PRP Bottleneck,Interaction β,β (unstandardized),38.13974237221411,,,0.1004087413229751,154
PRP Bottleneck,Male Correlation,r,0.1858150459655879,0.1858150459655879,0.3782168369816882,0.1663957034193963,57
PRP Bottleneck,Male Simple Slope,β (standardized),21.391215139939565,,,0.3852854058689283,57
PRP Bottleneck (ms),Cohen's d (Female),Cohen's d,-0.07335989185725997,-0.036655295861641055,-0.07335989185725997,0.7215334624354983,95
PRP Bottleneck (ms),Cohen's d (High vs Low UCLA),Cohen's d,0.2159949672748544,0.10737312799363409,0.2159949672748544,0.1793530093738287,156
PRP Bottleneck (ms),Cohen's d (Male),Cohen's d,0.15192104411237753,0.07574231973342394,0.15192104411237753,0.5654779361101745,58
PRP Bottleneck (ms),Correlation r,r,0.05132308797920414,0.05132308797920414,0.10278163167628757,0.5245879160916639,156
PRP Bottleneck (ms),Female UCLA β,β (unstandardized),4.451868688085029,,,0.8370717591167196,97
PRP Bottleneck (ms),Male UCLA β,β (unstandardized),21.391215139939565,,,0.3852854058689283,57
Stroop Interference,Female Correlation,r,-0.0273733829084441,-0.0273733829084441,-0.05476728828382855,0.7868964082863922,100
Stroop Interference,Female Simple Slope,β (standardized),2.2746528568008486,,,0.8773052469138887,100
Stroop Interference,Interaction,β (standardized),9.789906098865844,,,0.5800571899152857,158
Stroop Interference,Interaction ΔR²,ΔR²,0.0019838082984399,,,0.5800571899152676,158
Stroop Interference,Interaction β,β (unstandardized),9.789906098865815,,,0.5641627706262302,158
Stroop Interference,Male Correlation,r,0.0448941299851769,0.0448941299851769,0.08987888032783581,0.7379046015367895,58
Stroop Interference,Male Simple Slope,β (standardized),33.129642657728866,,,0.0920545543731677,58
Stroop Interference (ms),Cohen's d (Female),Cohen's d,0.06713392743223101,0.03354806904364574,0.06713392743223101,0.740598668644799,98
Stroop Interference (ms),Cohen's d (High vs Low UCLA),Cohen's d,0.0867728708387664,0.04334565803991396,0.0867728708387664,0.583946877896685,160
Stroop Interference (ms),Cohen's d (Male),Cohen's d,0.05620012302752864,0.02808897398612022,0.05620012302752864,0.8300990916118531,59
Stroop Interference (ms),Correlation r,r,0.006988878595946222,0.006988878595946222,0.013978098572148013,0.9301063583968354,160
Stroop Interference (ms),Female UCLA β,β (unstandardized),2.2746528568008486,,,0.8773052469138887,100
Stroop Interference (ms),Male UCLA β,β (unstandardized),33.129642657728866,,,0.0920545543731677,58
WCST Accuracy,Female Correlation,r,0.1065057097315615,0.1065057097315615,0.21422993992186937,0.3042923402805054,95
WCST Accuracy,Female Simple Slope,β (standardized),1.4011479241429647,,,0.3582561703547391,95
WCST Accuracy,Interaction,β (standardized),-1.2901625068390503,,,0.460143382716924,150
WCST Accuracy,Interaction ΔR²,ΔR²,0.0037215580434368,,,0.4601433827169144,150
WCST Accuracy,Interaction β,β (unstandardized),-1.2901625068390596,,,0.3638007381796387,150
WCST Accuracy,Male Correlation,r,-0.0101026712308372,-0.0101026712308372,-0.02020637365930416,0.9416435145066036,55
WCST Accuracy,Male Simple Slope,β (standardized),-1.47785331042903,,,0.3908353440324663,55
WCST Accuracy (%),Cohen's d (Female),Cohen's d,0.21253452955297514,0.10567227550386936,0.21253452955297514,0.3084224051896443,93
WCST Accuracy (%),Cohen's d (High vs Low UCLA),Cohen's d,-0.03456758604780899,-0.017281212012722997,-0.03456758604780899,0.8321862435056011,151
WCST Accuracy (%),Cohen's d (Male),Cohen's d,-0.21723476448282597,-0.10798227676836561,-0.21723476448282597,0.41989158552570816,56
WCST Accuracy (%),Correlation r,r,0.0468729828872377,0.0468729828872377,0.09384911931314081,0.5676520994436788,151
WCST Accuracy (%),Female UCLA β,β (unstandardized),1.4011479241429647,,,0.3582561703547391,95
WCST Accuracy (%),Male UCLA β,β (unstandardized),-1.47785331042903,,,0.3908353440324663,55
WCST PE Rate,Female Correlation,r,-0.1516218870863228,-0.1516218870863228,-0.30679071405104946,0.1424418899561021,95
WCST PE Rate,Female Simple Slope,β (standardized),-0.3088396207874917,,,0.6937297015981114,95
WCST PE Rate,Interaction,β (standardized),0.9856481476453356,,,0.2616055735312996,150
WCST PE Rate,Interaction ΔR²,ΔR²,0.0085636849100604,,,0.2616055735313018,150
WCST PE Rate,Interaction β,β (unstandardized),0.9856481476453356,,,0.1733080552244689,150
WCST PE Rate,Male Correlation,r,0.0198430900862538,0.0198430900862538,0.03969399566206823,0.8856629155327274,55
WCST PE Rate,Male Simple Slope,β (standardized),0.5491502264720556,,,0.4795618441986842,55
WCST PE Rate (%),Cohen's d (Female),Cohen's d,-0.3006451107043177,-0.14865239821933848,-0.3006451107043177,0.15080169945107064,93
WCST PE Rate (%),Cohen's d (High vs Low UCLA),Cohen's d,-0.10340963659107316,-0.05163584303654033,-0.10340963659107316,0.5263951476443351,151
WCST PE Rate (%),Cohen's d (Male),Cohen's d,0.09221108196385164,0.046056615213770774,0.09221108196385164,0.7314179259388429,56
WCST PE Rate (%),Correlation r,r,-0.0869205344096633,-0.0869205344096633,-0.17450151374178932,0.28858463812344476,151
WCST PE Rate (%),Female UCLA β,β (unstandardized),-0.3088396207874917,,,0.6937297015981114,95
