,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
age_coef,-0.041,0.079,-0.19,0.104,0.002,0.001,1448.0,4542.0,1.0
gender_coef,-0.086,0.119,-0.312,0.14,0.002,0.002,2636.0,1839.0,1.0
ucla_dass_coef,0.011,0.648,-1.227,1.35,0.066,0.048,89.0,208.0,1.05
dass_latent[0],0.077,1.577,-2.977,2.877,0.121,0.101,132.0,554.0,1.03
dass_latent[1],-0.089,1.401,-2.689,2.655,0.087,0.089,184.0,587.0,1.02
dass_latent[2],0.041,1.44,-2.693,2.802,0.097,0.111,152.0,485.0,1.03
dass_latent[3],0.014,1.024,-2.041,1.992,0.012,0.104,2296.0,604.0,1.03
dass_latent[4],-0.013,1.1,-2.052,2.203,0.031,0.095,456.0,516.0,1.03
dass_latent[5],0.096,1.348,-2.46,2.656,0.078,0.122,203.0,535.0,1.03
dass_latent[6],0.063,1.11,-2.118,2.104,0.041,0.112,345.0,488.0,1.04
dass_latent[7],0.017,1.038,-1.887,2.07,0.025,0.098,512.0,680.0,1.02
dass_latent[8],-0.047,1.195,-2.191,2.369,0.061,0.105,213.0,604.0,1.02
dass_latent[9],0.053,1.643,-3.248,3.181,0.133,0.101,124.0,408.0,1.03
dass_latent[10],0.029,1.033,-2.027,2.001,0.015,0.092,1342.0,615.0,1.04
dass_latent[11],-0.15,1.646,-3.19,3.167,0.124,0.144,141.0,327.0,1.08
dass_latent[12],-0.024,1.685,-3.173,3.539,0.135,0.115,129.0,339.0,1.04
dass_latent[13],-0.006,1.192,-2.204,2.361,0.06,0.093,228.0,611.0,1.03
dass_latent[14],-0.028,1.466,-3.079,2.616,0.108,0.095,141.0,439.0,1.03
dass_latent[15],-0.027,1.057,-1.91,2.143,0.017,0.114,931.0,538.0,1.03
dass_latent[16],0.035,1.408,-2.627,2.87,0.1,0.091,144.0,448.0,1.03
dass_latent[17],0.006,1.651,-3.171,3.451,0.13,0.111,133.0,352.0,1.04
dass_latent[18],-0.05,1.366,-2.736,2.45,0.093,0.094,152.0,584.0,1.03
dass_latent[19],-0.295,2.784,-5.454,5.49,0.25,0.248,105.0,246.0,1.06
dass_latent[20],0.003,1.246,-2.289,2.462,0.071,0.085,194.0,523.0,1.03
dass_latent[21],-0.068,1.355,-2.536,2.598,0.081,0.085,192.0,621.0,1.02
dass_latent[22],-0.193,1.904,-3.73,3.804,0.155,0.163,127.0,269.0,1.08
dass_latent[23],0.097,1.304,-2.5,2.534,0.08,0.128,185.0,451.0,1.07
dass_latent[24],0.01,1.012,-1.89,1.95,0.007,0.101,8313.0,668.0,1.03
dass_latent[25],-0.079,1.528,-2.849,2.864,0.111,0.098,143.0,472.0,1.03
dass_latent[26],0.07,1.369,-2.525,2.601,0.092,0.105,157.0,509.0,1.03
dass_latent[27],0.035,1.037,-1.919,2.062,0.01,0.105,2010.0,594.0,1.04
dass_latent[28],-0.009,1.132,-2.186,2.128,0.041,0.095,335.0,528.0,1.03
dass_latent[29],0.046,1.408,-2.844,2.595,0.093,0.09,161.0,462.0,1.03
dass_latent[30],-0.022,1.227,-2.197,2.478,0.062,0.092,227.0,512.0,1.02
dass_latent[31],0.019,1.444,-2.749,2.855,0.107,0.092,140.0,426.0,1.03
dass_latent[32],0.003,1.104,-1.958,2.243,0.04,0.097,332.0,554.0,1.03
dass_latent[33],0.063,1.142,-2.075,2.292,0.051,0.085,288.0,589.0,1.02
dass_latent[34],0.018,1.076,-2.028,2.152,0.034,0.084,385.0,654.0,1.02
dass_latent[35],0.002,1.058,-2.046,1.821,0.007,0.139,22881.0,622.0,1.04
dass_latent[36],0.03,1.038,-1.968,1.979,0.01,0.116,2739.0,547.0,1.04
dass_latent[37],0.026,1.3,-2.335,2.573,0.079,0.093,177.0,570.0,1.03
dass_latent[38],0.036,1.255,-2.456,2.28,0.068,0.092,210.0,645.0,1.02
dass_latent[39],-0.038,1.261,-2.498,2.352,0.075,0.084,182.0,750.0,1.02
dass_latent[40],0.023,1.134,-2.136,2.247,0.052,0.079,273.0,681.0,1.02
dass_latent[41],0.126,1.594,-3.095,2.988,0.124,0.139,127.0,384.0,1.03
dass_latent[42],-0.013,1.574,-3.233,2.957,0.122,0.104,132.0,357.0,1.04
dass_latent[43],-0.063,1.24,-2.225,2.419,0.072,0.093,176.0,524.0,1.02
dass_latent[44],0.048,1.492,-3.219,2.56,0.105,0.099,152.0,420.0,1.03
dass_latent[45],0.033,1.164,-2.195,2.244,0.05,0.092,271.0,618.0,1.02
dass_latent[46],0.023,1.177,-2.211,2.26,0.056,0.089,241.0,610.0,1.02
dass_latent[47],-0.138,1.741,-3.144,3.428,0.142,0.114,119.0,478.0,1.03
dass_latent[48],0.022,1.144,-2.267,2.043,0.053,0.093,242.0,516.0,1.02
dass_latent[49],-0.009,1.54,-2.642,3.457,0.117,0.103,138.0,371.0,1.03
dass_latent[50],-0.113,1.363,-2.682,2.552,0.083,0.134,184.0,423.0,1.06
dass_latent[51],-0.024,1.115,-2.054,2.208,0.042,0.086,326.0,613.0,1.02
dass_latent[52],0.006,1.359,-2.831,2.454,0.094,0.089,154.0,454.0,1.03
dass_latent[53],0.062,1.254,-2.393,2.403,0.075,0.092,176.0,533.0,1.02
dass_latent[54],-0.008,1.017,-2.026,1.842,0.008,0.093,7377.0,636.0,1.04
dass_latent[55],0.043,1.783,-3.113,3.934,0.151,0.112,117.0,365.0,1.04
dass_latent[56],-0.089,1.31,-2.558,2.488,0.082,0.113,164.0,498.0,1.03
dass_latent[57],0.022,1.525,-3.236,2.678,0.11,0.095,148.0,393.0,1.03
dass_latent[58],0.007,1.39,-2.595,2.86,0.1,0.095,145.0,439.0,1.03
dass_latent[59],0.111,1.45,-2.91,2.637,0.104,0.125,140.0,461.0,1.03
dass_latent[60],0.002,1.321,-2.659,2.432,0.084,0.088,171.0,491.0,1.03
dass_latent[61],0.057,1.612,-3.024,3.226,0.132,0.098,123.0,404.0,1.03
dass_latent[62],0.033,1.13,-2.157,2.087,0.038,0.1,352.0,681.0,1.02
dass_latent[63],0.005,1.083,-2.049,2.081,0.042,0.081,313.0,635.0,1.02
dass_latent[64],0.033,1.287,-2.627,2.323,0.074,0.084,194.0,542.0,1.03
dass_latent[65],-0.068,1.204,-2.206,2.381,0.063,0.125,215.0,387.0,1.02
dass_latent[66],-0.037,1.294,-2.334,2.56,0.083,0.101,164.0,481.0,1.03
dass_latent[67],0.015,1.248,-2.365,2.39,0.073,0.088,191.0,490.0,1.03
dass_latent[68],-0.002,1.349,-2.708,2.595,0.09,0.088,164.0,435.0,1.03
dass_latent[69],-0.053,1.129,-2.131,2.114,0.033,0.123,416.0,560.0,1.04
dass_latent[70],0.008,1.115,-2.035,2.203,0.038,0.104,345.0,552.0,1.03
dass_latent[71],-0.023,1.374,-2.83,2.512,0.092,0.096,156.0,477.0,1.03
dass_latent[72],-0.017,1.04,-2.093,1.981,0.011,0.108,1646.0,561.0,1.03
dass_latent[73],-0.025,1.528,-2.664,3.456,0.115,0.099,142.0,350.0,1.04
dass_latent[74],0.0,1.138,-2.2,2.118,0.046,0.094,308.0,602.0,1.03
dass_latent[75],-0.006,1.014,-1.94,1.981,0.017,0.09,919.0,626.0,1.03
dass_latent[76],-0.017,1.147,-2.24,2.181,0.051,0.084,271.0,740.0,1.02
dass_latent[77],-0.016,1.366,-2.669,2.698,0.096,0.085,152.0,444.0,1.03
dass_latent[78],0.017,1.078,-2.197,1.989,0.032,0.105,417.0,587.0,1.02
dass_latent[79],0.024,1.049,-1.971,2.066,0.021,0.109,642.0,526.0,1.03
dass_latent[80],-0.074,1.217,-2.283,2.482,0.058,0.109,262.0,508.0,1.04
dass_latent[81],-0.008,1.053,-2.072,1.958,0.024,0.084,555.0,611.0,1.03
dass_latent[82],-0.002,1.335,-2.707,2.515,0.09,0.089,157.0,474.0,1.03
dass_latent[83],0.004,1.076,-1.972,2.107,0.029,0.092,425.0,646.0,1.03
dass_latent[84],0.029,1.048,-2.002,2.007,0.016,0.113,1198.0,576.0,1.04
dass_latent[85],-0.025,1.099,-2.206,2.03,0.033,0.104,384.0,570.0,1.03
dass_latent[86],0.078,1.304,-2.44,2.53,0.08,0.1,166.0,451.0,1.03
dass_latent[87],0.006,1.108,-2.095,2.137,0.037,0.09,378.0,633.0,1.02
dass_latent[88],0.08,1.185,-2.251,2.343,0.057,0.109,250.0,561.0,1.05
dass_latent[89],0.028,1.208,-2.257,2.348,0.067,0.089,200.0,551.0,1.02
dass_latent[90],-0.015,1.102,-2.088,2.068,0.035,0.097,364.0,528.0,1.03
dass_latent[91],-0.024,1.115,-2.112,2.152,0.042,0.085,344.0,636.0,1.02
dass_latent[92],0.128,1.548,-2.989,2.831,0.107,0.111,159.0,502.0,1.02
dass_latent[93],0.027,1.047,-1.999,2.042,0.01,0.109,1449.0,587.0,1.03
dass_latent[94],0.036,1.993,-3.75,4.163,0.176,0.129,110.0,317.0,1.04
dass_latent[95],0.018,1.211,-2.308,2.266,0.059,0.093,234.0,681.0,1.03
dass_latent[96],0.074,1.129,-2.24,2.138,0.049,0.117,276.0,584.0,1.04
dass_latent[97],0.014,1.458,-3.019,2.761,0.106,0.094,147.0,410.0,1.04
dass_latent[98],0.018,1.089,-2.217,1.941,0.027,0.107,417.0,607.0,1.02
dass_latent[99],0.004,1.0,-1.979,1.943,0.007,0.1,10296.0,562.0,1.04
dass_latent[100],-0.031,1.061,-2.038,2.062,0.023,0.103,640.0,480.0,1.03
dass_latent[101],-0.011,1.038,-1.97,2.066,0.016,0.1,921.0,509.0,1.03
dass_latent[102],-0.027,1.145,-2.173,2.28,0.024,0.102,1351.0,525.0,1.05
dass_latent[103],0.022,1.043,-2.069,2.035,0.013,0.096,1008.0,595.0,1.03
dass_latent[104],0.002,1.014,-1.982,2.004,0.007,0.094,21182.0,624.0,1.04
dass_latent[105],0.058,1.317,-2.518,2.484,0.089,0.09,153.0,625.0,1.03
dass_latent[106],0.072,1.813,-3.265,3.687,0.156,0.106,115.0,391.0,1.04
dass_latent[107],0.0,1.08,-2.043,2.092,0.031,0.095,446.0,657.0,1.03
dass_latent[108],-0.088,1.571,-2.967,2.908,0.123,0.099,129.0,517.0,1.03
dass_latent[109],0.053,1.196,-2.307,2.255,0.056,0.099,250.0,564.0,1.02
dass_latent[110],0.031,1.17,-2.254,2.161,0.046,0.093,295.0,712.0,1.02
dass_latent[111],-0.015,1.251,-2.503,2.273,0.076,0.087,183.0,614.0,1.02
dass_latent[112],0.004,1.042,-1.893,2.107,0.023,0.089,666.0,682.0,1.02
dass_latent[113],0.001,1.117,-2.156,2.056,0.032,0.096,402.0,686.0,1.03
dass_latent[114],0.005,1.053,-2.04,1.988,0.009,0.102,3434.0,610.0,1.03
dass_latent[115],0.037,1.31,-2.521,2.536,0.088,0.092,152.0,520.0,1.03
dass_latent[116],-0.02,1.308,-2.49,2.561,0.085,0.083,166.0,560.0,1.03
dass_latent[117],0.044,1.19,-2.227,2.361,0.057,0.096,236.0,626.0,1.02
dass_latent[118],-0.12,1.595,-3.122,3.043,0.117,0.131,139.0,474.0,1.05
dass_latent[119],0.023,1.284,-2.621,2.296,0.07,0.094,200.0,555.0,1.03
dass_latent[120],-0.016,1.008,-1.919,2.015,0.009,0.095,3838.0,603.0,1.04
dass_latent[121],0.01,1.137,-2.277,2.058,0.054,0.085,241.0,589.0,1.02
dass_latent[122],-0.068,1.184,-2.267,2.201,0.053,0.107,266.0,601.0,1.02
dass_latent[123],-0.254,2.498,-5.055,4.847,0.219,0.234,112.0,254.0,1.07
dass_latent[124],0.033,1.187,-2.39,2.174,0.061,0.089,222.0,559.0,1.02
dass_latent[125],-0.206,2.133,-4.104,4.191,0.181,0.179,114.0,322.0,1.05
dass_latent[126],0.034,1.059,-1.992,2.054,0.023,0.094,645.0,629.0,1.03
dass_latent[127],-0.003,1.021,-2.027,1.963,0.014,0.108,1070.0,510.0,1.03
dass_latent[128],0.01,1.075,-2.079,2.045,0.026,0.094,494.0,635.0,1.02
dass_latent[129],-0.172,2.124,-3.991,4.022,0.183,0.164,115.0,437.0,1.03
dass_latent[130],-0.028,1.176,-2.225,2.199,0.063,0.097,208.0,502.0,1.02
dass_latent[131],0.091,1.294,-2.548,2.487,0.079,0.122,189.0,507.0,1.06
dass_latent[132],0.122,1.531,-2.933,2.774,0.103,0.119,164.0,500.0,1.02
dass_latent[133],0.03,1.244,-2.392,2.348,0.07,0.088,201.0,573.0,1.02
dass_latent[134],-0.023,1.256,-2.522,2.288,0.076,0.094,175.0,530.0,1.03
dass_latent[135],-0.334,3.029,-5.874,6.085,0.269,0.256,111.0,238.0,1.06
dass_latent[136],0.02,1.671,-3.098,3.555,0.136,0.103,126.0,367.0,1.04
dass_latent[137],-0.042,1.131,-2.142,2.099,0.045,0.093,296.0,749.0,1.02
dass_latent[138],0.013,1.214,-2.421,2.225,0.066,0.089,204.0,580.0,1.03
dass_latent[139],0.081,1.808,-3.456,3.507,0.156,0.105,117.0,430.0,1.03
dass_latent[140],0.053,1.101,-2.079,2.154,0.037,0.108,408.0,544.0,1.05
dass_latent[141],0.026,1.077,-2.034,2.132,0.023,0.101,582.0,598.0,1.03
dass_latent[142],0.001,1.334,-2.651,2.53,0.088,0.087,169.0,497.0,1.03
dass_latent[143],0.03,1.372,-2.911,2.436,0.094,0.086,160.0,447.0,1.03
dass_latent[144],-0.02,1.087,-2.128,2.019,0.025,0.094,615.0,642.0,1.03
dass_latent[145],-0.019,1.104,-2.18,1.959,0.025,0.098,488.0,589.0,1.03
dass_latent[146],0.088,1.293,-2.541,2.452,0.074,0.136,204.0,307.0,1.06
dass_latent[147],0.006,1.373,-2.592,2.723,0.091,0.097,159.0,465.0,1.04
dass_latent[148],-0.024,1.106,-1.992,2.217,0.038,0.088,270.0,680.0,1.02
dass_latent[149],-0.018,1.087,-2.027,2.188,0.025,0.097,542.0,642.0,1.02
dass_latent[150],-0.089,1.65,-3.158,2.948,0.13,0.105,127.0,584.0,1.03
dass_latent[151],0.077,1.209,-2.224,2.461,0.06,0.134,233.0,529.0,1.05
dass_latent[152],0.03,1.319,-2.514,2.557,0.088,0.088,160.0,569.0,1.03
dass_latent[153],0.061,1.429,-2.617,2.801,0.102,0.096,143.0,503.0,1.03
dass_latent[154],-0.033,1.281,-2.451,2.503,0.073,0.1,197.0,504.0,1.03
dass_latent[155],-0.003,1.033,-2.04,1.912,0.013,0.088,1156.0,660.0,1.03
dass_latent[156],-0.024,1.081,-2.047,2.041,0.031,0.09,451.0,710.0,1.02
dass_latent[157],-0.014,1.387,-2.791,2.592,0.093,0.095,159.0,440.0,1.03
