,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
age_coef,-0.247,0.064,-0.368,-0.126,0.002,0.002,682.0,487.0,1.01
gender_coef,-0.064,0.101,-0.252,0.126,0.003,0.002,1238.0,1292.0,1.0
ucla_dass_coef,-0.034,0.536,-1.244,0.947,0.039,0.036,178.0,243.0,1.04
dass_latent[0],0.111,1.441,-2.712,2.875,0.073,0.191,307.0,214.0,1.08
dass_latent[1],0.118,1.447,-2.602,2.964,0.074,0.185,293.0,250.0,1.08
dass_latent[2],0.112,1.448,-2.704,2.949,0.074,0.185,299.0,295.0,1.08
dass_latent[3],0.052,1.824,-3.561,3.742,0.14,0.342,158.0,92.0,1.12
dass_latent[4],0.06,1.781,-3.572,3.555,0.137,0.303,158.0,98.0,1.11
dass_latent[5],0.064,1.81,-3.308,3.968,0.137,0.293,158.0,106.0,1.11
dass_latent[6],-0.153,1.793,-3.987,3.29,0.137,0.311,172.0,157.0,1.12
dass_latent[7],-0.166,1.828,-3.885,3.446,0.133,0.305,183.0,147.0,1.12
dass_latent[8],-0.164,1.822,-4.2,3.097,0.137,0.323,175.0,136.0,1.12
dass_latent[9],0.012,1.478,-2.847,3.029,0.088,0.215,224.0,118.0,1.09
dass_latent[10],0.015,1.495,-3.017,2.816,0.09,0.211,217.0,113.0,1.09
dass_latent[11],0.008,1.482,-2.827,2.992,0.085,0.224,235.0,116.0,1.09
dass_latent[12],-0.015,1.103,-2.153,2.172,0.009,0.165,8268.0,198.0,1.11
dass_latent[13],-0.005,1.092,-2.178,2.161,0.009,0.176,7548.0,152.0,1.11
dass_latent[14],0.003,1.134,-2.398,2.101,0.01,0.181,6355.0,187.0,1.12
dass_latent[15],0.01,1.193,-2.298,2.284,0.024,0.171,1064.0,157.0,1.09
dass_latent[16],-0.005,1.189,-2.301,2.302,0.025,0.183,1050.0,158.0,1.09
dass_latent[17],0.011,1.191,-2.281,2.391,0.023,0.17,1145.0,197.0,1.1
dass_latent[18],0.164,1.868,-3.534,4.179,0.15,0.321,168.0,140.0,1.14
dass_latent[19],0.152,1.885,-3.349,4.439,0.152,0.325,168.0,122.0,1.13
dass_latent[20],0.157,1.889,-3.359,4.432,0.151,0.327,167.0,126.0,1.14
dass_latent[21],0.077,1.382,-2.924,2.745,0.084,0.239,269.0,139.0,1.14
dass_latent[22],0.072,1.384,-2.567,2.97,0.084,0.241,264.0,166.0,1.14
dass_latent[23],0.062,1.402,-2.791,2.828,0.083,0.244,283.0,130.0,1.14
dass_latent[24],0.005,1.129,-2.289,2.175,0.02,0.168,1394.0,216.0,1.09
dass_latent[25],0.007,1.13,-2.14,2.29,0.018,0.171,1880.0,204.0,1.09
dass_latent[26],0.013,1.11,-2.135,2.149,0.02,0.152,1524.0,179.0,1.09
dass_latent[27],-0.01,1.284,-2.673,2.35,0.055,0.193,385.0,141.0,1.09
dass_latent[28],-0.018,1.271,-2.478,2.441,0.058,0.209,354.0,145.0,1.1
dass_latent[29],-0.021,1.274,-2.377,2.601,0.058,0.199,368.0,132.0,1.1
dass_latent[30],-0.018,1.569,-3.087,3.055,0.093,0.196,232.0,187.0,1.08
dass_latent[31],-0.022,1.579,-3.039,2.994,0.09,0.198,236.0,206.0,1.08
dass_latent[32],-0.022,1.537,-2.941,2.952,0.092,0.182,223.0,234.0,1.08
dass_latent[33],0.04,1.177,-2.253,2.327,0.039,0.183,725.0,163.0,1.11
dass_latent[34],0.044,1.205,-2.263,2.507,0.044,0.194,593.0,143.0,1.13
dass_latent[35],0.035,1.212,-2.322,2.521,0.04,0.183,668.0,166.0,1.13
dass_latent[36],-0.168,2.159,-5.166,4.018,0.185,0.387,158.0,137.0,1.16
dass_latent[37],-0.179,2.161,-5.303,3.804,0.185,0.406,160.0,128.0,1.16
dass_latent[38],-0.179,2.147,-5.374,3.649,0.179,0.383,163.0,134.0,1.16
dass_latent[39],-0.135,1.595,-3.219,2.962,0.096,0.182,240.0,234.0,1.07
dass_latent[40],-0.122,1.612,-3.282,2.965,0.096,0.171,231.0,240.0,1.07
dass_latent[41],-0.138,1.611,-3.136,3.097,0.097,0.17,227.0,317.0,1.07
dass_latent[42],-0.025,1.228,-2.359,2.414,0.036,0.156,711.0,234.0,1.08
dass_latent[43],-0.022,1.211,-2.362,2.329,0.038,0.149,619.0,259.0,1.08
dass_latent[44],-0.025,1.242,-2.326,2.384,0.036,0.156,587.0,228.0,1.07
dass_latent[45],0.064,1.34,-2.57,2.537,0.056,0.135,406.0,373.0,1.06
dass_latent[46],0.078,1.363,-2.411,2.764,0.058,0.134,418.0,378.0,1.06
dass_latent[47],0.059,1.344,-2.535,2.698,0.057,0.154,430.0,394.0,1.07
dass_latent[48],-0.006,1.117,-2.238,2.183,0.013,0.156,3029.0,225.0,1.1
dass_latent[49],0.014,1.092,-2.153,2.109,0.015,0.158,2894.0,175.0,1.1
dass_latent[50],-0.001,1.127,-2.152,2.16,0.011,0.18,3802.0,148.0,1.12
dass_latent[51],-0.003,1.456,-2.92,2.744,0.076,0.2,272.0,149.0,1.08
dass_latent[52],-0.011,1.435,-2.927,2.628,0.075,0.211,272.0,201.0,1.08
dass_latent[53],-0.006,1.44,-2.782,2.789,0.08,0.221,254.0,116.0,1.08
dass_latent[54],-0.084,1.531,-3.014,2.778,0.073,0.146,323.0,304.0,1.06
dass_latent[55],-0.1,1.492,-3.009,2.721,0.073,0.142,313.0,337.0,1.06
dass_latent[56],-0.093,1.482,-2.885,2.799,0.073,0.129,308.0,372.0,1.05
dass_latent[57],-0.001,1.349,-2.524,2.691,0.062,0.194,319.0,149.0,1.08
dass_latent[58],0.008,1.318,-2.512,2.597,0.062,0.183,323.0,182.0,1.08
dass_latent[59],0.016,1.334,-2.496,2.718,0.061,0.191,328.0,154.0,1.08
dass_latent[60],-0.299,3.803,-9.241,6.77,0.362,0.684,127.0,106.0,1.17
dass_latent[61],-0.309,3.832,-9.627,6.695,0.367,0.701,126.0,106.0,1.16
dass_latent[62],-0.283,3.819,-9.51,6.735,0.362,0.679,128.0,104.0,1.16
dass_latent[63],-0.036,1.22,-2.387,2.371,0.045,0.147,471.0,235.0,1.08
dass_latent[64],-0.024,1.273,-2.533,2.389,0.045,0.167,504.0,205.0,1.08
dass_latent[65],-0.033,1.231,-2.336,2.413,0.046,0.178,430.0,172.0,1.08
