,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
age_coef,-0.034,0.082,-0.188,0.115,0.002,0.001,2092.0,4705.0,1.0
gender_coef,-0.029,1.021,-1.957,1.819,0.032,0.015,1048.0,733.0,1.0
ucla_dass_coef,-0.016,0.476,-0.941,0.875,0.052,0.032,83.0,205.0,1.04
gender_dass_coef,0.041,0.978,-1.744,2.005,0.091,0.041,133.0,106.0,1.04
interaction_dass,0.002,0.754,-1.517,1.413,0.028,0.015,684.0,1588.0,1.01
dass_latent[0],0.045,1.556,-3.002,2.93,0.151,0.06,99.0,518.0,1.02
dass_latent[1],-0.132,1.369,-2.798,2.596,0.079,0.061,280.0,690.0,1.02
dass_latent[2],0.003,1.317,-2.643,2.432,0.105,0.047,141.0,734.0,1.02
dass_latent[3],-0.008,1.034,-2.051,2.015,0.02,0.047,1826.0,1425.0,1.03
dass_latent[4],0.085,1.728,-3.623,3.348,0.197,0.106,79.0,113.0,1.04
dass_latent[5],0.096,1.835,-3.249,3.621,0.102,0.065,273.0,403.0,1.02
dass_latent[6],0.058,1.203,-2.319,2.397,0.074,0.055,234.0,682.0,1.04
dass_latent[7],0.04,1.058,-2.002,2.132,0.012,0.052,4108.0,2016.0,1.03
dass_latent[8],0.024,1.7,-3.179,3.31,0.078,0.05,365.0,1614.0,1.02
dass_latent[9],0.029,1.491,-2.958,2.808,0.138,0.056,108.0,493.0,1.03
dass_latent[10],0.083,1.63,-2.615,3.84,0.132,0.073,157.0,158.0,1.03
dass_latent[11],-0.171,1.947,-4.07,3.624,0.197,0.147,90.0,354.0,1.07
dass_latent[12],-0.032,2.294,-4.577,4.474,0.095,0.058,581.0,1085.0,1.01
dass_latent[13],-0.034,1.074,-2.207,1.985,0.034,0.041,819.0,1697.0,1.01
dass_latent[14],0.001,1.255,-2.267,2.545,0.095,0.043,161.0,531.0,1.02
dass_latent[15],0.056,1.639,-2.748,3.599,0.143,0.068,128.0,115.0,1.03
dass_latent[16],0.027,1.315,-2.581,2.422,0.107,0.047,139.0,720.0,1.03
dass_latent[17],-0.026,2.277,-4.67,4.271,0.091,0.057,618.0,1361.0,1.01
dass_latent[18],0.031,1.901,-3.521,3.694,0.076,0.052,486.0,1509.0,1.02
dass_latent[19],-0.287,3.422,-6.797,6.221,0.395,0.249,72.0,347.0,1.09
dass_latent[20],-0.06,1.111,-2.14,2.183,0.037,0.041,797.0,1219.0,1.01
dass_latent[21],0.023,1.912,-3.499,3.629,0.088,0.051,466.0,613.0,1.01
dass_latent[22],-0.011,2.38,-4.528,4.646,0.095,0.123,604.0,810.0,1.02
