,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
age_coef,-0.259,0.065,-0.373,-0.137,0.007,0.002,87.0,555.0,1.02
gender_coef,-0.076,0.095,-0.248,0.109,0.004,0.004,524.0,1226.0,1.02
ucla_dass_coef,0.171,0.646,-0.692,2.124,0.162,0.157,12.0,21.0,1.11
dass_latent[0],-0.225,1.138,-2.332,2.485,0.195,0.271,34.0,22.0,1.12
dass_latent[1],-0.25,1.115,-2.696,2.027,0.19,0.214,35.0,36.0,1.1
dass_latent[2],-0.29,1.135,-2.526,2.207,0.216,0.227,24.0,29.0,1.06
dass_latent[3],0.174,1.143,-2.351,2.357,0.276,0.218,17.0,29.0,1.08
dass_latent[4],0.187,1.158,-2.175,2.595,0.251,0.236,21.0,30.0,1.07
dass_latent[5],0.182,1.15,-1.792,2.918,0.245,0.214,21.0,32.0,1.07
dass_latent[6],0.235,1.009,-1.843,2.388,0.129,0.204,63.0,45.0,1.08
dass_latent[7],0.189,1.032,-1.787,2.55,0.133,0.234,62.0,33.0,1.11
dass_latent[8],0.212,1.042,-2.008,2.319,0.12,0.207,75.0,44.0,1.09
dass_latent[9],0.193,1.086,-1.643,2.929,0.227,0.203,20.0,35.0,1.06
dass_latent[10],0.175,1.065,-1.865,2.623,0.204,0.231,28.0,30.0,1.08
dass_latent[11],0.205,1.117,-2.238,2.437,0.243,0.226,21.0,31.0,1.06
dass_latent[12],0.048,0.675,-1.491,1.194,0.035,0.098,263.0,264.0,1.04
dass_latent[13],0.01,0.682,-1.387,1.27,0.02,0.13,749.0,301.0,1.11
dass_latent[14],0.028,0.666,-1.165,1.501,0.02,0.106,782.0,218.0,1.07
dass_latent[15],-0.02,0.754,-1.636,1.403,0.1,0.141,51.0,46.0,1.07
dass_latent[16],-0.128,0.795,-1.707,1.536,0.097,0.163,45.0,88.0,1.08
dass_latent[17],-0.103,0.805,-1.824,1.509,0.082,0.165,80.0,49.0,1.07
dass_latent[18],-0.161,0.945,-1.843,1.964,0.091,0.153,100.0,88.0,1.05
dass_latent[19],-0.138,0.91,-1.77,1.805,0.09,0.162,98.0,71.0,1.09
dass_latent[20],-0.095,0.941,-1.976,1.654,0.09,0.193,96.0,69.0,1.12
dass_latent[21],-0.012,0.733,-1.292,1.645,0.039,0.101,256.0,146.0,1.04
dass_latent[22],0.021,0.741,-1.396,1.54,0.041,0.119,308.0,181.0,1.07
dass_latent[23],0.004,0.73,-1.366,1.42,0.038,0.123,274.0,93.0,1.04
dass_latent[24],-0.096,0.767,-1.697,1.326,0.072,0.147,98.0,56.0,1.07
dass_latent[25],-0.015,0.783,-1.566,1.603,0.092,0.174,103.0,72.0,1.08
dass_latent[26],-0.109,0.832,-1.732,1.606,0.089,0.156,71.0,55.0,1.06
dass_latent[27],-0.067,0.834,-1.69,1.664,0.095,0.175,75.0,70.0,1.12
dass_latent[28],-0.049,0.811,-1.798,1.51,0.143,0.156,30.0,52.0,1.07
dass_latent[29],-0.114,0.806,-1.615,1.583,0.121,0.168,44.0,37.0,1.08
dass_latent[30],0.281,1.333,-2.054,3.736,0.303,0.29,17.0,21.0,1.08
dass_latent[31],0.247,1.368,-2.137,3.815,0.301,0.332,17.0,21.0,1.1
dass_latent[32],0.296,1.329,-1.861,3.841,0.292,0.304,19.0,24.0,1.07
dass_latent[33],-0.014,0.705,-1.492,1.222,0.028,0.128,471.0,112.0,1.08
dass_latent[34],-0.045,0.707,-1.427,1.292,0.03,0.082,371.0,270.0,1.03
dass_latent[35],-0.019,0.729,-1.552,1.364,0.027,0.125,436.0,192.0,1.05
dass_latent[36],0.025,0.912,-1.622,1.756,0.085,0.099,108.0,155.0,1.02
dass_latent[37],0.076,0.926,-1.53,2.078,0.073,0.116,132.0,150.0,1.08
dass_latent[38],-0.012,0.906,-1.585,1.886,0.087,0.113,105.0,112.0,1.05
dass_latent[39],0.318,1.469,-3.086,3.482,0.285,0.363,27.0,20.0,1.08
dass_latent[40],0.379,1.446,-2.121,4.217,0.296,0.338,22.0,19.0,1.07
dass_latent[41],0.332,1.442,-2.264,4.127,0.288,0.332,23.0,23.0,1.07
dass_latent[42],0.178,0.9,-1.708,1.945,0.147,0.166,35.0,34.0,1.05
dass_latent[43],0.168,0.908,-1.404,2.308,0.185,0.202,20.0,31.0,1.1
dass_latent[44],0.184,0.934,-2.043,1.798,0.157,0.183,28.0,51.0,1.07
dass_latent[45],-0.276,1.186,-2.788,2.35,0.243,0.236,22.0,25.0,1.05
dass_latent[46],-0.242,1.196,-2.763,2.428,0.237,0.283,24.0,25.0,1.09
dass_latent[47],-0.254,1.14,-3.029,1.742,0.247,0.272,19.0,22.0,1.1
dass_latent[48],-0.09,0.655,-1.453,1.174,0.054,0.109,124.0,74.0,1.05
dass_latent[49],-0.052,0.677,-1.285,1.348,0.036,0.126,225.0,139.0,1.06
dass_latent[50],-0.06,0.764,-1.573,1.455,0.036,0.117,214.0,66.0,1.07
dass_latent[51],0.254,1.167,-2.007,2.895,0.243,0.226,21.0,22.0,1.07
dass_latent[52],0.23,1.132,-2.408,2.405,0.228,0.229,23.0,26.0,1.06
dass_latent[53],0.255,1.135,-1.644,3.287,0.267,0.236,15.0,28.0,1.09
dass_latent[54],0.324,1.357,-1.944,4.011,0.289,0.316,19.0,22.0,1.07
dass_latent[55],0.307,1.395,-2.525,3.537,0.301,0.314,19.0,22.0,1.09
dass_latent[56],0.353,1.425,-2.774,3.317,0.305,0.334,20.0,21.0,1.07
dass_latent[57],-0.152,1.017,-2.12,2.045,0.215,0.239,23.0,28.0,1.13
dass_latent[58],-0.199,1.008,-2.511,1.709,0.208,0.214,22.0,31.0,1.08
dass_latent[59],-0.181,1.044,-2.209,2.097,0.202,0.204,25.0,36.0,1.05
dass_latent[60],-0.031,1.436,-2.724,3.093,0.215,0.169,40.0,72.0,1.05
dass_latent[61],-0.07,1.452,-2.215,3.265,0.202,0.167,40.0,82.0,1.05
dass_latent[62],-0.011,1.415,-2.228,3.205,0.203,0.159,44.0,91.0,1.05
dass_latent[63],0.215,0.97,-1.857,2.185,0.176,0.178,29.0,29.0,1.04
dass_latent[64],0.206,0.99,-1.829,2.266,0.177,0.202,29.0,37.0,1.06
dass_latent[65],0.163,0.959,-1.72,2.266,0.172,0.22,29.0,28.0,1.11
dass_latent[66],0.207,1.021,-2.001,2.234,0.137,0.219,63.0,24.0,1.06
dass_latent[67],0.163,0.988,-1.719,2.427,0.125,0.22,65.0,35.0,1.09
dass_latent[68],0.231,0.951,-1.599,2.356,0.143,0.185,44.0,35.0,1.06
dass_latent[69],0.102,0.998,-1.68,2.052,0.094,0.136,111.0,139.0,1.05
dass_latent[70],0.052,0.953,-1.641,1.962,0.097,0.129,97.0,101.0,1.04
dass_latent[71],0.106,1.022,-1.742,2.147,0.091,0.131,119.0,113.0,1.03
dass_latent[72],-0.04,0.867,-1.7,1.525,0.069,0.113,155.0,137.0,1.05
dass_latent[73],-0.04,0.831,-1.605,1.422,0.073,0.098,117.0,104.0,1.02
dass_latent[74],-0.055,0.85,-1.52,1.629,0.062,0.124,168.0,119.0,1.05
dass_latent[75],-0.045,0.705,-1.478,1.328,0.046,0.116,159.0,161.0,1.05
dass_latent[76],-0.015,0.702,-1.363,1.428,0.021,0.139,721.0,100.0,1.11
dass_latent[77],-0.004,0.645,-1.256,1.355,0.024,0.124,538.0,94.0,1.05
dass_latent[78],-0.109,1.02,-2.213,2.062,0.215,0.209,19.0,38.0,1.08
dass_latent[79],-0.129,1.021,-2.089,2.151,0.201,0.224,26.0,32.0,1.1
dass_latent[80],-0.156,1.02,-2.515,1.735,0.185,0.19,26.0,33.0,1.05
