outcome,low_female_mean,low_female_sd,low_female_n,low_male_mean,low_male_sd,low_male_n,high_female_mean,high_female_sd,high_female_n,high_male_mean,high_male_sd,high_male_n,cohen_d_high_male_vs_low_female
wcst_pe_rate,11.61749475033405,3.6664704788549383,16,8.666190545261617,3.845280577667527,8,8.74949946127147,3.391775907596882,17,10.427660410429949,3.0753478196391932,10,-0.3442144315940324
wcst_npe_rate,7.226524097688589,6.055996296516699,16,5.954586169999434,3.14510371927598,8,5.485196700930598,4.072551701822762,17,5.884730416560376,4.7884758451586364,10,-0.2389952277833921
wcst_accuracy,81.15598115197736,5.9231435985233505,16,85.37922328473894,4.999389594697101,8,85.76530383779793,6.2080739600935475,17,83.68760917300968,7.429327469571559,10,0.3877625566019075
wcst_rt_cv,0.7633137536742356,0.4342548526963598,16,0.7046793269082544,0.25443589864338395,8,0.8185137648030979,0.2858294679031541,17,0.8626003646901893,0.2706222220347665,10,0.26044819562365384
wcst_early_pe_rate,9.341804386574843,6.100103465299968,16,10.04265360243621,6.653086107518836,8,7.06462183197345,4.274949942736052,17,7.823862610329671,2.5511426038292364,10,-0.2994389602427489
wcst_late_pe_rate,11.898167158210018,4.837392301046029,16,6.383422711547712,4.497702258497155,8,8.653569879956686,4.339122319694204,17,9.671399976100567,3.4632945534448782,10,-0.5092081087093846
wcst_learning_improvement,-2.5563627716351762,8.808013460448208,16,3.6592308908885,7.664920156379236,8,-1.5889480479832359,5.22049859576272,17,-1.847537365770896,3.099236380330647,10,0.09821129033723817
stroop_cong_acc,99.67320261437908,1.3474201390907392,17,99.67320261437908,0.980392156862744,9,99.38271604938271,1.188312866518055,18,99.44444444444444,1.1712139482105142,10,-0.17777724028126163
stroop_incong_acc,98.5200746965453,1.7417292716578303,17,98.14814814814815,2.405626121623442,9,97.68518518518519,3.596627565858687,18,97.4920634920635,3.3264394992917645,10,-0.4223320734509357
prp_short_t1_acc,96.32393927470653,3.8270122253281147,17,99.76851851851852,0.6944444444444476,9,97.72441151529992,2.2202011001749025,16,96.43617021276596,2.9704241254109807,10,0.031680549936195096
prp_short_t2_acc,98.77450980392157,1.6566796365926217,17,97.91666666666667,3.454817489953538,9,97.22390618481435,3.1921418216369153,16,98.31560283687944,1.661035159984237,10,-0.2767419023556527
prp_long_t1_acc,98.28431372549021,4.181957237929299,17,99.05394524959743,1.877815435442776,9,97.13541666666667,2.933976413094113,16,98.75,2.0126912147485285,10,0.13092679655278666
