outcome,interaction_pval,bonferroni_pval,bonferroni_reject,fdr_pval,fdr_reject
wcst_pe_rate,0.034590669359202755,0.8647667339800689,False,0.2289026088102062,False
wcst_npe_rate,0.4113338603417781,1.0,False,0.6173518558991634,False
wcst_accuracy,0.10293571745680856,1.0,False,0.2635169969332588,False
wcst_rt_cv,0.6372622723192243,1.0,False,0.7586455622847909,False
wcst_early_pe_rate,0.4718170192330927,1.0,False,0.6553014156015177,False
wcst_late_pe_rate,0.030437648136928667,0.7609412034232167,False,0.2289026088102062,False
wcst_learning_improvement,0.1514163325385685,1.0,False,0.3055152519491499,False
stroop_cong_acc,0.34269798750243685,1.0,False,0.5711633125040615,False
stroop_incong_acc,0.7329129418063938,1.0,False,0.7634509810483269,False
stroop_cong_cv,0.32151410560858357,1.0,False,0.5711633125040615,False
stroop_incong_cv,0.9368428814384272,1.0,False,0.9368428814384272,False
stroop_cong_timeout_rate,0.15886793101355795,1.0,False,0.3055152519491499,False
stroop_incong_timeout_rate,0.11594747865063389,1.0,False,0.2635169969332588,False
stroop_post_conflict_adaptation,0.41979926201143114,1.0,False,0.6173518558991634,False
stroop_rt_slope,0.04578052176204124,1.0,False,0.2289026088102062,False
prp_short_t1_acc,0.04441030123502544,1.0,False,0.2289026088102062,False
prp_short_t2_acc,0.6170226499640004,1.0,False,0.7586455622847909,False
prp_long_t1_acc,0.6797352274882451,1.0,False,0.7634509810483269,False
prp_long_t2_acc,0.603943087903392,1.0,False,0.7586455622847909,False
prp_t1_slowing,0.728870967258829,1.0,False,0.7634509810483269,False
prp_bottleneck,0.08680428328211492,1.0,False,0.2635169969332588,False
prp_slope,0.10559167293892939,1.0,False,0.2635169969332588,False
prp_t1_t2_corr,0.0976680642996074,1.0,False,0.2635169969332588,False
prp_short_t2_cv,0.06503798034700095,1.0,False,0.2635169969332588,False
prp_long_t2_cv,0.025546701148564523,0.638667528714113,False,0.2289026088102062,False
