participant_id,n_trials,n_transitions,rt_lag-2,rt_lag-1,rt_lag+0,rt_lag+1,rt_lag+2,rt_lag+3,rt_lag+4,rt_lag+5,recovery_slope
06qcrpGKL6Vc3LVplFQC90VAcRm1,79,9,1149.1333333336645,1565.7111111117733,855.5999999956953,872.9000000009934,1030.322222221229,841.5111111071375,867.9333333323399,903.2111111117733,-4.69629629618593
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,75,10,1195.811111111142,2042.9399999999907,999.8600000000326,1125.4800000000046,1072.8200000000186,1140.209999999986,1044.0700000000186,1005.040000000014,46.78333333331776
0d841i8KPjdjwCYfDuUUXj0SEjH2,61,18,1335.7888889312744,1443.3388889630635,1059.3222222858005,1408.811111132304,1395.8882353726556,1338.888235316557,1535.7687499523163,1291.700000166893,93.18867101025216
146QT9LupyU2BAiTsB3PMIpVXM22,76,11,1160.85,1674.9000000018966,959.9727272729982,996.1090909093618,1218.8000000024383,1124.4272727288983,958.0181818170981,979.87272727354,54.818181818633356
1Vb7DcXYw9R86bw5qj9eBk9fPqA2,60,5,1517.1,2483.7200000107287,1667.8200000107288,1943.5400000095367,1692.5399999976157,1774.4599999964237,1771.619999998808,1648.7400000095367,35.54666666189829
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,60,14,1250.8384615457976,2071.0785714217595,1201.5857142891202,1540.600000006812,1169.300000003406,1246.2000000293438,1404.4692307802347,1382.0230769377488,14.871428580074507
1tT7dcLvf0bMGBdBWWYd8YkdJwr1,81,8,1247.985714316368,2378.300000011921,1464.75,1438.1875,1407.899999961257,1029.1749999970198,1744.8250000029802,1360.3624999821186,-145.1916666676601
23AEyocWhqY955WHbxhHRSgQ1ms2,79,9,1329.2374999988824,2288.8555555567145,1204.7999999995034,1273.777777776122,1457.6888888883923,1594.6000000006622,1131.2222222213943,1113.8222222220566,129.93333333371962
2h5FgHUEvBS1twD5DqbTIRrMm1f2,85,17,1573.764705882353,2066.1411764656796,1131.9647058879627,1177.518750000745,1346.4562500081956,1401.71875,1290.8687500096858,1181.456250000745,89.91801470401242
2zDXvJKvjeejeOSNbtDbtSI5cdz1,65,5,1772.1400000002236,2634.6800000000744,1472.0200000006705,1272.9,1147.3,1140.7999999996275,1225.5800000000745,1308.900000000745,-110.40666666701433
3WijiOiVCoMbn80F05SPYsxl0TC2,74,7,1800.3142857210976,1999.4571428469249,1302.099999989782,1240.1714285782405,1327.2857142686844,1173.8285714387894,1088.1142857074738,1110.685714329992,-42.757142850330865
3xCaqfcHxRQxuOlEzXz3PNcHODH2,68,6,1253.2600000023842,2771.4499999955297,1227.616666669647,1321.1000000039737,1319.9666666686535,1191.466666671137,1414.5166666656733,1111.5499999995034,-12.049999999503294
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,77,14,1214.4153846153774,1787.6142857142258,930.9999999999834,1212.4285714285882,1109.6500000000233,1101.507142857133,1041.528571428548,1104.1571428571563,56.83571428571653
5OOi73igsahMZ5IVKQwwyhnj4Cn2,59,5,1300.1400000000374,2227.6199999999253,1497.9200000000187,1237.0800000000745,1328.9,1533.4799999999816,1537.9200000000187,1316.1599999999628,11.853333333320961
5rXSa3anB5ejmFrnwUsTB82byup1,84,4,1044.1499999999069,1310.1750000000466,880.3500000000931,809.6000000000931,932.2000000000698,741.0250000000233,768.0749999999534,968.8249999999534,-46.44166666668995
5zxa5CMLGQSSonWOXqXf0QNS3PH3,84,14,1229.7692307692307,1562.5357142771993,969.0142857006618,1030.800000011921,1095.7714285765376,1134.8357142806053,1184.0285714524132,1148.3000000204358,55.273809526647824
62fAfeQc27bZelkPX7G54T3gvci2,62,15,1281.1466666668032,1898.1733333332463,1215.9666666667908,1360.699999999938,1296.842857142977,1463.9857142857675,1328.2000000000533,1314.5857142857276,82.67301587299221
6ABZuv4jbjgE0B8TeyUk6nwVb122,78,15,1663.542857136045,2077.533333301544,1580.4200000445048,1602.4285713945117,1840.557142836707,1724.5142857687813,1752.9071428435188,1831.0285714353834,48.03142857475882
6WFCyGwk71XLPBmbe4Vav3eotVm1,66,10,1196.1666665607029,1994.259999895096,1145.139999961853,1458.0099999904633,1031.1699999332427,1203.7999999523163,968.629999923706,1078.4599998950957,19.553333330154448
7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,72,5,1524.3999999523162,1857.1400000572205,1524.5600000381469,1495.3799999713897,1490.6999999523164,1818.239999961853,1491.1799999713899,1613.1,97.89333330790207
80UJMJbCOMgs6YVpsMgXfYTzw6o2,68,6,1697.7999999998137,1815.8333333336438,1116.0333333332092,1133.7666666662942,900.1999999998758,1320.7833333332092,1119.699999999876,1457.8499999999378,68.25
87w5Le0CgZhSfYAaOH3Xd2fc98l1,105,12,1809.9833333333954,1985.4749999999378,1247.741666666232,1338.7083333333333,1451.5333333341405,1649.983333333085,1648.8818181814117,1508.9818181822245,134.08055555561768
8bwaafIhKVMNBoHaXFcY8HirS9u2,77,4,1616.4000000357628,1615.949999988079,941.2250000238419,971.2249999642372,914.875,1025.8499999642372,1012.9750000238419,866.1499999761581,28.20833331346512
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,82,8,1398.2749998569489,2503.537499666214,1330.4749999046326,1198.2374999523163,1426.2499998807907,1334.2999999523163,1406.4125000238419,1198.5999997854233,1.275000015894572
8mscvscxtXf7EbbLqCyy4a4pl2q2,68,4,1695.7000000178814,2576.7999999821186,1391.6749999821186,1522.875,1747.6499999761581,1522.449999988079,1463.3499999940395,1653.8500000536442,43.59166666865349
9Xz1RIwnPXgyRqmucudW9VeuDnq1,68,8,1274.000000000029,2232.75,1208.875,1107.875,1355.875000000029,1264.6249999999418,1185.857142857143,1331.0,18.58333333331393
9l7DjYLs0XdgwykPZR5E01KTZfu2,67,7,1335.75,1938.842857139451,979.1285714421954,1010.2142857313156,1162.2857142686844,973.042857153075,1121.8142857040677,1126.042857136045,-2.028571429706782
A9AEg0g6c2P1Bk72HLmnK3oWJ9B2,76,6,1934.5166666905086,2242.6833333174386,999.3166666428248,1126.9166666666667,1124.1333333651226,1398.449999968211,1022.1999999682108,982.5333333810171,133.04444444179538
ASGvwW80q7VY7xFaLGZhVuErUQu2,78,14,1369.223076747014,2109.5714287076676,1245.2142857142858,1155.371428489685,1423.2142855780464,1435.4857143674578,1221.75,1394.8153846447285,63.42380955105735
AUKCfn4HzgVB7m6LNnh2gQb7G5s2,85,4,2136.425000190735,2622.5,1182.9000002145767,1508.700000166893,1428.5250000953674,1199.3500000238419,1378.2999999523163,1389.3249999284744,5.483333269755046
AsXBOflrszVNKoFqbN61bMJqS0k2,103,7,1524.7857142686844,2400.799999986376,1215.5571428537369,1289.1999999795642,1506.4857142823082,1207.3285713876996,1155.2714285680227,1074.899999993188,-2.742857155345746
