outcome,outcome_label,parameter,posterior_mean,posterior_sd,hdi_3%,hdi_97%,rope_in,rope_below,rope_above,prob_direction,loo_elpd,loo_se,n_obs
prp_slope,PRP Learning Rate,b_ucla,0.01696170893123174,0.11909104757265235,-0.20434334818720232,0.23862464981845405,0.5775,0.175,0.2475,0.5545,-242.91165253113468,10.0426977861843,169
prp_slope,PRP Learning Rate,b_ucla_x_gender,-0.058325887177686414,0.15196819138255624,-0.3402300795398749,0.22283361056434894,0.467,0.3915,0.1415,0.647,-242.91165253113468,10.0426977861843,169
prp_residual_sd,PRP Residual Noise,b_ucla,0.09535786343931482,0.11742401660728688,-0.11784305374535421,0.3220385343278923,0.478,0.0465,0.4755,0.7875,-239.24606664677248,7.815520815057652,169
prp_residual_sd,PRP Residual Noise,b_ucla_x_gender,0.09055601737053726,0.1531690303728445,-0.2009299458478932,0.3731893128424731,0.404,0.109,0.487,0.722,-239.24606664677248,7.815520815057652,169
stroop_slope,Stroop Learning Rate,b_ucla,-0.11627479952151688,0.1172386663645461,-0.3328039652348752,0.10020380136513646,0.4145,0.555,0.0305,0.8345,-250.20823480007226,8.919494961675214,174
stroop_slope,Stroop Learning Rate,b_ucla_x_gender,0.22982990989453816,0.15145842885882022,-0.04771899891529233,0.5141163050340822,0.1795,0.014,0.8065,0.937,-250.20823480007226,8.919494961675214,174
stroop_residual_sd,Stroop Residual Noise,b_ucla,0.14337732104441026,0.1183057173001973,-0.07240683031741649,0.36721508296000116,0.332,0.019,0.649,0.8875,-252.26281330490303,9.082416820881084,174
stroop_residual_sd,Stroop Residual Noise,b_ucla_x_gender,-0.024860141146001814,0.1522570586694777,-0.3204503469847192,0.2558322318128355,0.4795,0.3125,0.208,0.5525,-252.26281330490303,9.082416820881084,174
wcst_slope,WCST Learning Rate,b_ucla,-0.01395489626590058,0.12249811307074297,-0.24940517355354472,0.21089483139821294,0.581,0.243,0.176,0.5385,-254.84197592143215,12.836215047282174,174
wcst_slope,WCST Learning Rate,b_ucla_x_gender,-0.05224540536150934,0.1552662988381539,-0.34039837156419445,0.23985584061904539,0.454,0.3825,0.1635,0.6475,-254.84197592143215,12.836215047282174,174
wcst_residual_sd,WCST Residual Noise,b_ucla,0.12094865860533591,0.1177490048286682,-0.09324238664401732,0.3403981840788114,0.407,0.026,0.567,0.8435,-253.43750015287523,11.002990427308085,174
wcst_residual_sd,WCST Residual Noise,b_ucla_x_gender,0.1493603228242569,0.15294789777663623,-0.1355061596638002,0.43564807176091735,0.3315,0.049,0.6195,0.845,-253.43750015287523,11.002990427308085,174
