outcome,outcome_label,parameter,coefficient,std_error,t_value,p_value,ci_lower,ci_upper,n_obs,r_squared,r_squared_adj
prp_intercept,PRP Baseline RT,C(gender_male)[T.1.0],-171.60430160630264,41.61600851530855,-4.123516592014767,5.9628495933281006e-05,-253.7879319684618,-89.42067124414349,169,0.1483359700762441,0.11130709920999382
prp_intercept,PRP Baseline RT,z_ucla,10.532156109569843,31.57098300398688,0.3336024129574873,0.739113681392604,-51.81447659104656,72.87878881018624,169,0.1483359700762441,0.11130709920999382
prp_intercept,PRP Baseline RT,z_ucla:C(gender_male)[T.1.0],35.25797359886108,41.46646876305742,0.8502767332402438,0.39643395859402153,-46.630344450515004,117.14629164823717,169,0.1483359700762441,0.11130709920999382
prp_intercept,PRP Baseline RT,z_dass_depression,-20.007603653012456,31.327709602940836,-0.6386551684306432,0.523954759562183,-81.87381807273681,41.85861076671189,169,0.1483359700762441,0.11130709920999382
prp_intercept,PRP Baseline RT,z_dass_anxiety,-81.99535237862295,31.00348781679043,-2.6447138097223073,0.008985620361160643,-143.22129099153747,-20.769413765708435,169,0.1483359700762441,0.11130709920999382
prp_intercept,PRP Baseline RT,z_dass_stress,69.39325568750894,31.685512232282836,2.190062612174138,0.029958043228293214,6.82044974011238,131.9660616349055,169,0.1483359700762441,0.11130709920999382
prp_intercept,PRP Baseline RT,z_age,16.92235497255137,20.74499601842453,0.8157318978283676,0.4158586742579857,-24.0450310278507,57.88974097295345,169,0.1483359700762441,0.11130709920999382
prp_slope,PRP Learning Rate,C(gender_male)[T.1.0],33.644835381752706,43.899478154391566,0.7664062716970357,0.44455686876215206,-53.04820930092156,120.33788006442697,169,0.06608991871451109,0.025485132571663738
prp_slope,PRP Learning Rate,z_ucla,7.040566142806526,33.30328227384816,0.21140757493249315,0.8328366132253452,-58.72702517325584,72.80815745886889,169,0.06608991871451109,0.025485132571663738
prp_slope,PRP Learning Rate,z_ucla:C(gender_male)[T.1.0],-17.46655498515621,43.741733158622765,-0.3993109948756808,0.6901932505845445,-103.84808357375397,68.91497360344155,169,0.06608991871451109,0.025485132571663738
prp_slope,PRP Learning Rate,z_dass_depression,-26.207091317469462,33.046660465660175,-0.793032970599316,0.4289257209167111,-91.46790381020396,39.05372117526504,169,0.06608991871451109,0.025485132571663738
prp_slope,PRP Learning Rate,z_dass_anxiety,96.34679859424296,32.70464863593239,2.9459664791624562,0.0036973252891351425,31.761393830327393,160.93220335815852,169,0.06608991871451109,0.025485132571663738
prp_slope,PRP Learning Rate,z_dass_stress,-40.76410018784372,33.42409571884177,-1.2196021855234291,0.22439935086320725,-106.77027487267105,25.242074496983612,169,0.06608991871451109,0.025485132571663738
prp_slope,PRP Learning Rate,z_age,-29.23336155755455,21.883273577012233,-1.3358769863510447,0.18347473939524606,-72.44862729130733,13.981904176198231,169,0.06608991871451109,0.025485132571663738
prp_residual_sd,PRP Residual Noise,C(gender_male)[T.1.0],-54.307786972606905,14.070065497392427,-3.8598105305672985,0.00016395549200213334,-82.09346616823927,-26.52210777697454,169,0.10453032033408571,0.06559685600078513
prp_residual_sd,PRP Residual Noise,z_ucla,8.530924370189675,10.673916469422007,0.7992309471999854,0.4253340311933774,-12.54801224423487,29.609860984614222,169,0.10453032033408571,0.06559685600078513
prp_residual_sd,PRP Residual Noise,z_ucla:C(gender_male)[T.1.0],8.77026830526096,14.01950721024042,0.6255760758020651,0.532478793076237,-18.915567975798854,36.45610458632078,169,0.10453032033408571,0.06559685600078513
prp_residual_sd,PRP Residual Noise,z_dass_depression,-11.805650658340058,10.591667527041285,-1.1146168087507833,0.2666757568233435,-32.722161395813686,9.110860079133571,169,0.10453032033408571,0.06559685600078513
prp_residual_sd,PRP Residual Noise,z_dass_anxiety,-1.15248018795007,10.482050532774771,-0.10994797099542215,0.9125875657638662,-21.85251839815342,19.547558022253284,169,0.10453032033408571,0.06559685600078513
prp_residual_sd,PRP Residual Noise,z_dass_stress,0.43549178894047486,10.712637956680863,0.040652152224455916,0.9676235751439357,-20.719912331847258,21.590895909728207,169,0.10453032033408571,0.06559685600078513
prp_residual_sd,PRP Residual Noise,z_age,-0.8970939552574835,7.013730127794648,-0.12790539968203193,0.8983834604054781,-14.74786496494188,12.953677054426912,169,0.10453032033408571,0.06559685600078513
stroop_intercept,Stroop Baseline RT,C(gender_male)[T.1.0],-49.78612265862186,31.247531447708266,-1.5932817842566966,0.1129993167030091,-111.47992896737048,11.907683650126764,174,0.05179687988374215,0.011812410963176978
stroop_intercept,Stroop Baseline RT,z_ucla,20.072693979118963,23.570219592075695,0.8516125147118867,0.395656063480158,-26.463352063482535,66.60874002172046,174,0.05179687988374215,0.011812410963176978
stroop_intercept,Stroop Baseline RT,z_ucla:C(gender_male)[T.1.0],-4.663876037566098,31.244465108952408,-0.1492704714675934,0.8815214083699789,-66.35162829658611,57.02387622145391,174,0.05179687988374215,0.011812410963176978
stroop_intercept,Stroop Baseline RT,z_dass_depression,4.9392144692362265,23.69863073240585,0.208417715141756,0.8351583311905286,-41.85036110521554,51.728790043687994,174,0.05179687988374215,0.011812410963176978
