variable,h_statistic,p_value,vulnerable_mean,resilient_mean,control_mean
ucla_total,16.713689095127613,0.00023478401593452842,50.2,49.75,32.375
pe_rate,13.208307692307699,0.001354728997966945,17.2133658008658,7.195289605208242,9.136317328407248
wcst_accuracy,12.115384615384627,0.0023397941871448843,67.58680555555557,88.04382785397895,85.48276910719787
wcst_sd_rt,2.154461538461547,0.34053724734418933,2834.583262605728,864.5508160619426,1384.5617875045086
dass_depression,5.887584650112869,0.05266562438083422,10.0,13.0,4.25
dass_anxiety,6.0164443942133765,0.049379387590984126,3.5,12.0,3.625
dass_stress,6.222429701230228,0.04454680474134885,10.0,18.0,7.0
age,0.15743494423792626,0.9243010283697662,20.2,20.25,20.875
prp_tau_long,8.162770562770561,0.01688406027052736,299.40030986138737,170.12233066772941,123.75473794607328
prp_sigma_long,6.899346405228762,0.031756012464387695,5.0,57.8518775771949,69.19522104938298
