suite,file,task,metric,beta_ucla,se_ucla,p_ucla,n,r_squared,cohens_d,p_fdr,significant_fdr,significant,marginal,ci_lower,ci_upper
control_strategy,congruency_proportion.csv,stroop,interference_change,46.26370478650356,17.83811948352008,0.0094996146268166,171,0.0584125345183826,0.3966644501576986,0.359455873167944,False,True,False,11.300990598804198,81.22641897420291
ddm,ucla_ddm_relationship.csv,,v,-0.0140883920760976,0.0056619910279824,0.012837709755998,102,0.0738087481764961,-0.4927449277011976,0.359455873167944,False,True,False,-0.025185894490943106,-0.0029908896612520965
reinforcement_learning,ucla_rl_relationship.csv,,alpha_pos_interaction,0.154732475603165,0.0733756282190073,0.0349642603033353,162,0.0483050733667452,0.3313615627921585,0.6526661923289256,False,True,False,0.010916244293910693,0.2985487069124193
attention_depletion,fatigue_trajectory.csv,wcst,cv_fatigue_slope,-0.0229795543268963,0.0117235832193279,0.0499825197935347,171,0.0550797240936008,-0.2997872590825855,0.6980482733674721,False,True,False,-0.045957777436778986,-1.3312170136156598e-06
ddm,ucla_ddm_relationship.csv,,v_interaction,0.0140349160117875,0.0075295774241865,0.0623257386935243,102,0.0738087481764961,0.3691213151037298,0.6980482733674721,False,False,True,-0.0007230557396180406,0.02879288776319304
attention_depletion,fatigue_trajectory.csv,stroop,accuracy_fatigue_slope,0.0058091288034761,0.0033201863428095,0.0801805585026416,171,0.0733092990275197,0.2675965362575341,0.7112156467175031,False,False,True,-0.0006984364284305204,0.01231669403538272
error_monitoring,error_cascade.csv,stroop,burst_proportion,0.0333360375512578,0.0198283547514325,0.0927181242073239,171,0.0352003101598523,0.2571338407390523,0.7112156467175031,False,False,True,-0.005527537761549892,0.0721996128640655
reinforcement_learning,ucla_rl_relationship.csv,,alpha_asymmetry_interaction,0.1681094403687527,0.1026851333614327,0.1016022352453576,162,0.0581344210603675,0.2572509690003636,0.7112156467175031,False,False,False,-0.033153421019655405,0.3693723017571608
error_monitoring,error_awareness.csv,wcst,post_error_acc,0.0298563487806897,0.0201685373285918,0.1387817898038962,158,0.0772213928606326,0.2355394976282824,0.722187924553331,False,False,False,-0.009673984383350227,0.06938668194472963
error_monitoring,error_cascade.csv,stroop,mean_burst_length,0.0847825887769355,0.0573793313797329,0.1395200613196652,171,0.0423285412043316,0.2259868301704291,0.722187924553331,False,False,False,-0.027680900727340987,0.197246078281212
error_monitoring,error_cascade.csv,stroop,n_bursts,0.0410310403866022,0.028913156188455,0.1558660284213747,171,0.0427138794224644,0.2170445910599842,0.722187924553331,False,False,False,-0.0156387457427696,0.097700826515974
error_monitoring,pes_decomposition.csv,wcst,acc_diff,0.024933257253349,0.0177780229684411,0.1607730397344429,158,0.0719917489758975,0.2231500596139514,0.722187924553331,False,False,False,-0.009911667764795556,0.05977818227149355
error_monitoring,error_cascade.csv,wcst,burst_proportion,-0.0312770888073739,0.0236134549170618,0.1853220357263769,171,0.0466131563222469,-0.2025810089284822,0.722187924553331,False,False,False,-0.07755946044481503,0.015005282830067232
attention_depletion,fatigue_trajectory.csv,stroop,cv_fatigue_slope,0.0153364157461626,0.011592202294238,0.1858373254180769,171,0.0397929789608488,0.2023437815664983,0.722187924553331,False,False,False,-0.00738430075054388,0.03805713224286908
control_strategy,post_conflict_adjustment.csv,stroop,reactive_rt_adjustment,9.423734995497812,7.246460132934389,0.1934431940767851,171,0.0229670202615019,0.1988973963501599,0.722187924553331,False,False,False,-4.779326865053591,23.626796856049214
attention_depletion,fatigue_trajectory.csv,wcst,accuracy_fatigue_slope,-0.0208844455467797,0.0192225202345238,0.2772767659445764,171,0.023949836631265,-0.1661669175230963,0.9704686808060174,False,False,False,-0.058560585206446344,0.016791694112886946
error_monitoring,error_cascade.csv,wcst,n_bursts,-0.4409783914466754,0.4431685542923079,0.3197080823924002,171,0.0533225005325035,-0.1521879659780949,0.9714995273697324,False,False,False,-1.3095887578595988,0.42763197496624805
reinforcement_learning,ucla_rl_relationship.csv,,beta_interaction,0.1622259749774905,0.1684786508450694,0.3356040187815605,162,0.0371501008992596,0.151303162370102,0.9714995273697324,False,False,False,-0.16799218067884555,0.4924441306338265
error_monitoring,conflict_detection.csv,stroop,cse,17.952714517201983,19.707947731097644,0.362328148379811,171,0.042335120232298,0.1393223090206626,0.9714995273697324,False,False,False,-20.674863035749397,56.58029207015336
error_monitoring,error_awareness.csv,wcst,awareness_index,0.0865633105792531,0.0952181670912517,0.3632947103096402,158,0.0665135066614063,0.1446490189370973,0.9714995273697324,False,False,False,-0.10006429691960023,0.2731909180781064
reinforcement_learning,ucla_rl_relationship.csv,,beta,-0.1423284482442808,0.1568913085644339,0.3643123227636496,162,0.0371501008992596,-0.142549375006692,0.9714995273697324,False,False,False,-0.4498354130305712,0.16517851654200963
attention_depletion,fatigue_trajectory.csv,stroop,rt_fatigue_slope,-12.02796329247463,15.13000247606124,0.4266284455966193,171,0.0730815743317868,-0.1215864099637871,0.9975890057057456,False,False,False,-41.68276814555466,17.6268415606054
attention_depletion,fatigue_trajectory.csv,prp,cv_fatigue_slope,-0.0091622317323916,0.0122919159581879,0.4560379296797915,169,0.0875369502621038,-0.1146748901855845,0.9975890057057456,False,False,False,-0.03325438701043988,0.014929923545656682
error_monitoring,error_awareness.csv,wcst,recovery_rate,0.0127893380682998,0.0185290360462373,0.4900481513916245,158,0.0684110595037772,0.1098238573731744,0.9975890057057456,False,False,False,-0.02352757258232531,0.04910624871892491
ddm,ucla_ddm_relationship.csv,,a_interaction,0.0047292384089582,0.007358320760879,0.5204147542068515,102,0.0734696275456423,0.1272747938816819,0.9975890057057456,False,False,False,-0.00969307028236464,0.019151547100281042
attention_depletion,fatigue_trajectory.csv,wcst,rt_fatigue_slope,-16.13876924097593,25.1490273846372,0.5210515049576945,171,0.0178361565380034,-0.0981479331866828,0.9975890057057456,False,False,False,-65.43086291486485,33.15332443291298
control_strategy,post_conflict_adjustment.csv,stroop,reactive_acc_adjustment,0.0023030180607985,0.0036948193009825,0.5330807845503682,171,0.0365485089081937,0.0953314240824986,0.9975890057057456,False,False,False,-0.004938827769127199,0.0095448638907242
error_monitoring,pes_decomposition.csv,stroop,cv_reduction,-0.0319069154670469,0.0536499119952708,0.5520276623581476,38,0.0749286609113089,-0.1929540973494874,0.9975890057057456,False,False,False,-0.13706074297777768,0.07324691204368386
error_monitoring,error_awareness.csv,stroop,cv_reduction,-0.0319069154670469,0.0536499119952708,0.5520276623581476,38,0.0749286609113089,-0.1929540973494874,0.9975890057057456,False,False,False,-0.13706074297777768,0.07324691204368386
error_monitoring,error_cascade.csv,wcst,mean_burst_length,-0.0500187465696089,0.0944185610119052,0.5962815021559629,171,0.0362548852188094,-0.0810228224095724,0.9975890057057456,False,False,False,-0.23507912615294307,0.1350416330137253
reinforcement_learning,ucla_rl_relationship.csv,,alpha_interaction,0.0294159815415214,0.0558327044472273,0.5982912748148876,162,0.0081762250215091,0.0827879574612974,0.9975890057057456,False,False,False,-0.0800161191750441,0.1388480822580869
ddm,ucla_ddm_relationship.csv,,t,-0.0081601375571178,0.0196034942674832,0.6772202430368468,102,0.1190233550097394,-0.0824316322619476,0.9975890057057456,False,False,False,-0.04658298632138488,0.030262711207149275
control_strategy,rule_anticipation.csv,wcst,pre_switch_slowing,-24.568770446636865,62.2417315272888,0.6930410719786037,164,0.0291234285544195,-0.0616466992719606,0.9975890057057456,False,False,False,-146.56256424012292,97.42502334684919
ddm,ucla_ddm_relationship.csv,,t_interaction,0.0079562409259298,0.0216660363571372,0.7134535775783597,102,0.1190233550097394,0.0727207531113067,0.9975890057057456,False,False,False,-0.034509190334059116,0.05042167218591872
error_monitoring,conflict_detection.csv,stroop,interference,4.262253292870692,13.011332966091338,0.7432291971333781,171,0.0370466924417173,0.0501013472728967,0.9975890057057456,False,False,False,-21.23995932066833,29.764465906409715
error_monitoring,error_awareness.csv,stroop,post_error_acc,-0.0104136548080281,0.0318072949681013,0.743366640006416,38,0.1303592780302126,-0.1062220401840325,0.9975890057057456,False,False,False,-0.07275595294550664,0.05192864332945045
control_strategy,rule_anticipation.csv,wcst,switch_cost,29.898783991712204,91.50441014741934,0.7438593108440518,164,0.0221672997595152,0.0510292953569978,0.9975890057057456,False,False,False,-149.4498598972297,209.2474278806541
error_monitoring,error_awareness.csv,stroop,recovery_rate,0.021838087366798,0.0709717388580883,0.7583097263276575,24,0.3167124658717855,0.1256184782554433,0.9975890057057456,False,False,False,-0.11726652079505508,0.1609426955286511
error_monitoring,pes_decomposition.csv,stroop,acc_diff,-0.0098291145732273,0.0323706014894257,0.761399699161609,38,0.1283492715235265,-0.0985148783872233,0.9975890057057456,False,False,False,-0.07327549349250168,0.05361726434604708
control_strategy,congruency_proportion.csv,stroop,overall_interference,3.5342656805719974,13.344951134217782,0.791133366506389,171,0.043779113685178,0.0405055138654874,0.9975890057057456,False,False,False,-22.621838542494853,29.69036990363885
reinforcement_learning,ucla_rl_relationship.csv,,alpha_pos,-0.0128481649536416,0.0544685419206758,0.8135240031902077,162,0.0483050733667452,-0.0370653275538755,0.9975890057057456,False,False,False,-0.11960650711816617,0.09391017721088296
error_monitoring,pes_decomposition.csv,wcst,pes,-8.605862488963826,37.98816389558316,0.8207809642040457,158,0.0305045627151236,-0.0360452092842838,0.9975890057057456,False,False,False,-83.06266372430682,65.85093874637917
reinforcement_learning,ucla_rl_relationship.csv,,alpha_asymmetry,-0.0143695662291679,0.0756177056576709,0.8492863100871165,162,0.0581344210603675,-0.0298601957628897,0.9975890057057456,False,False,False,-0.16258026931820285,0.13384113685986704
reinforcement_learning,ucla_rl_relationship.csv,,alpha_neg_interaction,-0.0133769647655877,0.0745784529662584,0.8576490002823032,162,0.0243255107482874,-0.0281849131759875,0.9975890057057456,False,False,False,-0.15955073257945415,0.13279680304827876
attention_depletion,tau_accumulation.csv,stroop,tau_slope,2.993137809209655,17.47236113461351,0.863982374807012,171,0.0133249480316377,0.0262003477677373,0.9975890057057456,False,False,False,-31.252690014632826,37.23896563305214
attention_depletion,fatigue_trajectory.csv,prp,rt_fatigue_slope,-5.192629024411207,30.401954239924084,0.8643816694725455,169,0.057745651328132,-0.0262767977825087,0.9975890057057456,False,False,False,-64.78045933466241,54.39520128584
error_monitoring,pes_decomposition.csv,stroop,pes,-11.636894757462986,81.58553136707117,0.8865790108171321,38,0.0941896498480495,-0.0462766761084474,0.9975890057057456,False,False,False,-171.54453623692248,148.27074672199652
attention_depletion,sustained_attention_index.csv,,sustained_attention_index,-0.0125304096279196,0.0937187649216396,0.8936380268205176,171,0.0180906984904437,-0.020448933024185,0.9975890057057456,False,False,False,-0.1962191888743332,0.171158369618494
ddm,ucla_ddm_relationship.csv,,a,0.0006991295131921,0.0056924582190057,0.9022521690278243,102,0.0734696275456423,0.024321350920009,0.9975890057057456,False,False,False,-0.010458088596059073,0.011856347622443272
reinforcement_learning,ucla_rl_relationship.csv,,beta,0.0324538776655869,0.2945661888696095,0.9122704599539576,162,0.0308935693089764,0.0173123565283871,0.9975890057057456,False,False,False,-0.5448958525188476,0.6098036078500215
reinforcement_learning,ucla_rl_relationship.csv,,beta_interaction,0.0415014750481211,0.45757240536382,0.927731564747444,162,0.0308935693089764,0.0142520125251179,0.9975890057057456,False,False,False,-0.8553404394649661,0.9383433895612082
error_monitoring,error_awareness.csv,wcst,cv_reduction,0.0003496076545086,0.0111677769836571,0.9750262746594764,158,0.0463474628975486,0.0049809897986846,0.9975890057057456,False,False,False,-0.021539235233459315,0.02223845054247651
error_monitoring,pes_decomposition.csv,wcst,cv_reduction,0.0003496076545086,0.0111677769836571,0.9750262746594764,158,0.0463474628975486,0.0049809897986846,0.9975890057057456,False,False,False,-0.021539235233459315,0.02223845054247651
reinforcement_learning,ucla_rl_relationship.csv,,alpha_neg,0.0015214012755263,0.0562817816359167,0.9784343222264732,162,0.0243255107482874,0.0042476470974795,0.9975890057057456,False,False,False,-0.10879089073087042,0.11183369328192302
