,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta0_inhib,-0.031,0.411,-0.813,0.748,0.029,0.016,206.418,414.97,1.013
beta_inhib[0],0.133,0.189,-0.216,0.489,0.003,0.003,3104.376,3641.133,1.001
beta_inhib[1],-0.197,0.19,-0.557,0.154,0.004,0.002,2648.582,3572.763,1.001
beta_inhib[2],0.193,0.179,-0.138,0.54,0.004,0.002,2276.285,3552.5,1.001
beta_inhib[3],-0.126,0.186,-0.462,0.226,0.004,0.003,2320.133,2985.347,1.004
beta0_shift,-0.008,0.441,-0.886,0.769,0.043,0.024,105.364,175.086,1.03
beta_shift[0],0.062,0.189,-0.288,0.422,0.004,0.003,2637.533,3267.534,1.001
beta_shift[1],-0.129,0.186,-0.493,0.21,0.004,0.002,2550.745,3376.977,1.0
beta_shift[2],0.009,0.186,-0.351,0.342,0.004,0.003,2419.557,1095.642,1.001
beta_shift[3],-0.125,0.185,-0.484,0.206,0.003,0.002,3346.688,3852.098,1.001
alpha_stroop,0.028,0.399,-0.822,0.703,0.029,0.016,196.315,374.752,1.014
alpha_wcst,0.009,0.428,-0.775,0.836,0.043,0.026,99.54,147.798,1.03
alpha_prp,0.004,0.151,-0.27,0.297,0.005,0.003,792.04,2174.057,1.003
sigma_stroop,0.316,0.177,0.043,0.626,0.038,0.007,19.244,60.016,1.171
sigma_wcst,0.295,0.178,0.033,0.604,0.024,0.007,29.023,60.076,1.108
sigma_prp,1.012,0.086,0.853,1.175,0.001,0.001,3553.879,3308.826,1.001
loading_prp_inhib,0.093,0.135,-0.158,0.344,0.003,0.002,2753.31,3544.915,1.006
loading_prp_shift,0.108,0.136,-0.138,0.364,0.002,0.002,3509.458,3673.99,1.002
