node1,node2,r,p
ucla_total,dass_depression,0.6646551617601596,0.0
ucla_total,dass_anxiety,0.464510406032188,2.898574713583457e-10
ucla_total,dass_stress,0.5019330552635444,5.6066262743570405e-12
ucla_total,pe_rate,-0.12250092876160705,0.11587739669433095
ucla_total,stroop_interference,0.0056958499502705925,0.9419398433594413
ucla_total,prp_bottleneck,0.0766640786015147,0.32623313266072573
dass_depression,dass_anxiety,0.6104731673393914,0.0
dass_depression,dass_stress,0.6364777908465632,0.0
dass_depression,pe_rate,-0.15658342970552544,0.04394273959876682
dass_depression,stroop_interference,-0.07222588304387798,0.3551000398920461
dass_depression,prp_bottleneck,-0.006227705152984369,0.9365292835593373
dass_anxiety,dass_stress,0.7376941951153436,0.0
dass_anxiety,pe_rate,-0.11392707844973846,0.14387305520413318
dass_anxiety,stroop_interference,0.006534060774902692,0.9334140313153294
dass_anxiety,prp_bottleneck,0.02779227910639338,0.7222589513054585
dass_stress,pe_rate,-0.0996819968658822,0.20132241654651128
dass_stress,stroop_interference,-0.02039686723814332,0.7942185029711104
dass_stress,prp_bottleneck,0.018708523960302727,0.810917927977225
pe_rate,stroop_interference,0.1013143092351772,0.19400412360171537
pe_rate,prp_bottleneck,0.08266557461343009,0.28967410535909166
stroop_interference,prp_bottleneck,0.1736516143275137,0.025255935984369593
