outcome,term,estimate,std_error,t,p_value,conf_low,conf_high
Stroop interference (ms),Intercept,-93.53037276568959,84.36947922062788,-1.1085806577175354,0.27120113590003836,-261.6402297785545,74.57948424717533
Stroop interference (ms),C(gender)[T.male],-13.870447579471778,21.935883595729724,-0.6323177053224311,0.5291282051011448,-57.57864974918916,29.837754590245602
Stroop interference (ms),high_loneliness,31.48060749054757,29.917135377743275,1.052260087507156,0.2961042242078849,-28.130586000822134,91.09180098191727
Stroop interference (ms),z_dass_dep,-18.29889384447755,14.712109977925936,-1.2437980596891425,0.2174996283847394,-47.61341288138036,11.015625192425262
Stroop interference (ms),z_dass_anx,17.640660049825648,15.682926394902516,1.124832164968871,0.2642954703857564,-13.608252923738707,48.88957302339
Stroop interference (ms),z_dass_stress,-11.405093585263655,15.202602650562502,-0.7502066486518124,0.45550896342199343,-41.69694060646237,18.886753435935056
Stroop interference (ms),age,11.288398080300752,3.9853219302195573,2.8324934040344534,0.005946886487455323,3.3474707920398563,19.229325368561646
PRP bottleneck (short-long RT),Intercept,440.6409430199526,132.92210356199303,3.315031369590414,0.0014541100497568458,175.53616670122074,705.7457193386845
PRP bottleneck (short-long RT),C(gender)[T.male],-105.72811141906777,34.76027334199025,-3.04163636398534,0.0033103086131195075,-175.05529058764375,-36.40093225049179
PRP bottleneck (short-long RT),high_loneliness,-85.03851800520648,47.35222465936275,-1.7958716536962576,0.07683039708304908,-179.47955219076624,9.402516180353288
PRP bottleneck (short-long RT),z_dass_dep,12.356669294445185,22.878843675834858,0.5400915129070344,0.5908481197476307,-33.27374560705136,57.987084195941726
PRP bottleneck (short-long RT),z_dass_anx,-3.031677117329153,24.68313842968832,-0.12282381051198579,0.9025985791193115,-52.260644436485094,46.19729020182679
PRP bottleneck (short-long RT),z_dass_stress,34.70118956988369,23.62544053488999,1.4688060321515302,0.14636520682685678,-12.418265814844212,81.8206449546116
PRP bottleneck (short-long RT),age,13.633674605914814,6.247000474704602,2.1824353401477055,0.032434966688775525,1.1744250219117394,26.092924189917888
WCST total errors,Intercept,33.28120087144003,12.786160493462077,2.6029081121308963,0.011370647134395522,7.759917710581519,58.80248403229854
WCST total errors,C(gender)[T.male],-1.8445658617555665,3.372033179480015,-0.5470188944107627,0.5861831720573298,-8.575172258048157,4.886040534537024
WCST total errors,high_loneliness,0.05045064232249652,4.48305274075266,0.011253635689779183,0.9910545299077637,-8.897760079755813,8.998661364400807
WCST total errors,z_dass_dep,-1.5535575003641566,2.1969358320084797,-0.7071474176575587,0.481927252670753,-5.938659774310597,2.8315447735822836
WCST total errors,z_dass_anx,-1.587743686394187,2.452434620985887,-0.6474152961337288,0.5195754036690519,-6.4828236775828785,3.307336304794504
WCST total errors,z_dass_stress,0.5581568023446873,2.354623696722357,0.23704713543894224,0.813343527642027,-4.141691766899062,5.258005371588436
WCST total errors,age,-0.741952843478506,0.6042474268427228,-1.227895743562059,0.223782466109799,-1.9480357553548697,0.46413006839785764
Latent meta-control factor,Intercept,-2.00616137402563,0.9697948737727904,-2.0686450591567533,0.04250063204974966,-3.9424193126827314,-0.06990343536852883
Latent meta-control factor,C(gender)[T.male],-0.5222703919996654,0.255672476084601,-2.042732170461901,0.04507646948448836,-1.0327369606556154,-0.011803823343715325
Latent meta-control factor,high_loneliness,0.022123474596645216,0.34153092479319935,0.0647773685795546,0.9485470667080298,-0.6597650178173344,0.7040119670106249
Latent meta-control factor,z_dass_dep,-0.20253633875713442,0.16571544595857368,-1.2221934870679791,0.22598146702602126,-0.5333979018288372,0.12832522431456836
Latent meta-control factor,z_dass_anx,0.11174434422926857,0.1850125285889729,0.6039825793501897,0.5479257187024331,-0.257645087411872,0.4811337758704092
Latent meta-control factor,z_dass_stress,0.004010759857011338,0.17783253611375527,0.022553577341132613,0.9820744234852408,-0.35104335427976435,0.359064873993787
Latent meta-control factor,age,0.10571239577191478,0.045671174455187195,2.314641500529844,0.023752866449462055,0.014526953882924312,0.19689783766090524
