gender,condition,parameter,n,r,p,mean,sd
male,congruent,mu,59,-0.00810006238977119,0.9514487954985321,617.1039305389744,142.10513823268522
male,congruent,sigma,59,-0.0376158844188856,0.7772909436951393,98.79600936122947,60.267918593153716
male,congruent,tau,59,-0.004067623711688989,0.975607984225799,195.9389528407661,100.37024897948389
male,incongruent,mu,59,-0.005774113789794021,0.9653801317669131,689.5007044566798,220.62668417453543
male,incongruent,sigma,59,0.014420721876352868,0.9136758158362448,133.61186800945373,99.69276132063267
male,incongruent,tau,59,0.038144035025762836,0.774245988140266,255.0917437905512,122.15773024932142
female,congruent,mu,98,-0.12062042767159653,0.2367751428594108,693.4023030794059,146.19194361092573
female,congruent,sigma,98,-0.04876365996678386,0.6334862753003861,128.58615964915015,62.99651076375523
female,congruent,tau,98,0.06772656025582945,0.5075753794918879,164.41371514111282,93.90046366220594
female,incongruent,mu,98,-0.15731743379436156,0.12185571507364994,771.5398411109751,188.91409026150166
female,incongruent,sigma,98,-0.09735161056743266,0.34026887977275394,161.63840545528606,84.52692193911078
female,incongruent,tau,98,0.12754892341266044,0.21071995724428866,229.97979405712775,139.04862749057588
