feature,importance_mean,importance_std
age,0.007545494444927286,0.001032778002204526
created_hour,0.02155347454817119,0.003536953629052007
ucla_duration,0.07129566324080919,0.012186872645961567
dass_duration,0.04811646330386795,0.0080823795025202
duration_prp,0.027803547339561564,0.00562180007811149
duration_stroop,0.015785564962381135,0.0020839686488015275
duration_wcst,0.023550994076124376,0.0028739180794648597
dass_dep,0.9864619578646344,0.10714459143928298
dass_anx,0.06469570259842136,0.011384325856648378
dass_stress,0.10763934718609793,0.02233482994413411
gender,0.0018538845199453614,0.0004867288171451063
education,0.0022925215757343942,0.00047319817491564537
courseName,0.013269730785273026,0.002133589789155319
professorName,0.019838142927337026,0.002804445965913665
classSection,0.006783751301875088,0.0009229639968468172
created_dow,0.010413614767746911,0.0013988820890507422
created_hour_bin,0.008514683910446727,0.002424079989508755
