feature,importance_mean,importance_std
stroop_effect,0.0001538461538461644,0.00028968272975115364
stroop_accuracy,0.0,0.0
mrt_incong,8.881784197001253e-18,3.011959563148489e-17
mrt_cong,3.1086244689504386e-17,4.984889017266269e-17
mrt_total,2.886579864025407e-17,4.869818370658876e-17
prp_bottleneck,2.2204460492503132e-17,4.4408920985006264e-17
prp_rt_slope,1.7763568394002505e-17,4.0701448389020804e-17
prp_mrt_t1,6.661338147750939e-18,2.636633597461006e-17
prp_mrt_t2,3.9968028886505634e-17,5.329070518200751e-17
prp_acc_t1,0.0,0.0
prp_acc_t2,1.3322676295501878e-17,3.607797795906347e-17
wcst_total_errors,3.1086244689504386e-17,4.9848890172662696e-17
wcst_persev_errors,0.011986013986013995,0.0035188377597471098
wcst_nonpersev_errors,0.0,0.0
wcst_conceptual_pct,1.1102230246251566e-17,3.3306690738754695e-17
wcst_persev_resp_pct,0.0006713286713286704,0.0014052986503027094
wcst_failure_to_maintain_set,1.5543122344752193e-17,3.852329915709489e-17
prp_t2_cv_all,3.552713678800501e-17,5.1789256393111495e-17
prp_t2_cv_short,8.881784197001253e-18,3.011959563148489e-17
prp_t2_cv_long,0.026041958041958038,0.006135637396508286
prp_t2_trials,4.218847493575595e-17,5.388872059480397e-17
stroop_post_error_slowing,2.2204460492503132e-17,4.4408920985006264e-17
stroop_post_error_rt,0.0,0.0
stroop_post_correct_rt,1.1102230246251566e-17,3.3306690738754695e-17
stroop_incong_slope,0.0006573426573426544,0.000705011645377816
stroop_trials,0.0,0.0
age,0.0,0.0
dass_dep,4.440892098500626e-18,2.1755839288168294e-17
dass_anx,0.0714825174825175,0.012674361698784371
dass_stress,1.5543122344752193e-17,3.85232991570949e-17
gender,0.0,0.0
