feature,importance_mean,importance_std
stroop_effect,0.005400466187701756,0.0006375072100608401
stroop_accuracy,0.009538253525000939,0.0024157014990057947
mrt_incong,0.00533676554018629,0.0014701208790563242
mrt_cong,0.0058137679426376555,0.001347838815195972
mrt_total,0.0014606954378731719,0.00019254554731523547
prp_bottleneck,0.0043476814988702836,0.0007125546763050993
prp_rt_slope,0.00592076035965779,0.0010665002580973405
prp_mrt_t1,0.08520468575366481,0.02386259605518427
prp_mrt_t2,0.004927884802845332,0.0006126625191981562
prp_acc_t1,0.00457194105146153,0.0006825104378987176
prp_acc_t2,0.0038590435528152735,0.0008216104725761094
wcst_total_errors,0.00651696495023218,0.0011392506569371658
wcst_persev_errors,0.011825407543382254,0.0026976418991884344
wcst_nonpersev_errors,0.005812597632919754,0.0008918500514063555
wcst_conceptual_pct,0.0027802787068295885,0.000523240322782413
wcst_persev_resp_pct,0.0057951893428452635,0.0012280726159334093
wcst_failure_to_maintain_set,0.00025291804180684665,6.404124997887907e-05
prp_t2_cv_all,0.022353250699956292,0.005934367644746296
prp_t2_cv_short,0.012470751573539895,0.0031122927010686814
prp_t2_cv_long,0.022329282549129026,0.004887737350934699
prp_t2_trials,0.0017600319227487748,0.00075180717983228
stroop_post_error_slowing,0.001403285625945454,0.0002643042015820764
stroop_post_error_rt,0.002932214019214405,0.0010089566042895666
stroop_post_correct_rt,0.0018393587699550018,0.00032318542418546776
stroop_incong_slope,0.008766261007783754,0.0016748060273972971
stroop_trials,0.0004149901379353271,0.00014025052996623354
age,0.005306172510195868,0.0010462767089248852
dass_dep,1.135461791903752,0.1572045044618835
dass_anx,0.03333559654707053,0.006701258389183342
dass_stress,0.10441559911200361,0.022209563905102984
gender,0.002299482253663023,0.0008228817118315621
