edge,male_weight,female_weight,difference
dass_stress--prp_bottleneck,0.28314204397894244,-0.2041691093625088,0.48731115334145125
dass_anxiety--prp_bottleneck,-0.14501113799528223,0.11782463892982885,-0.26283577692511106
ucla_score--dass_anxiety,-0.1012389138915863,0.11720310268849982,-0.2184420165800861
dass_stress--pe_rate,-0.14106134455669195,0.04754749769350285,-0.1886088422501948
stroop_interference--prp_bottleneck,0.18699668646906867,0.022166281882629608,0.16483040458643905
dass_depression--stroop_interference,-0.1989807880528581,-0.04038486032344564,-0.15859592772941244
ucla_score--dass_stress,0.17107420995131925,0.018592594493039172,0.15248161545828007
dass_depression--pe_rate,0.03011763481904644,-0.11330660988456029,0.14342424470360673
dass_anxiety--pe_rate,0.0337902176813799,-0.06730803014053963,0.10109824782191953
dass_anxiety--stroop_interference,0.12176948490358916,0.04216354703149094,0.07960593787209821
ucla_score--stroop_interference,0.11702644337582481,0.038248196437100875,0.07877824693872393
dass_depression--prp_bottleneck,-0.12997446348333977,-0.051460140074125096,-0.07851432340921467
dass_stress--stroop_interference,0.005866102975612379,-0.0709675127010307,0.07683361567664308
dass_depression--dass_anxiety,0.21650852692303188,0.15721846746944731,0.059290059453584565
ucla_score--prp_bottleneck,0.12710488351816568,0.07599789044023683,0.05110699307792885
dass_depression--dass_stress,0.28699922832978025,0.25063010806136155,0.03636912026841871
dass_anxiety--dass_stress,0.5980944244703015,0.5667077187436265,0.03138670572667501
pe_rate--prp_bottleneck,0.07130292614737271,0.09120825581220181,-0.019905329664829094
pe_rate--stroop_interference,0.06844975058737904,0.08633701590389033,-0.01788726531651129
ucla_score--pe_rate,-0.039616072731608845,-0.03310016566627386,-0.006515907065334982
ucla_score--dass_depression,0.507218314437158,0.503217923063728,0.004000391373430001
