outcome,N_total,N_male,N_female,r_all,p_all,r_male,p_male,r_female,p_female,fisher_z_diff
PRP τ (long SOA),74,30,44,0.15700839872196182,0.18156703325680668,0.5659386846865808,0.0011155333802354752,-0.07835896738378316,0.6131447140928026,2.905229459643804
PRP σ (long SOA),74,30,44,0.04550269587155836,0.7002636957319938,-0.15238902136809132,0.4214465313400967,0.17857409532540625,0.24613960151288244,-1.3479973522849487
PRP RMSSD,75,30,45,0.13586943716288166,0.24511368743654624,0.49611140258709147,0.005299773478424675,-0.07184187654937094,0.63908739049817,2.497661561781607
PRP Kurtosis,75,30,45,-0.20669615962749796,0.07519984023384729,-0.3809639095089878,0.03779976747836358,-0.0330229233223429,0.8294949079277668,-1.4924812870206001
WCST τ,76,30,46,0.19344671246711168,0.09406462832333823,0.41793354237096175,0.021552145126019117,0.051022800225237946,0.7363058616834602,1.605069586582012
WCST σ,76,30,46,-0.01416053816142304,0.9033672285967034,0.011917942611272868,0.9501601979226022,-0.03099010344145209,0.8380020840181468,0.17478815508825823
WCST RMSSD,76,30,46,0.2527315991284962,0.027620217515548225,0.4527206780559096,0.012002019102970767,0.12775994372228866,0.39747546124898614,1.4647155748109315
WCST Kurtosis,76,30,46,-0.004594442357214273,0.9685796106206584,-0.025831588332591995,0.8922198417142897,0.009093980731228437,0.9521698550693615,-0.1422607735273947
Stroop τ (incongruent),76,30,46,0.005700836587085733,0.9610185491134097,0.0375299651420268,0.8439100039159104,-0.00740012029023154,0.9610711698726986,0.1830526700580544
Stroop σ (incongruent),76,30,46,-0.053235583356174884,0.6478654380638444,0.08034756734662855,0.6729771863256562,-0.18916596219794998,0.20800082107265128,1.1077075128070453
Stroop RMSSD,76,30,46,-0.0906645174007755,0.4360376595701621,0.0028135226086910938,0.9882272537540701,-0.15140619324854018,0.315170522126471,0.6328460725279855
Stroop Kurtosis,76,30,46,-0.09775975046396133,0.40082979965600113,-0.11373515349478437,0.5495530953927825,-0.10094241738164605,0.5044581568644443,-0.05270716116419955
