outcome,component,N,ucla_beta,ucla_se,ucla_p,gender_beta,gender_p,interaction_beta,interaction_p,r_squared
PRP τ (long SOA),Mean (μ),149,-3.84237577454978,16.23335005666671,0.8132358393067567,-33.686855290581136,0.11532478393749544,8.777958454732943,0.6785039681874406,0.06799421314486909
PRP τ (long SOA),Variance (log σ²),149,0.41276253701424515,0.27712483546618427,0.13860331737371498,-0.38245875723395895,0.2937930300323374,-0.3893184918294936,0.28236853242567095,0.05021079128653294
PRP σ (long SOA),Mean (μ),149,6.872775461791552,6.588950536750019,0.2986982304500387,-2.40677617568819,0.7807275227924488,-10.428102834093849,0.22611982426687244,0.05224520868835636
PRP σ (long SOA),Variance (log σ²),149,0.7161093328704761,0.2575125861708689,0.0061627282818571905,0.029495254117606732,0.9304333659588135,-0.41149283622878735,0.221690773640749,0.08912563765155646
PRP RMSSD,Mean (μ),154,4.326926158199154,15.88600362895066,0.785719686255521,-52.33611938879481,0.016327523535321613,23.669561842617973,0.26494835606112466,0.07242225366496136
PRP RMSSD,Variance (log σ²),154,-0.030153622033463,0.2613520562618943,0.9083060350683172,0.35147386125099245,0.32293641026885855,-0.14047247100514004,0.6870322262701194,0.018031831431213563
PRP Kurtosis,Mean (μ),154,0.14369033909736273,0.19980868015657402,0.47320435676135386,0.7046369092125725,0.010257349244537285,-0.4238324309969338,0.11328547528332775,0.10156414600807251
PRP Kurtosis,Variance (log σ²),154,0.08317679245776201,0.0945201254268575,0.38031074127700637,0.06554047314157867,0.6098590317197095,-0.4141519168002204,0.0012521529480176573,0.1255152759568675
WCST τ,Mean (μ),150,58.74433532603452,38.45706690240295,0.12885361439676302,0.6883074006260728,0.9896369125341583,48.429567156838864,0.3537812581795401,0.04424852657662237
WCST τ,Variance (log σ²),150,0.7372385408808644,0.2534217463018518,0.004208201900462915,-0.5416517389969087,0.12245730801241407,-0.10243872417906189,0.7656654609261055,0.1134868019937122
WCST σ,Mean (μ),150,6.071423061819501,10.055107586419393,0.5469301488569238,-31.729818552187176,0.02325535304803537,-3.4988073974620244,0.7975047845130097,0.06318880039444719
WCST σ,Variance (log σ²),150,-0.12765470220722275,0.2772927848451608,0.6459615208502365,-0.15374732107110847,0.6874973201186709,-0.09694039433552212,0.7965757259710073,0.03741776076701697
WCST RMSSD,Mean (μ),150,55.59663572600407,55.45214721270782,0.31775660883511,42.695115522763814,0.5765445973349537,64.71888466665135,0.3900253977604896,0.028719592565334406
WCST RMSSD,Variance (log σ²),150,0.6556387072728149,0.23228288707903805,0.005447936886823363,-0.17645806627300117,0.5816380137990078,-0.22342537389745876,0.4785069519885994,0.07192057487098491
WCST Kurtosis,Mean (μ),150,-1.4839473284826812,1.069037340744765,0.16727585737549663,2.5519946284925483,0.08483441135279664,0.23172988645911113,0.8730012561314197,0.05253658074600376
WCST Kurtosis,Variance (log σ²),150,-0.10258917214651622,0.19624121979176046,0.6019484921826926,0.5585162567222756,0.040357054824644537,0.12903042680498192,0.6279011995216166,0.10363226557930405
Stroop τ (incongruent),Mean (μ),157,15.534819529236493,16.617537208732273,0.35138083177863066,29.702627465823152,0.18714559248871276,-12.857401267195197,0.563012235989661,0.022997494338766522
Stroop τ (incongruent),Variance (log σ²),157,0.18913691985912512,0.27714772699208484,0.4960198419965698,-0.3162462396230377,0.39892583890649513,-0.3065020302356219,0.4086864431349423,0.09962097176260365
Stroop σ (incongruent),Mean (μ),157,-2.659713432770187,11.459645594368329,0.8167835769433404,-28.43422876017576,0.06782463306796202,12.361117914964792,0.4203040376536774,0.042509536120119096
Stroop σ (incongruent),Variance (log σ²),157,-0.0011706315524776594,0.2860700076632282,0.996740446881824,0.46605198861864233,0.2290291741896376,0.5282039245833411,0.1686346124520314,0.03477183140992368
Stroop RMSSD,Mean (μ),158,10.838406602201177,13.311358641673136,0.41680827116407426,-5.603343547533565,0.7564728224511992,-3.9858012186381253,0.8234190315420482,0.022399405035648523
Stroop RMSSD,Variance (log σ²),158,0.1986690600693402,0.2552458306113347,0.437592291725975,-0.18042403324121956,0.6026422847661123,-0.30817206414684184,0.36884272151711295,0.040422378239030166
Stroop Kurtosis,Mean (μ),158,-0.6552438608000696,0.40956564118877997,0.11173586253264858,0.5338609790595265,0.3375729947055588,0.2756718944418217,0.6160561480580352,0.027077042376079774
Stroop Kurtosis,Variance (log σ²),158,-0.2502040436943225,0.1356428922906222,0.0670711905798426,0.28856324668210714,0.11849095451700221,0.127279206371557,0.4846849593798108,0.06180976248314174
