node1,node2,mean,median,std,ci_lower,ci_upper,prop_nonzero,stable,abs_mean
PRP_RT,PRP_RMSSD,0.5397932265551854,0.5406546707071989,0.07149289229644153,0.38907076501786264,0.6670774107290637,1.0,True,0.5397932265551854
UCLA,DASS_Dep,0.4776464847987309,0.48919685355977793,0.12147008806901861,0.226614001500754,0.6855565040893081,1.0,True,0.4776464847987309
DASS_Anx,DASS_Str,0.4208510322410675,0.42343567011093486,0.10559483736630552,0.20255157997070714,0.6113357574167676,0.999,True,0.4208510322410675
Stroop_Int,Stroop_tau,0.39047292936571665,0.39775368822012996,0.09041287205152888,0.20483546872826167,0.5529574173286744,1.0,True,0.39047292936571665
PRP_tau,WCST_tau,0.2920894197416631,0.2905350936328537,0.09482203396698281,0.10150563962580011,0.4650105522296894,0.991,True,0.2920894197416631
PRP_RT,PRP_tau,0.24574954819609218,0.24795488301025898,0.09112424844018348,0.05517780957900768,0.4057110654075959,0.976,True,0.24574954819609218
UCLA,DASS_Anx,0.20252187091433518,0.20183293476438777,0.08904589845572858,0.027119792223766294,0.38044165724018236,0.957,True,0.20252187091433518
Stroop_Int,WCST_tau,0.17851209904250087,0.17834833795684535,0.09122328718000705,0.0,0.349449072613892,0.908,True,0.17851209904250087
DASS_Dep,DASS_Anx,0.16136588217154146,0.14273217632188817,0.12436859218440746,0.0,0.42608050654981344,0.789,True,0.16136588217154146
DASS_Dep,DASS_Str,0.16059903789843857,0.1565090633869788,0.09548482982954724,0.0,0.3432120381721766,0.864,True,0.16059903789843857
PRP_tau,PRP_RMSSD,0.1557575795886679,0.15724234903720277,0.09013955907563384,0.0,0.33927629674736864,0.861,True,0.1557575795886679
UCLA,DASS_Str,0.14389898970191206,0.14109492308126403,0.08441673767608501,0.0,0.32092923419624997,0.858,True,0.14389898970191206
Stroop_Int,PRP_RMSSD,0.13835216853157634,0.14206514768857456,0.08045482607469318,0.0,0.29624101475992404,0.832,True,0.13835216853157634
PRP_RMSSD,Stroop_tau,0.0840728666654805,0.06892615114759108,0.08254729315250256,0.0,0.27076837587420416,0.574,True,0.0840728666654805
PRP_RT,WCST_tau,0.07341325685924097,0.058700684395635305,0.07362571858138563,0.0,0.24465972173587933,0.539,True,0.07341325685924097
DASS_Anx,PRP_tau,0.06611750759583375,0.049475713701191526,0.06745945261708407,0.0,0.21592314804619298,0.497,True,0.06611750759583375
PRP_tau,Stroop_tau,-0.06267494005837139,-0.04331916170688377,0.07012878879962349,-0.23268934801678928,0.0,0.47,True,0.06267494005837139
WCST_PE,WCST_tau,0.06066048012001706,0.04894611216262886,0.06453990942201618,0.0,0.2119288793717154,0.495,True,0.06066048012001706
DASS_Str,WCST_tau,0.0597888948190735,0.04092705110203375,0.06711288887446161,0.0,0.22457366222669073,0.461,True,0.0597888948190735
DASS_Str,WCST_PE,-0.058134215246717025,-0.03414242277756658,0.07180168344356455,-0.2231820819995149,0.006672616165746715,0.462,False,0.058134215246717025
Stroop_Int,PRP_tau,-0.05571993924383424,-0.0092895635310414,0.07905027923640358,-0.25272822013470847,0.0030921584486789887,0.389,False,0.05571993924383424
WCST_PE,PRP_RMSSD,0.05100137574237049,0.04030036670073562,0.05017912494796564,0.0,0.1632425680013813,0.429,True,0.05100137574237049
DASS_Str,Stroop_Int,-0.043822040622772264,-0.017709440578929408,0.05643683320528506,-0.18918408887717553,0.0,0.358,True,0.043822040622772264
PRP_RT,Stroop_Int,0.04328526497516182,0.016677429886681853,0.058305433605342766,0.0,0.19474527516057544,0.35,True,0.04328526497516182
DASS_Dep,WCST_PE,-0.034866053357728646,-0.01711157345256916,0.04314824353422729,-0.13721541737543733,0.0,0.312,True,0.034866053357728646
DASS_Dep,Stroop_tau,-0.03400186776892335,0.0,0.05768872569962441,-0.19098970652060057,0.0295296141423264,0.286,False,0.03400186776892335
DASS_Anx,Stroop_Int,0.032869294563750595,0.0,0.055884443871563605,0.0,0.18965397100763254,0.26,True,0.032869294563750595
UCLA,WCST_tau,0.03154939900275567,0.0,0.0612748031562856,-0.05388360313579975,0.17995283855941055,0.303,False,0.03154939900275567
DASS_Str,PRP_tau,0.031190520295917575,0.0,0.05122892876664114,-0.009308294291901326,0.16228297791293395,0.272,False,0.031190520295917575
DASS_Dep,PRP_RT,0.030383023015819938,0.0,0.05389731014704516,-0.006934417865131061,0.1880018687618992,0.259,False,0.030383023015819938
PRP_RT,Stroop_tau,-0.028237252182578863,0.0,0.05514889732032062,-0.18073643153558494,0.024574049372026625,0.248,False,0.028237252182578863
DASS_Str,PRP_RT,0.024421735002065167,0.0,0.038133955847980794,0.0,0.12498698612561947,0.221,True,0.024421735002065167
DASS_Dep,PRP_RMSSD,-0.02351195025015388,0.0,0.04553105613593698,-0.14761357211640014,0.0,0.196,True,0.02351195025015388
WCST_PE,Stroop_Int,-0.023480613470809025,0.0,0.043011483791748475,-0.15767325809201221,0.0,0.191,True,0.023480613470809025
WCST_tau,Stroop_tau,0.0222943511082917,-0.0,0.07166809471229807,-0.1155329975195519,0.220490052063483,0.277,False,0.0222943511082917
UCLA,PRP_RT,0.016021683857574485,0.0,0.02913526638749877,0.0,0.0936182552336207,0.139,True,0.016021683857574485
WCST_PE,Stroop_tau,0.01597958706201627,0.0,0.043193294776979224,-0.04740529440813755,0.14350802939567686,0.179,False,0.01597958706201627
DASS_Anx,WCST_tau,0.01581881737630369,0.0,0.06330290272993053,-0.12129969011537704,0.17324119195375487,0.266,False,0.01581881737630369
DASS_Anx,WCST_PE,-0.015207372009893581,0.0,0.043191175286610414,-0.13227147638022163,0.06330510121363955,0.201,False,0.015207372009893581
WCST_PE,PRP_tau,0.012660428299553144,0.0,0.038632240413280325,-0.044093496757616014,0.12432769517603867,0.149,False,0.012660428299553144
DASS_Dep,Stroop_Int,-0.009780217553007653,-0.0,0.02522338340970165,-0.08645895936424429,4.5533709724936237e-05,0.084,False,0.009780217553007653
DASS_Anx,PRP_RMSSD,-0.009374444747497766,0.0,0.033082993807546944,-0.10439673708055114,0.042131855358420615,0.111,False,0.009374444747497766
