participant_id,profile_k3,profile_k4
GE4hogtdLdTFbNasENgtm6SO3hC3,1,0
ORvIk1xRWIQmKuLVe6GXNouvAXx2,2,1
80UJMJbCOMgs6YVpsMgXfYTzw6o2,1,0
rUuJv5gl7dWVo7UPQWMx4bohxhK2,0,1
xyAILKfYP2M8GqAai11x6NT7IcP2,1,2
pcbRW89vVJcviD87V3uxyG4I9st2,1,3
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,2,3
yatBVTBMCSMp0wJluOCLzTFKMyP2,2,3
u64Uf920g5VD9Byq26LT2rs5o4t1,1,0
nT1qJOiMyDdJ9ui4el195A8Hsgs1,2,1
cUugYJoOmOSFc0Mh5JD0ZXJrYN52,1,3
2h5FgHUEvBS1twD5DqbTIRrMm1f2,2,3
lpzDdvuMkKWkPxu6xeclmdctEp42,1,0
A9AEg0g6c2P1Bk72HLmnK3oWJ9B2,1,3
7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,1,0
Qg9GDwQ9hBNkDLt50CNLd4NqRlX2,2,3
LliUMEIsrCVZ88YFQfevan2Og4z1,1,0
EUhcW9kURScie1DwGPHqmNqotJB2,1,3
aj2Ivskb3BgyvBNTLIKlSZG0Sq22,1,0
iZScIvzhvAdvlsBXU5D8IHwvG6Q2,2,1
wdppvL4tIkVlGjou6aYzzjlaZXB2,1,3
jpklrtZKDdb3UbsoQ7Ho5KuR5yb2,1,0
K26uNuY0VNPjJNF26wEx3bFg0kr2,1,0
pFlYc8DBmSXkvMIRgXFxvo3JB6j1,2,0
DPvStUYSmohmXwFwaKRqHv89R3k1,1,0
K7ykiXe6CqQUKpEzs2nYrMTVuDA2,1,3
62fAfeQc27bZelkPX7G54T3gvci2,0,1
q0Atnpm0jZS5swcVmq0EMalQUKw1,1,0
kR2rCtaPyPaj7YMizKUDn5xL2qx1,1,3
dnkEqKuvjoQzAQm5yXlrAOp9ZlD3,2,3
mwsliuPsLFhRFjtjQwYkqcCRDvi2,1,3
iKVZi0Oo96UrMBhPQMHWFcf55uA3,0,2
Lhv9P8ZrkDSIB7BGwooAqfu8SGF3,1,0
ssPK6ISW0HerTGke9hznqJ2LpKu1,1,0
qsRKc69hK6e8Uu6vr2pBO8NbpMt2,2,3
5zxa5CMLGQSSonWOXqXf0QNS3PH3,1,0
h5RYP03wJuVN0xo7qAR8CKFxLaj1,1,0
CGyTPhevTbSvVnZ8qSP0NtWuhgw1,0,2
v8nNKiWvPdcjiHXZci39OuFTY6M2,2,1
BbwUTWswjtPWhb5DvLAmh9Hdpyl2,2,3
LSLmd8jENtONZFVkIpRDX665Bu73,1,0
mUZzgdWKnPb2txOkJg9FHgqX5792,1,3
WbOfW9KmUkPQK8o5hlHJnJFdpp92,1,0
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,1,2
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,1,0
fEq0OghbLpfD1jigl1Mbz96aMbg2,1,3
QG6VXg7od2fHJ1SF9ZzYBqUa1FY2,1,0
cEIs6U87xfbSL5eFTXDK77MmvNf1,1,3
AsXBOflrszVNKoFqbN61bMJqS0k2,1,0
Fz7EUjZCLuUBxLDUVtN6djaBTy42,1,0
DzB19GqCB7fyrlEPexogWkjFzEx2,0,2
WKzqsLX1lNVSdbGgYTTVGtFwsrF3,2,2
xBGZhFOeypWnqzSQClkrwV9z2vF3,0,2
