metric,n,r_ucla,p_ucla,gender
pe_rate,162,-0.07534754070085802,0.3406170015376711,
pe_rate,61,0.04903688010395734,0.707442608686512,Male
pe_rate,101,-0.13794772073443948,0.16891830853398548,Female
mean_run_length,162,-0.09537839945018131,0.2273078321671033,
mean_run_length,61,-0.07128941693971029,0.5850901050127713,Male
mean_run_length,101,-0.13704581778615285,0.17174840183829065,Female
max_run_length,162,-0.07482303391918214,0.34399840032346213,
max_run_length,61,0.0017089174047361035,0.9895711853559348,Male
max_run_length,101,-0.1318948191856784,0.18858407407581013,Female
lag1_autocorr,160,-0.07632961063844199,0.3373915881643792,
lag1_autocorr,61,-0.09460630770492229,0.4683037697021799,Male
lag1_autocorr,99,-0.1035569300430109,0.3077104587207773,Female
