participant_id,n_trials,n_pe,pe_rate,n_runs,max_run,mean_run,pct_trials_in_runs_2plus,ucla_total,gender_male
7QYZfcjgZHcVB941oHiLGGPTk7U2,74,0,0.0,0,0,0.0,0.0,25.0,0
GE4hogtdLdTFbNasENgtm6SO3hC3,67,3,4.477611940298507,3,1,1.0,0.0,56.0,0
Qv0jhW3sqicqQvd7LfReAsI7nD73,77,7,9.090909090909092,7,1,1.0,0.0,0.0,0
ORvIk1xRWIQmKuLVe6GXNouvAXx2,101,17,16.831683168316832,13,2,1.3076923076923077,47.05882352941176,54.0,0
80UJMJbCOMgs6YVpsMgXfYTzw6o2,71,5,7.042253521126761,5,1,1.0,0.0,56.0,0
rUuJv5gl7dWVo7UPQWMx4bohxhK2,89,9,10.112359550561797,8,2,1.125,22.22222222222222,43.0,0
xyAILKfYP2M8GqAai11x6NT7IcP2,81,8,9.876543209876543,7,2,1.1428571428571428,25.0,35.0,1
pcbRW89vVJcviD87V3uxyG4I9st2,71,2,2.8169014084507045,2,1,1.0,0.0,33.0,1
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,98,6,6.122448979591836,5,2,1.2,33.33333333333333,42.0,0
yatBVTBMCSMp0wJluOCLzTFKMyP2,91,10,10.989010989010989,7,3,1.4285714285714286,50.0,35.0,0
u64Uf920g5VD9Byq26LT2rs5o4t1,107,14,13.084112149532709,12,2,1.1666666666666667,28.57142857142857,34.0,1
nT1qJOiMyDdJ9ui4el195A8Hsgs1,79,7,8.860759493670885,6,2,1.1666666666666667,28.57142857142857,62.0,0
cUugYJoOmOSFc0Mh5JD0ZXJrYN52,119,10,8.403361344537815,9,2,1.1111111111111112,20.0,40.0,1
ric6cNjG25XmZJCiKZDOxzeezao1,100,18,18.0,9,9,2.0,61.111111111111114,44.0,1
kxerHPSL3bQjD74HhiebYf3blPr1,128,28,21.875,18,5,1.5555555555555556,57.14285714285714,43.0,0
2h5FgHUEvBS1twD5DqbTIRrMm1f2,99,13,13.131313131313133,12,2,1.0833333333333333,15.384615384615385,65.0,1
lpzDdvuMkKWkPxu6xeclmdctEp42,84,9,10.714285714285714,7,2,1.2857142857142858,44.44444444444444,52.0,0
iv9ew8Ci8lOzvXFiJw1acJfuRAl2,79,9,11.39240506329114,8,2,1.125,22.22222222222222,23.0,0
A9AEg0g6c2P1Bk72HLmnK3oWJ9B2,82,9,10.975609756097562,6,3,1.5,55.55555555555556,38.0,1
7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,76,6,7.894736842105263,5,2,1.2,33.33333333333333,57.0,0
Qg9GDwQ9hBNkDLt50CNLd4NqRlX2,69,7,10.144927536231885,6,2,1.1666666666666667,28.57142857142857,64.0,1
LliUMEIsrCVZ88YFQfevan2Og4z1,97,13,13.402061855670103,10,2,1.3,46.15384615384615,28.0,1
EUhcW9kURScie1DwGPHqmNqotJB2,128,41,32.03125,21,9,1.9523809523809523,73.17073170731707,36.0,0
aj2Ivskb3BgyvBNTLIKlSZG0Sq22,119,13,10.92436974789916,10,2,1.3,46.15384615384615,54.0,0
iZScIvzhvAdvlsBXU5D8IHwvG6Q2,126,20,15.873015873015872,18,3,1.1111111111111112,15.0,54.0,1
wdppvL4tIkVlGjou6aYzzjlaZXB2,128,30,23.4375,21,4,1.4285714285714286,43.333333333333336,44.0,1
jpklrtZKDdb3UbsoQ7Ho5KuR5yb2,64,2,3.125,2,1,1.0,0.0,41.0,0
