participantId,gender,age,ucla_total,pe_rate,accuracy,totalTrialCount,pes_ms,post_error_acc,cluster
7QYZfcjgZHcVB941oHiLGGPTk7U2,여성,36,25.0,9.45945945945946,,74.0,2796.586070380078,63.63636363636363,1.0
GE4hogtdLdTFbNasENgtm6SO3hC3,여성,19,56.0,4.477611940298507,,67.0,739.9987893497107,57.14285714285714,0.0
ORvIk1xRWIQmKuLVe6GXNouvAXx2,여성,24,54.0,16.831683168316832,,101.0,2984.681359652365,54.16666666666666,0.0
80UJMJbCOMgs6YVpsMgXfYTzw6o2,여성,20,56.0,7.042253521126761,,71.0,747.9700000000498,60.0,0.0
rUuJv5gl7dWVo7UPQWMx4bohxhK2,여성,20,43.0,10.112359550561797,,89.0,1368.7483105023157,60.0,1.0
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,여성,20,42.0,6.122448979591836,,98.0,888.323602485854,35.714285714285715,1.0
yatBVTBMCSMp0wJluOCLzTFKMyP2,여성,21,35.0,10.989010989010989,,91.0,1483.999999999986,37.5,1.0
nT1qJOiMyDdJ9ui4el195A8Hsgs1,여성,18,62.0,8.860759493670885,,79.0,4169.355072468951,66.66666666666666,0.0
kxerHPSL3bQjD74HhiebYf3blPr1,여성,19,43.0,21.875,,128.0,-277.9411919831192,27.848101265822784,1.0
lpzDdvuMkKWkPxu6xeclmdctEp42,여성,19,52.0,10.714285714285714,,84.0,703.7776922697549,61.53846153846154,0.0
iv9ew8Ci8lOzvXFiJw1acJfuRAl2,여성,18,23.0,11.39240506329114,,79.0,2043.0846774193333,43.75,1.0
7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,여성,20,57.0,7.894736842105263,,76.0,493.3920634994431,58.333333333333336,0.0
EUhcW9kURScie1DwGPHqmNqotJB2,여성,19,36.0,32.03125,,128.0,270.334674906989,43.13725490196079,1.0
aj2Ivskb3BgyvBNTLIKlSZG0Sq22,여성,18,54.0,10.92436974789916,,119.0,124.32499999949276,70.83333333333334,0.0
jpklrtZKDdb3UbsoQ7Ho5KuR5yb2,여성,19,41.0,3.125,,64.0,1248.4364406744303,75.0,0.0
K26uNuY0VNPjJNF26wEx3bFg0kr2,여성,19,43.0,10.0,,70.0,794.8235023040615,71.42857142857143,0.0
pFlYc8DBmSXkvMIRgXFxvo3JB6j1,여성,19,29.0,16.470588235294116,,85.0,1318.692753623162,53.333333333333336,1.0
K7ykiXe6CqQUKpEzs2nYrMTVuDA2,여성,22,39.0,7.526881720430108,,93.0,3200.4117647058724,50.0,1.0
62fAfeQc27bZelkPX7G54T3gvci2,여성,26,49.0,8.571428571428571,,70.0,4341.296516393601,100.0,0.0
q0Atnpm0jZS5swcVmq0EMalQUKw1,여성,21,24.0,7.042253521126761,,71.0,1246.0000000000057,60.0,1.0
dnkEqKuvjoQzAQm5yXlrAOp9ZlD3,여성,21,59.0,10.95890410958904,,73.0,4539.846050667869,63.63636363636363,0.0
h5RYP03wJuVN0xo7qAR8CKFxLaj1,여성,21,29.0,7.936507936507936,,126.0,842.4432379287134,43.18181818181818,1.0
v8nNKiWvPdcjiHXZci39OuFTY6M2,여성,20,31.0,11.842105263157894,,76.0,3479.633126549182,53.84615384615385,1.0
LSLmd8jENtONZFVkIpRDX665Bu73,여성,19,20.0,10.975609756097562,,82.0,1030.9493939168528,66.66666666666666,1.0
mUZzgdWKnPb2txOkJg9FHgqX5792,여성,19,33.0,14.953271028037381,,107.0,431.3454321094207,56.00000000000001,1.0
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,여성,23,32.0,8.333333333333332,,72.0,1598.351639322961,70.0,1.0
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,여성,19,50.0,8.536585365853659,,82.0,1518.2124999999878,100.0,0.0
fEq0OghbLpfD1jigl1Mbz96aMbg2,여성,19,31.0,21.59090909090909,,88.0,948.2010822490312,52.38095238095239,1.0
