analysis,outcome,subgroup,n,effect_size,effect_type,power,observed_p,significant
Correlation,WCST Perseverative Error Rate,Full Sample,171,-0.10858175733596065,r,0.2925567529679358,0.15746189103118033,False
Correlation,WCST Perseverative Error Rate,Male,65,-0.041622397432899985,r,0.06240759544666802,0.7420029738266201,False
Correlation,WCST Perseverative Error Rate,Female,103,-0.15478036045660187,r,0.3449339585279952,0.11849976062928355,False
Correlation,PRP Bottleneck Effect,Full Sample,167,0.07753708357326189,r,0.1688342201245499,0.3192626311893804,False
Correlation,PRP Bottleneck Effect,Male,64,0.23184427722924733,r,0.4540281042795722,0.0652701544710671,False
Correlation,PRP Bottleneck Effect,Female,100,-0.028431166720458215,r,0.059034627611603246,0.7788684606520665,False
Correlation,Stroop Interference,Full Sample,171,0.0014501983431125655,r,0.05004047356230832,0.9849809330383099,False
Correlation,Stroop Interference,Male,65,0.0542126227000042,r,0.07116543574456916,0.6679879184300546,False
Correlation,Stroop Interference,Female,103,-0.012737730159579531,r,0.05186087917818538,0.8983853435915593,False
Group Comparison,WCST Perseverative Error Rate,Full Sample,171,-0.11048075264498325,Cohen's d,0.11076982395768398,0.4714418198589214,False
Group Comparison,PRP Bottleneck Effect,Full Sample,167,0.2879564283142239,Cohen's d,0.4551345709096427,0.06496441676777591,False
Group Comparison,Stroop Interference,Full Sample,171,0.08385381916309909,Cohen's d,0.08462380986809731,0.5845479625232854,False
