dv,model,n,beta_ucla,se_ucla,p_ucla,r2,r2_adj,beta_gender,p_gender,beta_interaction,se_interaction,p_interaction
PRP Bottleneck (short - long SOA),UCLA_main,75,13.254445427318931,27.38368839756281,0.6298994256915498,0.09381252269438134,0.028146763469336422,,,,,
PRP Bottleneck (short - long SOA),UCLA_x_Gender,75,-12.76788075788053,25.170525009513902,0.6136413630592252,0.3382443102270798,0.2691056560717,-138.3685922690006,3.50387357702555e-05,69.96702234520401,32.389203147258016,0.03433863361299234
PRP Bottleneck (short - long SOA),UCLA_Female,45,-7.540800462991971,32.86465059718824,0.8197181477362849,0.048960403360367,-0.07296775005497058,,,,,
PRP Bottleneck (short - long SOA),UCLA_Male,30,41.240055488156976,32.45599310808248,0.21603431744087997,0.594778170117432,0.5103569555585636,,,,,
Mean T2 RT,UCLA_main,75,40.7202009497303,40.34857939898738,0.3163998400760275,0.06840109092647484,0.0008939236023062236,,,,,
Mean T2 RT,UCLA_x_Gender,75,-2.4235810911389324,34.8534303292757,0.9447698076489921,0.3991826036991283,0.33641063692142525,-235.71966505417583,7.593417955371003e-07,114.48543504368801,44.8490778355646,0.012974408258506862
Mean T2 RT,UCLA_Female,45,7.770133026160926,46.10220321354882,0.8670283925242084,0.02750437475141232,-0.09717455156250909,,,,,
Mean T2 RT,UCLA_Male,30,85.43358081138513,47.3718745066279,0.08388432457613287,0.5462569237923994,0.4517271162491493,,,,,
SOA Slope,UCLA_main,75,-6.62722271365948,13.691844198781382,0.6298994256915483,0.09381252269438156,0.028146763469336644,,,,,
SOA Slope,UCLA_x_Gender,75,6.383940378940224,12.585262504756933,0.6136413630592268,0.3382443102270797,0.2691056560716999,69.18429613450017,3.5038735770255695e-05,-34.98351117260193,16.194601573628983,0.03433863361299245
SOA Slope,UCLA_Female,45,3.7704002314959624,16.43232529859409,0.8197181477362857,0.04896040336036689,-0.07296775005497058,,,,,
SOA Slope,UCLA_Male,30,-20.6200277440785,16.22799655404122,0.21603431744087903,0.594778170117432,0.5103569555585636,,,,,
T2 RT Variability (CV),UCLA_main,75,0.002914893453254023,0.009528041228325717,0.760580690795481,0.10368587072467483,0.03873557150182505,,,,,
