participant_id,n_trials,n_t1t2,n_t2t1,n_t2_only,n_t1_only,reversal_rate,reversal_soa_50,reversal_soa_150,reversal_soa_300,reversal_soa_600,reversal_soa_1200
GE4hogtdLdTFbNasENgtm6SO3hC3,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ORvIk1xRWIQmKuLVe6GXNouvAXx2,120,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
80UJMJbCOMgs6YVpsMgXfYTzw6o2,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
rUuJv5gl7dWVo7UPQWMx4bohxhK2,120,0,0,8,6,0,0.0,0.0,0.0,0.0,0.0
xyAILKfYP2M8GqAai11x6NT7IcP2,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
pcbRW89vVJcviD87V3uxyG4I9st2,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
yatBVTBMCSMp0wJluOCLzTFKMyP2,120,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
u64Uf920g5VD9Byq26LT2rs5o4t1,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
nT1qJOiMyDdJ9ui4el195A8Hsgs1,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
cUugYJoOmOSFc0Mh5JD0ZXJrYN52,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
kxerHPSL3bQjD74HhiebYf3blPr1,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2h5FgHUEvBS1twD5DqbTIRrMm1f2,120,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
lpzDdvuMkKWkPxu6xeclmdctEp42,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
iv9ew8Ci8lOzvXFiJw1acJfuRAl2,120,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
A9AEg0g6c2P1Bk72HLmnK3oWJ9B2,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Qg9GDwQ9hBNkDLt50CNLd4NqRlX2,120,0,0,2,1,0,0.0,0.0,0.0,0.0,0.0
LliUMEIsrCVZ88YFQfevan2Og4z1,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
EUhcW9kURScie1DwGPHqmNqotJB2,120,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0
aj2Ivskb3BgyvBNTLIKlSZG0Sq22,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
iZScIvzhvAdvlsBXU5D8IHwvG6Q2,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
wdppvL4tIkVlGjou6aYzzjlaZXB2,120,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0
jpklrtZKDdb3UbsoQ7Ho5KuR5yb2,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
K26uNuY0VNPjJNF26wEx3bFg0kr2,120,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
pFlYc8DBmSXkvMIRgXFxvo3JB6j1,120,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0
DPvStUYSmohmXwFwaKRqHv89R3k1,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
K7ykiXe6CqQUKpEzs2nYrMTVuDA2,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
