gender,soa,parameter,n,r,p,mean
male,short,mu,64,0.2916093970468052,0.019389381840282376,832.4084011323971
male,short,sigma,64,0.31672321675272613,0.01077662595567266,165.1051014127645
male,short,tau,64,-0.18236216189596724,0.14922655292741802,336.41533220901647
male,long,mu,64,0.023465901690027074,0.8539722228097779,438.0460895129809
male,long,sigma,64,-0.07953953488388411,0.5321246113516713,65.64240260433426
male,long,tau,64,0.15704040045561918,0.21524615755211296,189.14326347445427
female,short,mu,102,0.03398120281021688,0.73456334914212,979.4270872639765
female,short,sigma,102,0.12637667956444062,0.20562302004306526,201.47249956111673
female,short,tau,102,-0.12185183306121691,0.2224541957315385,350.88438079644465
female,long,mu,100,-0.10062870035600183,0.3191691011014816,452.858231334023
female,long,sigma,100,-0.05590757357673186,0.5806201056851868,68.62650722614345
female,long,tau,100,0.03753492113359404,0.7108156708590894,245.2321134121538
