participant_id,short_mu,short_sigma,short_tau,short_n,medium_mu,medium_sigma,medium_tau,medium_n,long_mu,long_sigma,long_tau,long_n,mu_bottleneck,sigma_bottleneck,tau_bottleneck
GE4hogtdLdTFbNasENgtm6SO3hC3,680.6960877309942,59.9164144491114,425.44924072012736,48,536.0865615931891,57.953091056662444,225.25907761848129,48,505.3947895944274,50.778983184406655,124.99393311606994,24,175.30129813656686,9.137431264704745,300.45530760405745
Qv0jhW3sqicqQvd7LfReAsI7nD73,625.4237948708094,85.1983382443766,296.09334394477065,48,421.6620888218521,44.14357100012802,272.4532582252505,48,395.2287383218827,28.958933681335168,128.01822073808628,24,230.1950565489267,56.23940456304143,168.07512320668437
ORvIk1xRWIQmKuLVe6GXNouvAXx2,685.5578252588987,114.68693527466186,511.43088550072696,47,383.02220130542827,71.5798534784003,578.398927158885,48,385.25593092996917,81.64944325453283,185.93527469940597,24,300.3018943289295,33.03749202012904,325.495610801321
80UJMJbCOMgs6YVpsMgXfYTzw6o2,773.6069799064908,124.37897628255666,259.67432681266195,48,512.2524173727694,77.78481440274018,221.85463736621102,48,412.23015621972087,43.87425890488519,105.73699870237691,24,361.3768236867699,80.50471737767148,153.93732811028502
rUuJv5gl7dWVo7UPQWMx4bohxhK2,1917.3024503931863,510.69177377747553,49.999869260147435,41,838.4258818309352,110.42290869884894,766.0916451897403,38,705.5723489541575,139.1032978463883,292.35254302936676,20,1211.7301014390287,371.58847593108726,-242.35267376921934
xyAILKfYP2M8GqAai11x6NT7IcP2,1430.2712395761653,423.05777500782966,109.87219210079748,48,595.0697585560778,115.09945783049484,388.0305370517239,48,469.9607490307472,53.01847292685606,135.1957045850061,24,960.3104905454181,370.0393020809736,-25.32351248420862
pcbRW89vVJcviD87V3uxyG4I9st2,577.4906003843998,71.41232133989365,321.65061190069247,48,438.82904502590577,34.77420514516691,272.50175082597104,48,394.34617880630555,52.73775116004664,120.19163388258572,24,183.1444215780943,18.67457017984701,201.45897801810673
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,1320.4797787159857,245.20451325444824,264.1746049794678,48,1127.694325103459,444.42292336912755,122.12614314352344,48,580.3299051948388,51.08538747353055,263.8750805215891,24,740.1498735211469,194.1191257809177,0.29952445787870374
yatBVTBMCSMp0wJluOCLzTFKMyP2,1301.0682435155907,193.27456572422983,443.22680070690217,42,806.2582753035601,237.61132202554853,461.45675961688664,42,420.5084697873006,5.0,389.0829324758545,20,880.5597737282901,188.27456572422983,54.14386823104769
u64Uf920g5VD9Byq26LT2rs5o4t1,710.2562011331873,117.44327495046142,225.47590885897472,48,394.79899533503635,56.32513150847736,314.26823739451555,48,303.0850971792471,17.04933671407914,132.60941336999852,24,407.17110395394025,100.39393823638227,92.8664954889762
nT1qJOiMyDdJ9ui4el195A8Hsgs1,1389.1088894406412,310.46088376194695,129.36338071315586,48,809.991059792664,207.18126337667994,322.89078520023145,48,509.44181917898635,136.03383846097356,123.3490241906284,24,879.6670702616548,174.4270453009734,6.014356522527464
cUugYJoOmOSFc0Mh5JD0ZXJrYN52,560.0657420462363,123.33407092844966,338.26445648982997,48,418.94037506994215,50.087099179834375,317.27773063776687,48,375.5356045566102,28.760763663131442,131.3569912038266,24,184.5301374896261,94.57330726531822,206.90746528600337
ric6cNjG25XmZJCiKZDOxzeezao1,1079.1894853478293,306.27568585815794,139.82109164098603,48,495.09795863238105,83.45892521870381,415.73225872988866,48,397.5349616023643,123.51468355900926,142.70131208410425,24,681.654523745465,182.76100229914869,-2.880220443118219
2h5FgHUEvBS1twD5DqbTIRrMm1f2,925.2717806489588,240.12624170672643,157.4690541605735,47,380.3621771772733,5.0,476.1522918429531,48,234.83891825165273,5.0,288.32184208843086,24,690.432862397306,235.12624170672643,-130.85278792785735
lpzDdvuMkKWkPxu6xeclmdctEp42,873.1340829446566,199.6532375087702,399.88317195878193,48,492.98617327387973,82.75605747775649,426.1633501797493,48,381.5431318790594,5.0,427.9623310005833,24,491.5909510655972,194.6532375087702,-28.079159041801347
iv9ew8Ci8lOzvXFiJw1acJfuRAl2,727.5392721596779,154.57661692293647,474.98063672752403,46,520.8690120161206,124.78323337261963,664.49997702487,48,358.9203124499298,5.0,529.1681724394313,23,368.61895970974814,149.57661692293647,-54.18753571190723
A9AEg0g6c2P1Bk72HLmnK3oWJ9B2,892.3054261584188,166.6221763986485,198.43504304232,48,451.7438236261453,23.65549667289351,343.508649632122,48,327.1597371612535,28.12246724468227,179.66199763537188,24,565.1456889971653,138.49970915396622,18.773045406948114
7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,800.8360692559914,133.48787974963687,409.1133189048146,48,420.36450778912393,58.80206904998553,425.1328203999533,48,427.5144004653956,105.82645077051745,51.82058658965723,24,373.3216687905958,27.66142897911942,357.29273231515737
Qg9GDwQ9hBNkDLt50CNLd4NqRlX2,1819.440367042352,452.3692869706288,131.0474997998994,47,1215.5394366468686,221.17988337064835,298.37139274591533,48,804.4220405722276,5.0,505.5597535253323,22,1015.0183264701243,447.3692869706288,-374.5122537254329
LliUMEIsrCVZ88YFQfevan2Og4z1,562.6537005476704,94.76370135099701,325.0911282693572,48,367.7991717211409,63.98471157292085,350.5208267247062,48,382.58284875333663,130.51944335563758,154.59236622775663,24,180.07085179433375,-35.75574200464057,170.4987620416006
EUhcW9kURScie1DwGPHqmNqotJB2,898.461661729051,137.6766924011488,459.635392359957,47,464.8525408173722,172.7738112639566,502.5051783555687,47,456.9197173029927,166.41629952858014,122.5068243978215,22,441.5419444260583,-28.739607127431327,337.1285679621355
aj2Ivskb3BgyvBNTLIKlSZG0Sq22,728.5306384269132,86.8780106681656,566.6807673198875,48,544.8996919093923,99.10152602509469,443.71379297470696,48,536.3126919635661,5.0,182.35306454898793,24,192.21794646334718,81.8780106681656,384.3277027708996
iZScIvzhvAdvlsBXU5D8IHwvG6Q2,965.846307198591,285.49479340833494,219.95825867483376,48,579.8690954703396,90.9213686953833,355.4296513763874,48,472.65423171202673,5.0,394.8664933785838,24,493.1920754865643,280.49479340833494,-174.90823470375005
wdppvL4tIkVlGjou6aYzzjlaZXB2,603.1761721388443,85.23964138998025,351.9621565552795,46,419.3436319052565,25.005370397858268,373.0850128426351,48,363.89339477197746,5.0,215.01259411714747,24,239.28277736686687,80.23964138998025,136.949562438132
jpklrtZKDdb3UbsoQ7Ho5KuR5yb2,804.3587353918458,125.77752815435055,432.57261379758376,48,484.3560703902972,50.95631581687528,469.9182937346351,48,470.7820055649343,72.98599619184517,164.54732740077847,24,333.5767298269115,52.791531962505374,268.0252863968053
K26uNuY0VNPjJNF26wEx3bFg0kr2,745.9126561782241,227.17918348152213,329.873826926825,46,448.42420049710233,75.13692899967512,450.64598084052915,48,430.4998440766222,41.10468125733583,132.79707752252284,24,315.4128121016019,186.0745022241863,197.07674940430218
pFlYc8DBmSXkvMIRgXFxvo3JB6j1,1075.4914416378083,194.33710522090004,642.7772112052379,39,899.3727566377283,153.88773292711033,570.1778757620074,43,719.1678546578141,127.91017364070862,237.78764427712676,24,356.32358697999416,66.42693158019142,404.9895669281111
DPvStUYSmohmXwFwaKRqHv89R3k1,936.8123611122094,191.0788533618693,320.22439794677564,48,459.918181705603,5.0,483.906014413869,48,378.0254734108645,81.75717382585677,150.65554658804606,24,558.7868877013449,109.32167953601254,169.56885135872957
K7ykiXe6CqQUKpEzs2nYrMTVuDA2,894.8729531064274,169.79014582930674,191.8408222422404,48,674.6739245609066,217.36589856260292,107.47228093856499,48,369.1834607753407,48.80071120239569,144.77847033351247,24,525.6894923310867,120.98943462691105,47.06235190872792
62fAfeQc27bZelkPX7G54T3gvci2,1195.824790448602,158.4290588270679,319.156609811622,48,930.2799425815906,153.61268263567774,317.8064173936978,48,702.4229096673811,178.16663112807652,107.03636568516123,24,493.40188078122094,-19.737572301008612,212.12024412646076
q0Atnpm0jZS5swcVmq0EMalQUKw1,707.4068592419163,5.0,344.67250743852287,48,478.94226640262247,88.59511231792501,245.15998765741318,48,336.1412947687129,5.0,118.85862537613144,24,371.2655644732034,0.0,225.81388206239143
kR2rCtaPyPaj7YMizKUDn5xL2qx1,956.6357856408295,182.57915974392353,429.2660761494108,47,469.4540898002053,48.55676512193435,465.93590348694613,48,302.42514169337505,5.0,334.230292932418,24,654.2106439474544,177.57915974392353,95.0357832169928
dnkEqKuvjoQzAQm5yXlrAOp9ZlD3,1096.2218114908244,283.36479304695655,406.0311327306626,48,587.2559640053795,176.46197959649254,390.9496989236155,48,373.75805146068024,41.06489040403914,336.46335288580445,24,722.4637600301442,242.2999026429174,69.56777984485814
mwsliuPsLFhRFjtjQwYkqcCRDvi2,811.077247508859,216.5055303566153,335.7633972831812,48,470.8055316744183,108.18760635968744,478.9697316602389,48,271.40688092402667,5.0,309.2515126799589,24,539.6703665848324,211.5055303566153,26.511884603222256
iKVZi0Oo96UrMBhPQMHWFcf55uA3,1086.29348210617,298.9987898437449,370.52425558675264,48,463.1763536350574,55.36390255022282,672.2558207030586,48,553.0841554852551,256.4868188401057,219.45667899128253,24,533.2093266209148,42.51197100363919,151.06757659547011
