participant_id,pes_after_t1_error,pes_after_t2_error,n_trials
06qcrpGKL6Vc3LVplFQC90VAcRm1,,31.263559331201918,120
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,,386.52263157900654,120
0d841i8KPjdjwCYfDuUUXj0SEjH2,475.136494014455,376.6575437763281,120
0oa5NYVnIBS9NmrmRAZrahXDctP2,716.973728822702,177.36785713982374,120
146QT9LupyU2BAiTsB3PMIpVXM22,1369.5198275888788,747.6925595271002,119
1Vb7DcXYw9R86bw5qj9eBk9fPqA2,825.1296610056849,327.4335087739586,120
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,,,120
1tT7dcLvf0bMGBdBWWYd8YkdJwr1,,,116
23AEyocWhqY955WHbxhHRSgQ1ms2,-148.89482445504348,-143.63934426248738,116
2h5FgHUEvBS1twD5DqbTIRrMm1f2,,452.8515942115715,119
2zDXvJKvjeejeOSNbtDbtSI5cdz1,,429.13644067767905,120
3WijiOiVCoMbn80F05SPYsxl0TC2,,-268.5093220108646,120
3xCaqfcHxRQxuOlEzXz3PNcHODH2,,,119
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,503.4264957266382,156.25714285714332,120
5OOi73igsahMZ5IVKQwwyhnj4Cn2,,,120
5rXSa3anB5ejmFrnwUsTB82byup1,,-278.68717948690005,119
5zxa5CMLGQSSonWOXqXf0QNS3PH3,152.25028734371585,-353.62627125493555,120
62fAfeQc27bZelkPX7G54T3gvci2,,343.2254237286286,120
6ABZuv4jbjgE0B8TeyUk6nwVb122,-147.61495716958984,,120
6WFCyGwk71XLPBmbe4Vav3eotVm1,,319.88282596443014,120
7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,-184.7644065901385,682.3564102293079,120
80UJMJbCOMgs6YVpsMgXfYTzw6o2,,187.78894736776942,120
87w5Le0CgZhSfYAaOH3Xd2fc98l1,,124.89957264920645,120
8bwaafIhKVMNBoHaXFcY8HirS9u2,,342.76837608855,120
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,,,120
8mscvscxtXf7EbbLqCyy4a4pl2q2,,218.38321428873724,118
9Xz1RIwnPXgyRqmucudW9VeuDnq1,418.73245614040707,529.7672413793064,119
9l7DjYLs0XdgwykPZR5E01KTZfu2,347.8013761573975,169.51620796587122,116
A9AEg0g6c2P1Bk72HLmnK3oWJ9B2,,-133.93936775539112,120
ASGvwW80q7VY7xFaLGZhVuErUQu2,230.8748147469978,252.8793937683106,114
AUKCfn4HzgVB7m6LNnh2gQb7G5s2,256.1932200011563,987.3341877419725,120
AsXBOflrszVNKoFqbN61bMJqS0k2,272.8940678016613,,120
AyAnuCaltBbpEYbudoyNzTvXlcC2,337.88181817518694,-245.9493333132068,84
BbwUTWswjtPWhb5DvLAmh9Hdpyl2,53.039601769993624,174.03616822434515,118
BcCTlXWx6ARh4rBtkdWRgZH3C7H2,607.895299285905,254.16440682289942,120
CDEoAyvS8feXLKMKsaZah9agEhF3,342.69999999990205,,120
CGyTPhevTbSvVnZ8qSP0NtWuhgw1,,,120
CUNlBEszJVRGK1jWlTaOaCqpDg53,337.0509523815076,820.5601851844092,110
Cbkx2NHyF3NrebzXGqNgSfiWent1,,,120
Co587hoelyeANqFX7AYvuVQW0lZ2,365.6559322011673,505.63220339962993,120
CtJe4bZZnYUBNrcPk00d3YQFSGp2,,59.96978260870287,120
DAKDKPH698P12JfTbbjemLI6PIH2,,,120
DPvStUYSmohmXwFwaKRqHv89R3k1,145.33760682538025,471.33826085095825,120
DaRehVxIOhXtEtUExdgvUl0mKcx2,-250.79121210629296,210.29464286778648,114
Df83JuPuJkXqTGbENhM2gw5SJM43,16.065853658509923,627.5410256409891,43
DzB19GqCB7fyrlEPexogWkjFzEx2,,692.9086307947125,116
EEodWwGh0wWq5f8JmzfKvq0lyeu1,595.596491228085,294.29629629629096,118
EUhcW9kURScie1DwGPHqmNqotJB2,-397.2078945281212,10.020353974494355,116
EmfmKFDgWJdW47a6CNTNjnbYaPh2,73.91140347510054,594.799999934846,118
EoToosG69XMp4LTYdB6sB9WTrv22,,,120
Fz7EUjZCLuUBxLDUVtN6djaBTy42,78.58717946415288,,120
G1Ff3XYUZMRsPafyEQ80ussnVlf1,-420.7855931934664,137.55482862820134,120
GDZGRW51kbWtAdUIHCtEd8sAtqY2,299.9017857036421,73.54658125914057,120
GE4hogtdLdTFbNasENgtm6SO3hC3,-278.519491532344,985.3311965772484,120
GEwkBw3YHaNp3TCh9YS9PKVfavz1,,-121.43135593402178,120
HSggdq91WiQp16bOj7V3dABkcgk2,,,120
HbydnnT1hUP3WagAy2TJAc6GqVs2,,,120
HyQM2xKwwuVfqidmRYF6TiRk90C2,173.62627118068235,,120
IaTJhUGICmO9xcL3605RW8QHneN2,94.42471265732922,244.03891303668854,120
JntnHLHjYhc0xJJQALM3h9R5Ozv1,,-370.7734513314424,118
Jp6aXC9KLjcFZBaQdZl4i9dUscl1,154.69051724466783,-171.84396551395287,119
K26uNuY0VNPjJNF26wEx3bFg0kr2,92.82654867246663,94.36571428569152,118
K7ykiXe6CqQUKpEzs2nYrMTVuDA2,,22.02586206896956,120
LSLmd8jENtONZFVkIpRDX665Bu73,127.54299065693522,1007.339380539624,116
Lhv9P8ZrkDSIB7BGwooAqfu8SGF3,120.35299147270689,,120
LliUMEIsrCVZ88YFQfevan2Og4z1,,113.30727272721765,120
M4Km1Q2P2oPliChDQkwl6k20FUI3,,401.09396583458476,118
MMSYeiMQi3gMr4PrXQcpXzFiegj2,328.4591305597969,61.80752215237749,118
O61Eik2zvrSQLMNpFbTNEgjWwMr2,8.600713557435483,205.28790218860104,119
OExlWyngGfPrScDYjaRcv5PIAet1,738.981896510412,873.1898550797199,119
ORuVuFPU5idz3fMoXTGsbwToW2j2,268.3210869270822,,120
ORvIk1xRWIQmKuLVe6GXNouvAXx2,-102.61044246897234,145.1054054151939,119
P9bS6GGJcIXivbMWo4ibJ5jgUPG2,-552.0028846063292,-487.4693635430151,113
PLreonkqaMeFc0UqxKUelH44UQu1,192.82526315910786,149.50574712579453,120
PkpTH7pWpEOG9A86xSloOSozwTk2,983.3282050047164,179.76521739614168,119
QG6VXg7od2fHJ1SF9ZzYBqUa1FY2,-272.91978260758935,-179.02542372717187,120
QbOEVCaZLUMOgltUdXm58oZOALv2,-38.87222224779623,122.46016950223407,120
Qg9GDwQ9hBNkDLt50CNLd4NqRlX2,419.05988202474805,1076.6704348812932,117
QreA2rLiUhV3YHeMfuHMPdGbpJ53,207.63154755177948,169.82200773741147,119
Qv0jhW3sqicqQvd7LfReAsI7nD73,,103.03220337477785,120
Rc706mP0TSeIoIpMYH1SpRXjOxA2,411.79760882543474,-463.1110167745817,120
Rmd4rr2vGjOoLvdfYd4EdYyxK3m1,,,120
Ru3Qf6pXZua1DfNkQdhbor6iJ403,,-278.1576271186025,120
SOhR7IO689NQCPQu56SjATO8FR92,-309.77027027029544,200.36339285708686,115
SPCT9D90pRa1ihXS5jEw6vCmquI3,518.1821739125511,53.64696429579385,118
SdDjNMBD2ZMTEwUphkohi2cZwUx1,-39.68936743133372,384.45598367544346,120
SpSfX0ZcfcPLdlOENlfdfvEPwru2,-119.50737463126745,254.23043478260968,120
ToTCRJ4EX9OL6UlJqmDkaEbggWF2,43.07507244797739,1757.3393162458372,119
Ub7nV8F55kPruh35ZpUcKoBUyn63,,407.50898551483056,119
UbwuSMtBsHdW3Ji41opk3GInMqi2,931.4230769221138,-285.2756410256569,120
VwTymW8T68MfpnJvZ2X97ILqDWS2,-33.90087715471009,-33.34587155104782,116
WKzqsLX1lNVSdbGgYTTVGtFwsrF3,676.850574712641,,120
WbOfW9KmUkPQK8o5hlHJnJFdpp92,-29.770689657150683,242.45263158079035,119
WcTsIpSoEhYeIBSNjAbbdaNSBya2,98.35245613649226,-233.29173912840042,120
WeHQDy9BWldTlaQDVVlsJNCqwxA2,62.1666666666672,14.676086956552354,120
Wfo71fsX1VVfPZnzhT7HEYBTwnq1,,,120
WnC6Uscb5VMIr43GASKiUCO3AYH2,899.858547025384,,120
WqoZv41KTtTCuPKBPyClregrKAi1,-138.91136363636565,238.7593307592931,119
XehZHBpwr5MYzUXkj0FAYCsFG922,306.5991304359359,608.3577586188273,118
YEU5ox3jteVINfdSTg5ymqYcS9o2,-128.6893678069457,-167.32393159061417,120
Yco8O7tmHlbsUBfKW2ywcZByGO32,-284.5152542250137,304.89540230114585,120
Z3GikGkUkjMOa6UK1xdIDvuGRHp2,-78.74521732433982,372.4238505514189,120
aM2995jJmJWvr6cneaGH58HauIg2,508.50508475859283,623.7145299274697,120
afdTz6deeYWf1qKNdUpKAYKN3hz1,13.160619472529788,591.2717391271954,120
aj2Ivskb3BgyvBNTLIKlSZG0Sq22,,355.08578947050523,120
azdL1gX79EVd9iepyCAVQrqIaQF3,-214.52372881346696,301.54700854705436,120
bXpFswkI7TfIfL6G4FqWrbaxTGx2,77.04434523812893,258.80416312661316,119
