model_type,parameter,beta_ucla,se_ucla,p_ucla,r_squared,n
basic,alpha,-0.02958762778803252,0.03979898010933902,0.4572233334590998,0.035653544741135135,171
basic,alpha_interaction,0.08538505655446277,0.05762280780245802,0.13839545932420466,0.035653544741135135,171
basic,beta,-0.15467378808010857,0.15139860957096055,0.30695471913130756,0.0371919246336585,171
basic,beta_interaction,0.17543881567414435,0.15783165819346093,0.26632885703543174,0.0371919246336585,171
asymmetric,alpha_pos,-0.023571896163251446,0.05177662959423913,0.6489212579666696,0.04856356733895528,171
asymmetric,alpha_pos_interaction,0.16760427123127225,0.07030093976512408,0.017121081153090495,0.04856356733895528,171
asymmetric,alpha_neg,0.004344877540789951,0.05563854284251271,0.937755550606913,0.0215723081527327,171
asymmetric,alpha_neg_interaction,0.0014403231671143574,0.07269589024296687,0.984192552974801,0.0215723081527327,171
asymmetric,alpha_asymmetry,-0.02791677370404142,0.07303110058049554,0.7022694839886024,0.04764097735149486,171
asymmetric,alpha_asymmetry_interaction,0.16616394806415788,0.09813637554060645,0.09041849623863618,0.04764097735149486,171
asymmetric,beta,-0.13187241767613153,0.2910261765128812,0.6504558112837473,0.03468347067127431,171
asymmetric,beta_interaction,0.08046052564677113,0.4467588070695602,0.857075355047401,0.03468347067127431,171
