split,discovery_beta,discovery_p,discovery_sig,validation_beta,validation_p,validation_sig,both_sig,beta_consistent
0,0.25211337675715584,0.033168124747419606,Yes,0.10730342060046583,0.493862309383589,No,False,True
1,0.1312604949324099,0.22653015389593423,No,0.15301906695173212,0.3255747518972554,No,False,True
2,0.08175405845489248,0.6300733655327926,No,0.23103010750624658,0.0172436656877509,Yes,False,True
3,0.118247756160965,0.4128465991452738,No,0.3526360599855173,0.01628710594385631,Yes,False,True
4,0.2923756962271872,0.06680807526105922,No,0.13656552251493653,0.24087142813728982,No,False,True
5,-0.014463887226758334,0.9315347085042193,No,0.23933442662017823,0.06137982815737787,No,False,False
6,0.26581118132709325,0.04297270699989339,Yes,0.09619884562717393,0.49211648549986686,No,False,True
7,0.1564234936630874,0.38908121339074087,No,0.15294050703870332,0.12068325318834836,No,False,True
8,0.13472719994731508,0.3379236611759444,No,0.26632359384349424,0.08781386133838712,No,False,True
9,0.20530317681940902,0.13068840164274526,No,0.18240358734862933,0.2090420090091204,No,False,True
10,0.32866894126408974,0.07622674840424289,No,0.18081962292842743,0.16501367152472646,No,False,True
11,0.18961767736490454,0.20583798385640922,No,0.10907896927307201,0.4194591343524321,No,False,True
12,0.10470951593717556,0.40850247119223315,No,0.30534275516184123,0.04626375527925232,Yes,False,True
13,0.2230732269074969,0.0538464064519126,No,0.20865443788431276,0.21799506563020704,No,False,True
14,0.18662877317175114,0.21391208800761582,No,0.1644538816483455,0.23671872056092416,No,False,True
15,0.24518114557799314,0.07628392658655535,No,0.1547050762020592,0.22323318073865717,No,False,True
16,0.32252639799075966,0.028546583225491452,Yes,0.07637579327689709,0.5393316880658607,No,False,True
17,0.22596001812717587,0.08211243616990002,No,0.20166050823172543,0.24967401816580123,No,False,True
18,0.1296430677227033,0.22036916659459865,No,0.26854107785725406,0.10184148070364901,No,False,True
19,0.15863632909121508,0.3524926618941344,No,0.17604361054352713,0.16465102781940666,No,False,True
20,0.23023047437385866,0.11557068502377556,No,0.16481933948822303,0.2639557261736944,No,False,True
21,0.19059215969895213,0.163684732424071,No,0.1438433851808824,0.28345928600605075,No,False,True
22,0.1959907948964726,0.16261267837006851,No,0.17512815070337617,0.21308030530362254,No,False,True
23,0.1499142758339317,0.2561872664368726,No,0.2666496219516301,0.13002659017507787,No,False,True
24,0.13353648222330874,0.2641721466024266,No,0.20418792832707747,0.20197739990353214,No,False,True
25,0.15299598132924563,0.2400204761602889,No,0.2050960819837271,0.16248145088175447,No,False,True
26,0.21034284151668894,0.06069704975842293,No,0.18932269352216824,0.20545116240304775,No,False,True
27,0.16647978034206723,0.25349952483804133,No,0.17307476237965502,0.16807267730532763,No,False,True
28,0.25685954643942005,0.07257489355746402,No,0.12096081710284415,0.3902038428449761,No,False,True
29,0.2640118770140598,0.10419060541691451,No,0.1295552116293677,0.27629360187145807,No,False,True
30,0.20298210364042107,0.11671210386525575,No,0.15908647012204416,0.25028427576898127,No,False,True
31,0.2219902506680636,0.1068819232925477,No,0.22012887881313553,0.1646078240122175,No,False,True
32,0.11844027209819784,0.29315775781366527,No,0.23998670568952524,0.12123169817258707,No,False,True
33,0.07681198818161897,0.5477297124455744,No,0.26367144755521815,0.0739811848221657,No,False,True
34,-0.04603708905973773,0.6598448017313627,No,0.2838206037526505,0.058507904627595926,No,False,False
35,0.1281276591843926,0.4306117562321079,No,0.2503758247047653,0.04877884145463772,Yes,False,True
36,0.18258342548864198,0.15393360614361512,No,0.15785435140876272,0.37129515343389274,No,False,True
37,0.3161003092877616,0.06374508966596583,No,0.061392639805864416,0.48988891864518447,No,False,True
38,0.2513268482417642,0.08003802212208404,No,0.07752047548486575,0.5642373891730866,No,False,True
39,0.1104497817655988,0.474394612317674,No,0.2023869554143524,0.10336416960994349,No,False,True
40,0.27974789938674177,0.046401109218403666,Yes,0.13795065132251577,0.49093751628325977,No,False,True
41,0.19931038647385987,0.16592821741589747,No,0.17042693867559613,0.17342542933455102,No,False,True
42,0.17591119896274957,0.19124053736153054,No,0.15382136786255257,0.2525448769137794,No,False,True
43,0.31439192785196923,0.12530849717136325,No,0.11062058930508882,0.2695520258145154,No,False,True
44,0.15248046377058014,0.0624913484296462,No,0.15156656037037317,0.4306681324524174,No,False,True
45,0.25374363836145375,0.20864359873139965,No,0.18049408963689634,0.06825374228679493,No,False,True
46,0.23822421386034115,0.05263383490018399,No,0.12446055591612873,0.41095409795646154,No,False,True
47,0.20339479440806746,0.1342705284634127,No,0.09194614669317946,0.5904421042344318,No,False,True
48,0.24983952190488007,0.03851686363217164,Yes,0.147734085355416,0.3960449279958508,No,False,True
49,0.06290414466173744,0.5953080714242307,No,0.24497550419279482,0.11717902576631196,No,False,True
50,-0.0099753518453077,0.9425706729916021,No,0.3450121707310153,0.008494306866182367,Yes,False,False
51,0.16267072975919947,0.19200173095549924,No,0.1535766000761043,0.3107699692560662,No,False,True
52,-0.05643853537431942,0.728114757386365,No,0.20626411451241225,0.07037257536651009,No,False,False
53,0.16173767270887315,0.1513449864019367,No,0.1697544347075367,0.334715095499173,No,False,True
54,0.25529289176451864,0.07823281202023231,No,0.12223130250509613,0.3453909264630073,No,False,True
55,0.19172176178737882,0.13296035971654643,No,0.059556512703821105,0.6785110806987938,No,False,True
56,0.18267065190132017,0.25608088685084485,No,0.14227548858303612,0.17260607997024482,No,False,True
57,0.1926772932183642,0.02663669196711439,Yes,0.16467523276838958,0.3953654073973999,No,False,True
58,0.15403715245839472,0.350686827100234,No,0.2657049087512184,0.027573285198788235,Yes,False,True
59,0.12587750967257216,0.44472484798719725,No,0.21602437872566024,0.05600422353161086,No,False,True
60,0.21418473294167423,0.15328618359074753,No,0.1423537336256191,0.2832287446050018,No,False,True
61,0.1638434658385881,0.20850095173605443,No,0.19378702839475664,0.17102715420763093,No,False,True
62,0.1697997219790554,0.07244863676359935,No,0.2758373457985317,0.09702477361740239,No,False,True
63,0.18690234046706006,0.0736306594934592,No,0.1826503187101708,0.2795100779439119,No,False,True
64,0.23738380033934148,0.1197017987841896,No,0.24025071280904553,0.13583007706701547,No,False,True
65,0.13022107431626337,0.4552492151910039,No,0.1769043628028079,0.06463591727683435,No,False,True
