task,condition,quantile,n,beta_ucla,p_ucla,beta_gender,p_gender,beta_interaction,p_interaction,adj_r2
PRP,short,0.1,162,-0.019293498361414495,0.8708154152835896,-0.5742913332092907,0.0004958384466727773,0.0670721039288233,0.6692966377327407,0.07829272257958153
PRP,short,0.25,162,-0.01930520231215872,0.8702215968420541,-0.5810897639057349,0.00040585909247172164,0.15172734517396771,0.33259779071296114,0.08567522875991607
PRP,short,0.5,162,0.05051876045080506,0.6678184145352812,-0.6302553167889682,0.00012463997250910364,0.11631848993375303,0.45552431908174007,0.09299379101648886
PRP,short,0.75,162,0.03814132392640858,0.748722455302498,-0.5625717543317054,0.0006663472015070592,0.11750427013853625,0.4561549393302967,0.07180774525634837
PRP,short,0.9,162,0.03204941662129293,0.7888469164254523,-0.5875877965942482,0.00041375095872748434,0.08578674963567416,0.5881543022738236,0.06230333585458925
PRP,long,0.1,162,-0.06260366590259367,0.6047562664419333,-0.2706181451194012,0.10191495617012922,0.006728327028032747,0.9664555813626268,0.04269782905230757
PRP,long,0.25,162,0.03680471842128209,0.7615238180875192,-0.29363225818420147,0.07701790974467672,-0.012595596760370106,0.9374334798152382,0.037086989859440034
PRP,long,0.5,162,0.0437111170124564,0.7178248053190639,-0.30025042981507477,0.06991399108006785,-0.0173741300845764,0.9135484210958456,0.04220485217426795
PRP,long,0.75,162,0.04602818234381785,0.7025358491672757,-0.41721209976564605,0.01189860812534593,-0.0831848628996251,0.6020457920628209,0.04914455956980912
PRP,long,0.9,162,0.027632954081887474,0.8208941182786903,-0.4045434477442533,0.015959928487372214,-0.0026186158115608527,0.9870637085917202,0.024517561541546273
WCST,overall,0.1,161,0.006645695908619488,0.9552408318001747,-0.5932143935309783,0.0003693535692642461,0.058266813446808646,0.7138448225427056,0.05553793011725783
WCST,overall,0.25,161,0.018549791277710274,0.8744800325582902,-0.6017951949675319,0.00027324683042779477,0.09058512840970791,0.565506859840397,0.0711654071063752
WCST,overall,0.5,161,0.0448655746305908,0.7038210083039879,-0.568754442197369,0.0006003320842073472,0.11972885769579983,0.4498727453244864,0.06218218494446481
WCST,overall,0.75,161,0.12204220298513667,0.30651268527105174,-0.45449303441872907,0.006241050125467382,0.16624060396356394,0.2992154888793992,0.043696766207906745
WCST,overall,0.9,161,0.07918422857981833,0.5133597153320097,-0.36554105011043775,0.02966265134919895,0.12252462783411099,0.4510725336169388,0.012646176050525981
Stroop,incongruent,0.1,168,-0.0005488031330108667,0.9963464798042203,-0.37374960068694607,0.02323300060628068,0.15843282054378482,0.32253389726181014,0.02002588952892237
Stroop,incongruent,0.25,168,0.00030460348214496856,0.9979564512817811,-0.4558769881005791,0.00546138434656726,0.12159616173786128,0.4439075536010889,0.035046680515090634
Stroop,incongruent,0.5,168,0.02846781279650363,0.813120991479706,-0.36128315838154546,0.028889927277639373,0.12715499562710908,0.42911104627260677,0.01085846796449963
Stroop,incongruent,0.75,168,0.042349732375777834,0.7261334083996047,-0.2918859009101779,0.07789683069086276,0.13154149293839595,0.41521149198192464,0.0031103619667193216
Stroop,incongruent,0.9,168,0.04865681303471243,0.6897755537889803,-0.17981374455959936,0.27987849130423403,0.12031117910255867,0.4597231753714287,-0.01322193936355176
