rule,outcome,n,ucla_beta,ucla_se,ucla_p,interaction_beta,interaction_p,r_squared
colour,learning_slope,170,0.0015507679289245087,0.0025792550896547406,0.5476758603013111,-0.0005591639478371682,0.8578869694557812,0.021230862891346014
colour,trials_to_criterion,170,-1.408826253653812,1.7020785859751224,0.4078351580968237,-1.306763427879155,0.36260187218916173,0.04272587158743202
colour,overall_accuracy,170,0.014609127588451495,0.012898572781771119,0.2573756221869363,0.0022758270667650043,0.8813441437686115,0.04425678743136363
colour,pe_rate,170,-0.6555700758218427,0.4805773900436664,0.17252662768742055,0.6518541080019865,0.3798034769409899,0.046124135540206224
shape,learning_slope,169,-0.0016592875745541716,0.0022569841889789927,0.46223043393584673,0.002999001609110805,0.29459122561325757,0.014217970410641878
shape,trials_to_criterion,168,0.28623136064466087,1.3533113794364346,0.8324936707326989,0.15365964316129813,0.8819740088628989,0.0318331503583833
shape,overall_accuracy,169,0.008710838892042123,0.01220012397970014,0.47522969490198463,-0.00901702258733921,0.5317925205427334,0.028471586158746454
shape,pe_rate,169,-0.3261975851320146,0.8579559001670292,0.703794578476985,-0.1264088380151278,0.8877620240605972,0.016834732202642977
number,learning_slope,167,-0.0047157272940014225,0.0024505358926323324,0.05430875678617818,0.001498359446546132,0.6638660909920755,0.05833695505817271
number,trials_to_criterion,164,-0.34428340340476093,0.3676165554398578,0.3490011147926019,0.330804227312374,0.43344896610323336,0.15340779626320866
number,overall_accuracy,167,0.007001499757699904,0.016303792737977846,0.6676030938878001,-0.019628756888589602,0.17451064614935285,0.06160210699885782
number,pe_rate,167,-0.8359977652634978,1.1449109349322555,0.46527659003110766,1.2130747112268467,0.23697185637156826,0.05263967477472442
