participant_id,task,n_trials,n_cascades,cascade_rate,mean_cascade_length,max_cascade_length,total_cascade_trials,cascade_proportion,total_errors,error_rate
06qcrpGKL6Vc3LVplFQC90VAcRm1,stroop,108,0,0.0,0.0,0,0,0.0,1,0.9259259259259258
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,stroop,108,0,0.0,0.0,0,0,0.0,2,1.8518518518518516
0d841i8KPjdjwCYfDuUUXj0SEjH2,stroop,108,0,0.0,0.0,0,0,0.0,3,2.7777777777777777
0oa5NYVnIBS9NmrmRAZrahXDctP2,stroop,108,0,0.0,0.0,0,0,0.0,4,3.7037037037037033
146QT9LupyU2BAiTsB3PMIpVXM22,stroop,108,0,0.0,0.0,0,0,0.0,1,0.9259259259259258
1Vb7DcXYw9R86bw5qj9eBk9fPqA2,stroop,108,0,0.0,0.0,0,0,0.0,1,0.9259259259259258
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,stroop,108,0,0.0,0.0,0,0,0.0,1,0.9259259259259258
1tT7dcLvf0bMGBdBWWYd8YkdJwr1,stroop,108,0,0.0,0.0,0,0,0.0,2,1.8518518518518516
23AEyocWhqY955WHbxhHRSgQ1ms2,stroop,108,0,0.0,0.0,0,0,0.0,1,0.9259259259259258
2h5FgHUEvBS1twD5DqbTIRrMm1f2,stroop,108,0,0.0,0.0,0,0,0.0,1,0.9259259259259258
2zDXvJKvjeejeOSNbtDbtSI5cdz1,stroop,108,0,0.0,0.0,0,0,0.0,0,0.0
3WijiOiVCoMbn80F05SPYsxl0TC2,stroop,108,0,0.0,0.0,0,0,0.0,0,0.0
3xCaqfcHxRQxuOlEzXz3PNcHODH2,stroop,108,0,0.0,0.0,0,0,0.0,3,2.7777777777777777
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,stroop,108,0,0.0,0.0,0,0,0.0,0,0.0
5OOi73igsahMZ5IVKQwwyhnj4Cn2,stroop,108,0,0.0,0.0,0,0,0.0,1,0.9259259259259258
5rXSa3anB5ejmFrnwUsTB82byup1,stroop,108,0,0.0,0.0,0,0,0.0,0,0.0
5zxa5CMLGQSSonWOXqXf0QNS3PH3,stroop,108,0,0.0,0.0,0,0,0.0,1,0.9259259259259258
62fAfeQc27bZelkPX7G54T3gvci2,stroop,107,0,0.0,0.0,0,0,0.0,1,0.9345794392523363
6ABZuv4jbjgE0B8TeyUk6nwVb122,stroop,108,0,0.0,0.0,0,0,0.0,0,0.0
6WFCyGwk71XLPBmbe4Vav3eotVm1,stroop,108,0,0.0,0.0,0,0,0.0,0,0.0
7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,stroop,108,0,0.0,0.0,0,0,0.0,0,0.0
80UJMJbCOMgs6YVpsMgXfYTzw6o2,stroop,108,0,0.0,0.0,0,0,0.0,0,0.0
87w5Le0CgZhSfYAaOH3Xd2fc98l1,stroop,106,0,0.0,0.0,0,0,0.0,0,0.0
8bwaafIhKVMNBoHaXFcY8HirS9u2,stroop,108,0,0.0,0.0,0,0,0.0,2,1.8518518518518516
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,stroop,108,0,0.0,0.0,0,0,0.0,1,0.9259259259259258
8mscvscxtXf7EbbLqCyy4a4pl2q2,stroop,108,0,0.0,0.0,0,0,0.0,0,0.0
9Xz1RIwnPXgyRqmucudW9VeuDnq1,stroop,106,0,0.0,0.0,0,0,0.0,3,2.8301886792452833
9l7DjYLs0XdgwykPZR5E01KTZfu2,stroop,108,0,0.0,0.0,0,0,0.0,3,2.7777777777777777
A9AEg0g6c2P1Bk72HLmnK3oWJ9B2,stroop,108,0,0.0,0.0,0,0,0.0,0,0.0
ASGvwW80q7VY7xFaLGZhVuErUQu2,stroop,108,0,0.0,0.0,0,0,0.0,3,2.7777777777777777
AUKCfn4HzgVB7m6LNnh2gQb7G5s2,stroop,108,0,0.0,0.0,0,0,0.0,1,0.9259259259259258
AsXBOflrszVNKoFqbN61bMJqS0k2,stroop,108,1,0.9259259259259258,2.0,2,2,1.8518518518518516,4,3.7037037037037033
AyAnuCaltBbpEYbudoyNzTvXlcC2,stroop,108,0,0.0,0.0,0,0,0.0,4,3.7037037037037033
BbwUTWswjtPWhb5DvLAmh9Hdpyl2,stroop,108,0,0.0,0.0,0,0,0.0,1,0.9259259259259258
