task,lag,metric,n,beta_ucla,p_ucla,r_squared
wcst,1,RT,166,-10.812191505619644,0.7424757124749355,0.04906719989505459
wcst,2,RT,166,4.157875096128556,0.9017000651218154,0.09876252513525519
wcst,3,RT,166,-6.563982062560618,0.8412893307331197,0.1018845747574334
wcst,4,RT,166,-1.240257236980029,0.9693820734546301,0.10469288855219905
wcst,5,RT,166,-5.733710397570412,0.8549982484004659,0.10540514723062866
stroop,1,RT,33,-42.01272221122246,0.7287471803932163,0.10754539553622477
stroop,2,RT,33,34.256277734306806,0.6419435019019257,0.20908132966393267
stroop,3,RT,33,61.71151069079113,0.43309283227664663,0.19245260827995236
stroop,4,RT,33,37.03723804480216,0.6301031480932531,0.1602838336931819
stroop,5,RT,33,52.915148797755116,0.5536156129631067,0.260176717481698
