participant_id,n_errors,n_trials,mean_rt_lag_1,mean_acc_lag_1,mean_rt_lag_2,mean_acc_lag_2,mean_rt_lag_3,mean_acc_lag_3,mean_rt_lag_4,mean_acc_lag_4,mean_rt_lag_5,mean_acc_lag_5
0d841i8KPjdjwCYfDuUUXj0SEjH2,3,108,949.5333331425985,1.0,1016.266666730245,1.0,913.9333333969116,1.0,1123.3999996185303,1.0,782.2666664123535,1.0
0oa5NYVnIBS9NmrmRAZrahXDctP2,4,108,685.8000000007451,1.0,562.8999999985099,1.0,517.0250000022352,1.0,530.9249999970198,1.0,533.3249999955297,1.0
3xCaqfcHxRQxuOlEzXz3PNcHODH2,3,108,764.433333337307,1.0,672.4333333323399,1.0,850.566666662693,1.0,863.3333333333334,1.0,605.8666666646799,1.0
9Xz1RIwnPXgyRqmucudW9VeuDnq1,3,106,1994.3333333333333,1.0,1920.9999999999807,1.0,1716.6666666666667,1.0,1038.3333333333333,1.0,1209.6666666666667,1.0
9l7DjYLs0XdgwykPZR5E01KTZfu2,3,108,896.733333269755,1.0,675.6666666666666,1.0,622.0,1.0,620.3333333333334,1.0,802.2333333094915,1.0
ASGvwW80q7VY7xFaLGZhVuErUQu2,3,108,1236.5666669209797,1.0,925.5666669209799,1.0,666.8333333333334,1.0,921.9333324432373,1.0,680.4333337148031,0.6666666666666666
AsXBOflrszVNKoFqbN61bMJqS0k2,4,108,1387.625,0.75,823.3249999880791,1.0,671.3000000417233,1.0,833.7749999761581,1.0,696.4250000119209,1.0
AyAnuCaltBbpEYbudoyNzTvXlcC2,4,108,1563.7000000178814,1.0,1126.7249999940395,1.0,923.4999999999999,1.0,980.2249999940395,1.0,1261.7999999970198,1.0
DPvStUYSmohmXwFwaKRqHv89R3k1,3,108,1141.6666666666667,1.0,1059.4666666984558,1.0,1579.699999968211,1.0,1028.2666666905086,1.0,1219.5,1.0
Df83JuPuJkXqTGbENhM2gw5SJM43,4,108,988.4000000000233,1.0,1186.5,1.0,1106.7000000000698,1.0,1426.8249999999532,1.0,1036.3249999999534,1.0
EEodWwGh0wWq5f8JmzfKvq0lyeu1,6,108,961.7999999999971,0.6,853.7500000000036,1.0,892.0000000000073,1.0,898.7500000000036,1.0,689.2500000000073,1.0
G9VruXninjUdE9czK2DambZl5li2,3,108,1093.3333333333333,1.0,679.3333333333334,1.0,713.0,1.0,490.0,1.0,687.3333333332557,0.6666666666666666
GE4hogtdLdTFbNasENgtm6SO3hC3,3,107,1382.3666666746137,1.0,988.9666666686535,1.0,1049.2999999920528,1.0,1343.1333333353202,1.0,1321.433333337307,1.0
ORvIk1xRWIQmKuLVe6GXNouvAXx2,4,108,1665.1750000417233,1.0,888.5499999821186,1.0,1195.949999988079,0.75,1463.074999988079,1.0,1255.2499999701977,1.0
P9bS6GGJcIXivbMWo4ibJ5jgUPG2,4,108,1691.7999999970198,1.0,921.5750000178814,1.0,757.3250000029802,1.0,1037.9249999970198,1.0,961.2499999850988,1.0
PLreonkqaMeFc0UqxKUelH44UQu1,3,108,975.7000000029802,1.0,705.0000000074506,1.0,446.30000000447035,1.0,555.9500000029802,1.0,590.2999999970198,1.0
QreA2rLiUhV3YHeMfuHMPdGbpJ53,3,108,1424.3666667143505,1.0,999.199999888738,0.6666666666666666,1480.7999999523163,1.0,927.8333334128062,1.0,923.2999999523163,1.0
Ru3Qf6pXZua1DfNkQdhbor6iJ403,5,108,1188.1000000000058,0.75,962.5333333333643,1.0,1740.1666666667054,1.0,972.5666666666511,1.0,1031.5666666666511,1.0
SOhR7IO689NQCPQu56SjATO8FR92,6,108,1224.0666666667287,0.8333333333333334,1013.2166666666357,1.0,952.0833333331781,1.0,780.5166666666046,1.0,1075.0500000004347,1.0
SPCT9D90pRa1ihXS5jEw6vCmquI3,3,108,617.8000000019869,1.0,619.5666666726271,1.0,617.3000000019869,1.0,926.1333333353201,1.0,746.3666666646799,1.0
VwTymW8T68MfpnJvZ2X97ILqDWS2,4,108,919.2749999910593,1.0,1055.375,1.0,797.7749999910593,1.0,944.7750000059605,1.0,1024.5750000029802,1.0
XehZHBpwr5MYzUXkj0FAYCsFG922,3,108,790.1666666666666,1.0,615.6333333328366,0.6666666666666666,565.7666666631898,0.6666666666666666,720.6333333353201,1.0,544.8333333358169,0.6666666666666666
YEU5ox3jteVINfdSTg5ymqYcS9o2,3,108,730.2666666507721,1.0,708.633333325386,1.0,672.2999999920527,1.0,731.9666666587194,1.0,648.5333333214124,1.0
