participant_id,task,n_trials,n_bursts,burst_rate,mean_burst_length,resilience_index,max_inter_burst_streak,post_burst_rt_lag1,post_burst_rt_lag2,post_burst_rt_lag3,post_burst_rt_lag4,post_burst_rt_lag5,recovery_slope,baseline_rt,rt_elevation_lag1
06qcrpGKL6Vc3LVplFQC90VAcRm1,wcst,79,5,6.329113924050633,2.0,12.5,21,1177.159999999404,1020.5199999988079,860.4000000029803,995.6399999976159,888.1999999970197,-158.37999999821182,970.2477611926065,206.9122388067974
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,wcst,75,3,4.0,2.0,7.0,13,1418.3333333332557,1066.799999999969,1095.5000000000775,1197.1999999999534,1017.1000000000155,-161.4166666665891,1094.840625000008,323.4927083332477
0d841i8KPjdjwCYfDuUUXj0SEjH2,wcst,61,2,3.278688524590164,2.0,8.0,8,1517.8000001907349,976.6999998092651,1339.1500000953674,944.3499999046327,1109.0999999046326,,1366.2796296896759,151.520370501059
23AEyocWhqY955WHbxhHRSgQ1ms2,wcst,79,4,5.063291139240507,2.5,16.333333333333332,21,1082.2249999977648,1294.4749999996275,1432.375,979.0250000003725,1450.8500000014901,175.0750000011176,1210.4818181816602,-128.25681818389535
2h5FgHUEvBS1twD5DqbTIRrMm1f2,wcst,85,3,3.5294117647058822,2.3333333333333335,18.0,26,1557.4666666785877,1506.5666666428249,1877.8999999960263,974.2333333492279,1051.233333349228,160.2166666587193,1332.2478873251189,225.2187793534688
2zDXvJKvjeejeOSNbtDbtSI5cdz1,wcst,65,2,3.076923076923077,2.0,30.0,30,2105.0499999998137,1298.9500000001863,1319.0499999998137,1107.9000000003725,1360.8499999996275,,1423.2315789474533,681.8184210523605
3WijiOiVCoMbn80F05SPYsxl0TC2,wcst,74,3,4.054054054054054,2.3333333333333335,11.0,12,1391.0999999841054,1248.9666666587195,1167.599999944369,875.5666666825613,1019.4333333174387,-111.75000001986814,1242.4951612930145,148.6048386910909
5rXSa3anB5ejmFrnwUsTB82byup1,wcst,84,2,2.380952380952381,2.0,18.0,18,861.8499999998603,1151.6999999999534,843.0,942.6999999999534,697.4000000001397,,925.1109589041173,-63.260958904256995
5zxa5CMLGQSSonWOXqXf0QNS3PH3,wcst,84,2,2.380952380952381,2.0,10.0,10,1579.399999976158,1270.550000011921,1142.300000011921,1665.699999988079,838.1499999761581,,1141.1684931549307,438.2315068212272
6ABZuv4jbjgE0B8TeyUk6nwVb122,wcst,78,2,2.564102564102564,2.0,7.0,7,1994.2999999523165,2204.149999856949,2095.25,2190.850000143051,1770.5999999046326,,1732.4086956701417,261.8913042821748
