participant_id,congruent_mu,congruent_sigma,congruent_tau,congruent_n,incongruent_mu,incongruent_sigma,incongruent_tau,incongruent_n,mu_interference,sigma_interference,tau_interference
GE4hogtdLdTFbNasENgtm6SO3hC3,885.9455309314164,263.5502538123888,279.1016621214869,71,1261.1217491453244,358.5232849683044,6.46499779994978,33,375.176218213908,94.97303115591558,-272.6366643215371
Qv0jhW3sqicqQvd7LfReAsI7nD73,537.8719472320123,93.18266261589801,81.99618342817952,72,506.1574877073078,37.57440052246627,240.8110590122777,36,-31.714459524704523,-55.60826209343174,158.81487558409816
ORvIk1xRWIQmKuLVe6GXNouvAXx2,587.8502499847365,88.67470788584664,307.66234082991195,71,772.1842284652623,128.64737244679634,343.35296778767673,33,184.33397848052584,39.972664560949696,35.69062695776478
80UJMJbCOMgs6YVpsMgXfYTzw6o2,648.3910844467666,146.21651860484354,85.20247806538387,72,768.4848068517678,151.90645677441083,5.0,36,120.09372240500113,5.689938169567284,-80.20247806538387
rUuJv5gl7dWVo7UPQWMx4bohxhK2,787.8355408853452,149.6305747161108,444.77326335646853,71,968.3289393276897,187.53853181274206,502.17183976880176,34,180.49339844234453,37.907957096631264,57.39857641233323
xyAILKfYP2M8GqAai11x6NT7IcP2,679.8565834020909,97.59947647061571,224.44222029204917,72,789.8885532902954,219.68338966070735,345.481859064807,36,110.03196988820446,122.08391319009164,121.03963877275783
pcbRW89vVJcviD87V3uxyG4I9st2,464.4761937613417,36.9658463271595,159.1032639398448,71,465.932631500663,36.44262876547013,235.06107894086566,36,1.4564377393213022,-0.5232175616893642,75.95781500102086
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,736.7183566547628,188.0234803254207,296.6125718061906,72,798.9564055832815,167.36561944436366,526.5141840253331,35,62.23804892851865,-20.657860881057047,229.90161221914246
yatBVTBMCSMp0wJluOCLzTFKMyP2,759.830389177325,113.01678519909291,181.59990903134144,72,985.2239178199377,204.86033067022,5.0,36,225.39352864261275,91.8435454711271,-176.59990903134144
u64Uf920g5VD9Byq26LT2rs5o4t1,565.2988090457986,65.36313915535526,155.86271923522483,72,536.3071868544301,5.0,246.3017461993719,36,-28.991622191368492,-60.363139155355256,90.43902696414708
nT1qJOiMyDdJ9ui4el195A8Hsgs1,760.3556551323386,122.50185709777581,207.06557139699518,72,1022.1839842639077,225.71298463175307,14.535090010927783,36,261.82832913156915,103.21112753397726,-192.5304813860674
cUugYJoOmOSFc0Mh5JD0ZXJrYN52,417.9833052885102,38.1801157075457,220.24637484079304,71,429.28205967874266,5.0,387.7925837958962,33,11.298754390232432,-33.1801157075457,167.54620895510314
ric6cNjG25XmZJCiKZDOxzeezao1,607.5387833752686,78.75442589726293,115.13901458745161,71,649.8079770181671,74.63411799968718,150.85051358264803,36,42.26919364289847,-4.120307897575756,35.71149899519642
kxerHPSL3bQjD74HhiebYf3blPr1,545.984206658735,68.83351411147605,158.86114871250882,72,664.0462844879584,131.4661258235179,174.54860321359124,35,118.06207782922331,62.63261171204185,15.687454501082414
2h5FgHUEvBS1twD5DqbTIRrMm1f2,472.13705712699965,95.88621228279735,253.68052410693144,72,496.8544268769689,129.87419676074458,367.4369753190401,35,24.717369749969237,33.987984477947236,113.75645121210863
lpzDdvuMkKWkPxu6xeclmdctEp42,672.951446792441,88.38520664083853,130.82855524954297,72,737.0279745101806,202.5754749617454,168.62333811287434,36,64.07652771773962,114.19026832090688,37.79478286333136
iv9ew8Ci8lOzvXFiJw1acJfuRAl2,609.8969864331308,137.75947543140404,295.48068114814515,72,974.4666307038266,427.29886226526753,302.1487085094516,34,364.5696442706958,289.5393868338635,6.668027361306429
A9AEg0g6c2P1Bk72HLmnK3oWJ9B2,574.4209157216211,64.51998275630649,236.8107502594269,72,497.4863927630676,43.957229478664246,463.32439285032956,36,-76.93452295855349,-20.562753277642244,226.51364259090266
7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,900.779863193691,188.3688855660805,214.65771179778525,72,992.4240769777467,145.98214337120157,187.73523338106335,36,91.64421378405575,-42.386742194878934,-26.9224784167219
Qg9GDwQ9hBNkDLt50CNLd4NqRlX2,950.8791699321272,82.98007470318701,201.6300179036317,72,986.9286288395907,67.45720167898688,255.19710699575973,36,36.04945890746353,-15.522873024200138,53.567089092128015
LliUMEIsrCVZ88YFQfevan2Og4z1,389.9436481760153,36.7547173850803,168.56326472910052,71,436.231389991544,5.0,199.79248768397647,35,46.287741815528705,-31.754717385080298,31.22922295487595
EUhcW9kURScie1DwGPHqmNqotJB2,891.9639830411955,170.13003118479642,210.56655207934628,72,945.7044015539218,254.33899884458873,262.8539733067334,35,53.74041851272625,84.20896765979231,52.287421227387114
aj2Ivskb3BgyvBNTLIKlSZG0Sq22,629.5636707086378,129.41330570131237,174.65197008224908,72,592.2658672492406,130.68239177934828,237.48218660066965,36,-37.29780345939719,1.2690860780359117,62.83021651842057
iZScIvzhvAdvlsBXU5D8IHwvG6Q2,1040.7059755096911,311.164585385771,270.8774487750347,72,1476.1939837439559,464.4406391597849,80.71829958714586,34,435.4880082342647,153.27605377401392,-190.15914918788883
wdppvL4tIkVlGjou6aYzzjlaZXB2,492.07085469790286,92.51119634631719,280.70539542496357,70,474.24419930688435,92.64698000938802,392.0167069593612,34,-17.826655391018505,0.1357836630708249,111.31131153439765
jpklrtZKDdb3UbsoQ7Ho5KuR5yb2,854.582054293377,162.95252655301357,230.39458342561497,71,917.5458973141879,118.71001430114676,262.618972539789,35,62.96384302081083,-44.24251225186681,32.224389114174045
K26uNuY0VNPjJNF26wEx3bFg0kr2,560.1069531591121,68.78260924487978,179.70311334778975,71,619.5670424803855,110.49208514415999,173.80880319378429,36,59.46008932127336,41.70947589928021,-5.894310154005467
pFlYc8DBmSXkvMIRgXFxvo3JB6j1,619.2583233228321,110.0056607687312,148.89509271216136,72,782.0712303470036,208.61457426158182,49.98720120389059,36,162.81290702417152,98.60891349285062,-98.90789150827077
DPvStUYSmohmXwFwaKRqHv89R3k1,653.9398010919361,65.01241294335284,273.3661658948827,72,774.7378722778877,112.38432926362995,357.86115587435677,33,120.79807118595158,47.37191632027711,84.49498997947404
K7ykiXe6CqQUKpEzs2nYrMTVuDA2,628.6570936551391,101.18220939192035,82.87063679772835,72,603.2891121805947,95.85989259989053,180.63184692532909,36,-25.367981474544422,-5.322316792029824,97.76121012760073
62fAfeQc27bZelkPX7G54T3gvci2,732.8514028715325,122.1703487915945,223.63117088108487,71,738.1626406954341,182.83855922373556,419.46888328303214,35,5.3112378239015925,60.66821043214105,195.83771240194727
q0Atnpm0jZS5swcVmq0EMalQUKw1,622.4194737234417,104.32540953000216,103.76126875054241,72,671.4416768191119,192.09877158598374,131.16113077651028,35,49.02220309567019,87.77336205598158,27.399862025967863
kR2rCtaPyPaj7YMizKUDn5xL2qx1,586.0077664094321,95.73097043028865,211.6888467577738,72,877.2562751262953,220.8094323714302,177.5609802874617,33,291.2485087168633,125.07846194114155,-34.127866470312114
dnkEqKuvjoQzAQm5yXlrAOp9ZlD3,595.7663137366648,104.74871765455902,175.10697353211256,72,580.9690340216059,137.7628720071524,312.14051849385226,36,-14.797279715058835,33.01415435259338,137.0335449617397
mwsliuPsLFhRFjtjQwYkqcCRDvi2,574.5278314090303,87.97707495082838,153.79821935196458,72,564.9629351879562,77.81633475197448,135.28885893131792,35,-9.56489622107415,-10.160740198853901,-18.509360420646658
iKVZi0Oo96UrMBhPQMHWFcf55uA3,714.418792096335,79.69770210503242,499.7137612297722,70,906.102544958756,158.83138732518972,369.91200827536375,34,191.683752862421,79.1336852201573,-129.80175295440847
Lhv9P8ZrkDSIB7BGwooAqfu8SGF3,576.3422459665345,63.77919153995697,116.01055700895957,72,597.078815653821,77.19129898190909,121.97916826321739,36,20.736569687286533,13.412107441952116,5.968611254257823
ssPK6ISW0HerTGke9hznqJ2LpKu1,611.3668448391327,119.92756543524604,188.61509761984846,72,593.1466414825362,162.8940854684663,311.6751671015027,36,-18.22020335659647,42.96652003322026,123.06006948165427
qsRKc69hK6e8Uu6vr2pBO8NbpMt2,539.4106542103387,78.77150192967572,125.59958195889918,72,531.1977425998107,51.39046166461484,212.8333347199838,32,-8.212911610528067,-27.381040265060882,87.23375276108463
5zxa5CMLGQSSonWOXqXf0QNS3PH3,512.828016023632,66.29957181169478,95.20136482370339,71,429.74557202338013,5.0,275.40004375902134,36,-83.08244400025188,-61.299571811694776,180.19867893531796
h5RYP03wJuVN0xo7qAR8CKFxLaj1,639.2523818718525,110.71281852925001,289.64366609004816,72,939.9335660984403,160.65986604235076,276.72256883929,35,300.6811842265878,49.94704751310074,-12.92109725075818
CGyTPhevTbSvVnZ8qSP0NtWuhgw1,631.341407012693,128.01042290837347,306.56797162620506,72,747.3889756873532,158.71600931871734,553.9259545300869,35,116.04756867466017,30.70558641034387,247.3579829038818
v8nNKiWvPdcjiHXZci39OuFTY6M2,955.0341832583327,214.92830175830645,150.3527932019087,72,1138.4786659706813,195.96232072508323,177.05730152103698,36,183.44448271234853,-18.965981033223215,26.70450831912828
BbwUTWswjtPWhb5DvLAmh9Hdpyl2,568.8633428335748,98.42946987187622,211.42057014280257,71,670.9915931598938,180.39309428108203,253.6389314501187,36,102.12825032631895,81.9636244092058,42.218361307316115
LSLmd8jENtONZFVkIpRDX665Bu73,698.6503581503558,159.81194875676965,211.7879953879968,72,877.9567999964066,201.90713655865704,211.6096704598536,36,179.3064418460508,42.09518780188739,-0.178324928143212
mUZzgdWKnPb2txOkJg9FHgqX5792,815.8641423462635,241.34022005138317,222.2688423360121,72,855.0100505130965,335.64983172330716,343.9881017549397,36,39.14590816683301,94.30961167192399,121.71925941892758
WbOfW9KmUkPQK8o5hlHJnJFdpp92,798.1682339159364,188.10421789556105,405.1924030808116,68,985.987927797392,390.92257613546604,172.82021226954672,36,187.81969388145558,202.818358239905,-232.37219081126486
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,745.67155014789,153.34196900877475,124.40810642841095,72,805.3387536172947,139.79442423018742,287.64203953600907,35,59.66720346940474,-13.547544778587337,163.23393310759812
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,590.3899204370798,113.86623584287973,168.0905764545528,72,736.9995210614229,173.95842852000118,229.11831809388667,36,146.6096006243431,60.092192677121446,61.02774163933387
fEq0OghbLpfD1jigl1Mbz96aMbg2,478.50988824968147,121.72928446309254,155.36115557246535,69,400.0601550487311,141.72668250448345,317.62749389411033,34,-78.44973320095039,19.99739804139091,162.26633832164498
QG6VXg7od2fHJ1SF9ZzYBqUa1FY2,439.4066372392292,69.59876406598201,253.4485121409162,71,576.4219014913673,153.75566078976007,227.70801696485654,36,137.01526425213808,84.15689672377806,-25.740495176059653
cEIs6U87xfbSL5eFTXDK77MmvNf1,610.6773185383016,95.12933618725276,249.82307268508225,72,581.7696816109193,205.56085590127185,342.55918752288864,36,-28.907636927382327,110.43151971401909,92.73611483780638
AsXBOflrszVNKoFqbN61bMJqS0k2,530.6726218030568,82.83820382566002,208.88634006719394,71,610.4878935001279,139.84314383984258,204.19740273281374,33,79.81527169707113,57.004940014182566,-4.688937334380199
Fz7EUjZCLuUBxLDUVtN6djaBTy42,853.8874188442035,150.50587439532663,105.75302480658326,72,831.5871112027831,194.09773170411367,200.01500039558604,36,-22.300307641420318,43.59185730878704,94.26197558900279
DzB19GqCB7fyrlEPexogWkjFzEx2,876.2145233935169,203.0300959808476,321.33700075973445,70,926.1939234900331,106.49380714775481,405.88962570718877,36,49.9794000965162,-96.53628883309278,84.55262494745432
