outcome,effect_type,effect_label,analysis,beta,se,ci_lower,ci_upper,p_value,n,r2
PRP Bottleneck,Female Correlation,PRP Bottleneck: Female r(UCLA),Pearson Correlation (Unadjusted),-0.07854899577924256,,-0.2737063878983996,0.1228204778734776,0.44440751675721557,97,0.006169944737927465
PRP Bottleneck,Female Simple Slope,PRP Bottleneck: Female UCLA Effect,Stratified Regression (DASS-controlled),4.451868688085029,21.586884522800908,-38.42782556307953,47.33156293924959,0.8370717591167196,97,0.04721934055734944
PRP Bottleneck,Interaction,PRP Bottleneck: UCLA × Gender,Hierarchical Regression (DASS-controlled),38.1397423722142,25.550354345204298,-12.356589410978529,88.63607415540693,0.13766606591743158,154,0.10113977460576495
PRP Bottleneck,Male Correlation,PRP Bottleneck: Male r(UCLA),Pearson Correlation (Unadjusted),0.1858150459655879,,-0.07855609135477355,0.4257681207011482,0.16639570341939638,57,0.03452723130719355
PRP Bottleneck,Male Simple Slope,PRP Bottleneck: Male UCLA Effect,Stratified Regression (DASS-controlled),21.391215139939565,24.426857200667293,-27.647746935942603,70.43017721582173,0.38528540586892834,57,0.2764318624757708
Stroop Interference,Female Correlation,Stroop Interference: Female r(UCLA),Pearson Correlation (Unadjusted),-0.02737338290844419,,-0.22259469166176446,0.16995853867018343,0.7868964082863922,100,0.0007493020918523045
Stroop Interference,Female Simple Slope,Stroop Interference: Female UCLA Effect,Stratified Regression (DASS-controlled),2.2746528568008486,14.693458310117848,-26.89955306002779,31.44885877362949,0.8773052469138887,100,0.01592761623421768
Stroop Interference,Interaction,Stroop Interference: UCLA × Gender,Hierarchical Regression (DASS-controlled),9.789906098865844,17.655127588360067,-25.094954620463433,44.67476681819512,0.5800571899152857,158,0.03222225676517143
Stroop Interference,Male Correlation,Stroop Interference: Male r(UCLA),Pearson Correlation (Unadjusted),0.04489412998517695,,-0.21590527470434526,0.2997144271271639,0.7379046015367895,58,0.0020154829071259645
Stroop Interference,Male Simple Slope,Stroop Interference: Male UCLA Effect,Stratified Regression (DASS-controlled),33.129642657728866,19.30263539154394,-5.6039289799834435,71.86321429544117,0.0920545543731677,58,0.1620359688005687
WCST Accuracy,Female Correlation,WCST Accuracy: Female r(UCLA),Pearson Correlation (Unadjusted),0.10650570973156159,,-0.09712206886161424,0.3015752584340421,0.3042923402805054,95,0.011343466205423654
WCST Accuracy,Female Simple Slope,WCST Accuracy: Female UCLA Effect,Stratified Regression (DASS-controlled),1.4011479241429647,1.5172544384858222,-1.6136043268597264,4.415900175145656,0.3582561703547391,95,0.01597151531488905
WCST Accuracy,Interaction,WCST Accuracy: UCLA × Gender,Hierarchical Regression (DASS-controlled),-1.2901625068390503,1.7419901683852943,-4.733747822481211,2.15342280880311,0.460143382716924,150,0.036579891207525805
WCST Accuracy,Male Correlation,WCST Accuracy: Male r(UCLA),Pearson Correlation (Unadjusted),-0.01010267123083727,,-0.2746636928826843,0.2558803198788792,0.9416435145066036,55,0.00010206396599838704
WCST Accuracy,Male Simple Slope,WCST Accuracy: Male UCLA Effect,Stratified Regression (DASS-controlled),-1.47785331042903,1.7069802866294554,-4.908158624707355,1.9524520038492954,0.39083534403246634,55,0.033762728900099015
WCST PE Rate,Female Correlation,WCST PE Rate: Female r(UCLA),Pearson Correlation (Unadjusted),-0.15162188708632285,,-0.3426927745234159,0.051494712041573736,0.14244188995610219,95,0.022989196643617635
WCST PE Rate,Female Simple Slope,WCST PE Rate: Female UCLA Effect,Stratified Regression (DASS-controlled),-0.3088396207874917,0.7817156162982634,-1.8620918994435658,1.2444126578685824,0.6937297015981114,95,0.04879632106367637
WCST PE Rate,Interaction,WCST PE Rate: UCLA × Gender,Hierarchical Regression (DASS-controlled),0.9856481476453355,0.8745073629736586,-0.7430876214827068,2.714383916773378,0.2616055735312996,150,0.04273507859314407
WCST PE Rate,Male Correlation,WCST PE Rate: Male r(UCLA),Pearson Correlation (Unadjusted),0.01984309008625388,,-0.24675307409587818,0.28364706045752774,0.8856629155327274,55,0.000393748224171187
WCST PE Rate,Male Simple Slope,WCST PE Rate: Male UCLA Effect,Stratified Regression (DASS-controlled),0.5491502264720556,0.7707855563256459,-0.9998013406568473,2.0981017936009585,0.4795618441986842,55,0.026359353912996708
