outcome,effect,beta,se,p_value,n,r2,p_adjusted_fdr,significant_fdr
WCST PE Rate (%),ucla_high:gender_male,5.501369911838144,5.265720023379554,0.29963274416607294,81,0.07406541538377076,0.932795329530431,False
"PRP τ (long SOA, ms)",ucla_high,55.27101054754317,56.721887895166205,0.3332028121598577,79,0.04231079729035214,0.932795329530431,False
Stroop Interference (ms),ucla_high:gender_male,98.6765940901363,130.57106583840604,0.452146513343319,85,0.03465477657787275,0.932795329530431,False
Stroop Interference (ms),ucla_high:dass_high:gender_male,-124.63703257957606,196.4417033536409,0.5276772445474782,85,0.03465477657787275,0.932795329530431,False
WCST PE Rate (%),ucla_high:dass_high:gender_male,-4.397796453746449,7.914000305036627,0.5801398256768837,81,0.07406541538377076,0.932795329530431,False
Stroop Interference (ms),dass_high,-61.6913099248272,118.91213879024562,0.6054094013810686,85,0.03465477657787275,0.932795329530431,False
"PRP τ (long SOA, ms)",ucla_high:gender_male,59.722518754035264,144.33300846524222,0.6802982158090436,79,0.04231079729035214,0.932795329530431,False
Stroop Interference (ms),ucla_high:dass_high,53.17980547433586,129.23956250681212,0.6818769572696624,85,0.03465477657787275,0.932795329530431,False
WCST PE Rate (%),ucla_high:dass_high,-1.557174480260532,5.20334491067945,0.765600676326171,81,0.07406541538377076,0.932795329530431,False
"PRP τ (long SOA, ms)",ucla_high:dass_high:gender_male,-43.41568031080875,217.26616014970082,0.8421951296304175,79,0.04231079729035214,0.932795329530431,False
"PRP τ (long SOA, ms)",dass_high,-26.014362296576888,131.57578431937512,0.8438419324902285,79,0.04231079729035214,0.932795329530431,False
WCST PE Rate (%),ucla_high,0.37178364290499966,2.051228815631731,0.8566812184505583,81,0.07406541538377076,0.932795329530431,False
WCST PE Rate (%),dass_high:gender_male,-1.0524846496358784,5.936223391685127,0.8597716112104061,81,0.07406541538377076,0.932795329530431,False
Stroop Interference (ms),gender_male,-6.917485890850399,39.742766860274,0.86228388426191,85,0.03465477657787275,0.932795329530431,False
WCST PE Rate (%),gender_male,-0.2817074302121111,1.6584839028970293,0.8655978583494637,81,0.07406541538377076,0.932795329530431,False
Stroop Interference (ms),ucla_high,8.53639325678144,50.70243438881131,0.8667452906011113,85,0.03465477657787275,0.932795329530431,False
Stroop Interference (ms),dass_high:gender_male,22.02417120902805,147.10371359216342,0.8813831947908224,85,0.03465477657787275,0.932795329530431,False
"PRP τ (long SOA, ms)",ucla_high:dass_high,-20.03063219309933,143.35602409227624,0.8892773588658623,79,0.04231079729035214,0.932795329530431,False
"PRP τ (long SOA, ms)",gender_male,4.977108830379278,44.69835357410319,0.9116584070502084,79,0.04231079729035214,0.932795329530431,False
"PRP τ (long SOA, ms)",dass_high:gender_male,-16.49102300501045,162.5815350974995,0.9194972618361057,79,0.04231079729035214,0.932795329530431,False
WCST PE Rate (%),dass_high,-0.40502653860829196,4.7862005698073755,0.932795329530431,81,0.07406541538377076,0.932795329530431,False
