outcome,outcome_label,gender,ucla_group,dass_group,n,mean,sd,median
pe_rate,WCST PE Rate,Male,High,High,17,9.597961583008257,2.9843679216324674,10.0
pe_rate,WCST PE Rate,Male,High,Low,8,11.847893892211218,6.333322850759188,10.616010006253909
pe_rate,WCST PE Rate,Male,Low,High,11,9.739585109787715,3.554763335408941,10.126582278481012
pe_rate,WCST PE Rate,Male,Low,Low,28,9.567979696854243,3.172805453721322,9.30232558139535
pe_rate,WCST PE Rate,Female,High,High,46,9.340514131260061,3.885826797456579,9.232954545454547
pe_rate,WCST PE Rate,Female,High,Low,14,11.54446370376216,8.033761317304299,9.823576583801124
pe_rate,WCST PE Rate,Female,Low,High,16,11.768371628470833,6.428858811404293,9.26654740608229
pe_rate,WCST PE Rate,Female,Low,Low,30,11.926443021000315,6.845327295573462,10.191496267445633
wcst_accuracy,WCST Accuracy,Male,High,High,17,85.546848770687,4.831157651398984,85.39325842696628
wcst_accuracy,WCST Accuracy,Male,High,Low,8,78.91909607867616,15.549104073300574,83.53658536585365
wcst_accuracy,WCST Accuracy,Male,Low,High,11,84.87347892505022,7.450467724314013,86.20689655172413
wcst_accuracy,WCST Accuracy,Male,Low,Low,28,85.65786436953309,4.099910222414951,86.54320987654322
wcst_accuracy,WCST Accuracy,Female,High,High,46,84.19456990206314,10.263826722868018,86.0994028802248
wcst_accuracy,WCST Accuracy,Female,High,Low,14,77.76059789494661,15.703556704034247,83.81448810478483
wcst_accuracy,WCST Accuracy,Female,Low,High,16,81.54657069145861,7.315277380703172,83.89694041867955
wcst_accuracy,WCST Accuracy,Female,Low,Low,30,79.85219689785154,10.326074464876381,81.70731707317073
prp_bottleneck,PRP Bottleneck,Male,High,High,16,583.305809157659,106.5401124327502,562.7455039797683
prp_bottleneck,PRP Bottleneck,Male,High,Low,8,543.6972581277475,152.68583395705502,547.1262804329483
prp_bottleneck,PRP Bottleneck,Male,Low,High,11,563.698993858653,167.72136712573905,549.4561111111271
prp_bottleneck,PRP Bottleneck,Male,Low,Low,28,500.85396086893394,125.64367628651709,497.34178294781736
prp_bottleneck,PRP Bottleneck,Female,High,High,44,605.0772505367457,157.64771974821892,637.1690535406726
prp_bottleneck,PRP Bottleneck,Female,High,Low,14,703.546879964152,198.230599540125,720.4754809892215
prp_bottleneck,PRP Bottleneck,Female,Low,High,16,563.9494058544215,99.80141616611324,586.093686868672
prp_bottleneck,PRP Bottleneck,Female,Low,Low,29,645.5041785546993,142.33598703135692,658.616287864519
stroop_interference,Stroop Interference,Male,High,High,17,118.92155969147419,91.43438576985906,113.14052287580398
stroop_interference,Stroop Interference,Male,High,Low,8,151.3357364678049,96.02550372545586,165.84690479865037
stroop_interference,Stroop Interference,Male,Low,High,11,147.43806563037225,86.59605700427326,127.23888889948536
stroop_interference,Stroop Interference,Male,Low,Low,28,109.8852528749608,104.78238984338634,106.78601731600708
stroop_interference,Stroop Interference,Female,High,High,46,133.12889485454073,92.51360653441691,112.36944444612084
stroop_interference,Stroop Interference,Female,High,Low,14,197.04770729331423,155.65379031710253,186.14387956441777
stroop_interference,Stroop Interference,Female,Low,High,16,144.21755777303233,86.5059498633616,140.00952380687306
stroop_interference,Stroop Interference,Female,Low,Low,30,153.80973875144613,125.22546685604904,122.43257932710259
