participant_id,n_change_points,cp_rate,n_trials
06qcrpGKL6Vc3LVplFQC90VAcRm1,0,0.0,82
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,0,0.0,75
0d841i8KPjdjwCYfDuUUXj0SEjH2,0,0.0,66
0oa5NYVnIBS9NmrmRAZrahXDctP2,0,0.0,72
146QT9LupyU2BAiTsB3PMIpVXM22,1,1.2987012987012987,77
1Vb7DcXYw9R86bw5qj9eBk9fPqA2,0,0.0,65
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,0,0.0,69
1tT7dcLvf0bMGBdBWWYd8YkdJwr1,1,1.1627906976744187,86
23AEyocWhqY955WHbxhHRSgQ1ms2,0,0.0,83
2h5FgHUEvBS1twD5DqbTIRrMm1f2,0,0.0,91
2zDXvJKvjeejeOSNbtDbtSI5cdz1,0,0.0,71
3WijiOiVCoMbn80F05SPYsxl0TC2,0,0.0,78
3xCaqfcHxRQxuOlEzXz3PNcHODH2,0,0.0,68
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,0,0.0,81
5OOi73igsahMZ5IVKQwwyhnj4Cn2,0,0.0,69
5rXSa3anB5ejmFrnwUsTB82byup1,0,0.0,85
5zxa5CMLGQSSonWOXqXf0QNS3PH3,0,0.0,85
62fAfeQc27bZelkPX7G54T3gvci2,0,0.0,64
6ABZuv4jbjgE0B8TeyUk6nwVb122,0,0.0,86
6WFCyGwk71XLPBmbe4Vav3eotVm1,0,0.0,69
7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,1,1.3157894736842104,76
80UJMJbCOMgs6YVpsMgXfYTzw6o2,0,0.0,70
87w5Le0CgZhSfYAaOH3Xd2fc98l1,0,0.0,115
8bwaafIhKVMNBoHaXFcY8HirS9u2,0,0.0,80
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,0,0.0,93
8mscvscxtXf7EbbLqCyy4a4pl2q2,1,1.3513513513513513,74
9Xz1RIwnPXgyRqmucudW9VeuDnq1,0,0.0,70
9l7DjYLs0XdgwykPZR5E01KTZfu2,0,0.0,72
A9AEg0g6c2P1Bk72HLmnK3oWJ9B2,0,0.0,80
ASGvwW80q7VY7xFaLGZhVuErUQu2,0,0.0,79
AUKCfn4HzgVB7m6LNnh2gQb7G5s2,0,0.0,91
AsXBOflrszVNKoFqbN61bMJqS0k2,0,0.0,105
AyAnuCaltBbpEYbudoyNzTvXlcC2,1,0.9345794392523363,107
BbwUTWswjtPWhb5DvLAmh9Hdpyl2,0,0.0,92
BcCTlXWx6ARh4rBtkdWRgZH3C7H2,0,0.0,77
CDEoAyvS8feXLKMKsaZah9agEhF3,0,0.0,65
CGyTPhevTbSvVnZ8qSP0NtWuhgw1,0,0.0,90
CUNlBEszJVRGK1jWlTaOaCqpDg53,0,0.0,75
Cbkx2NHyF3NrebzXGqNgSfiWent1,0,0.0,71
Co587hoelyeANqFX7AYvuVQW0lZ2,0,0.0,82
CtJe4bZZnYUBNrcPk00d3YQFSGp2,0,0.0,79
DAKDKPH698P12JfTbbjemLI6PIH2,0,0.0,83
DPvStUYSmohmXwFwaKRqHv89R3k1,0,0.0,63
DaRehVxIOhXtEtUExdgvUl0mKcx2,0,0.0,122
Df83JuPuJkXqTGbENhM2gw5SJM43,0,0.0,88
DzB19GqCB7fyrlEPexogWkjFzEx2,0,0.0,78
EEodWwGh0wWq5f8JmzfKvq0lyeu1,0,0.0,93
EUhcW9kURScie1DwGPHqmNqotJB2,0,0.0,126
EmfmKFDgWJdW47a6CNTNjnbYaPh2,0,0.0,82
EoToosG69XMp4LTYdB6sB9WTrv22,0,0.0,62
Fz7EUjZCLuUBxLDUVtN6djaBTy42,0,0.0,82
G1Ff3XYUZMRsPafyEQ80ussnVlf1,0,0.0,128
G9VruXninjUdE9czK2DambZl5li2,0,0.0,97
GDZGRW51kbWtAdUIHCtEd8sAtqY2,0,0.0,82
GE4hogtdLdTFbNasENgtm6SO3hC3,0,0.0,67
GEwkBw3YHaNp3TCh9YS9PKVfavz1,0,0.0,75
HSggdq91WiQp16bOj7V3dABkcgk2,0,0.0,89
HbydnnT1hUP3WagAy2TJAc6GqVs2,0,0.0,65
HyQM2xKwwuVfqidmRYF6TiRk90C2,0,0.0,83
IaTJhUGICmO9xcL3605RW8QHneN2,0,0.0,108
JntnHLHjYhc0xJJQALM3h9R5Ozv1,0,0.0,75
Jp6aXC9KLjcFZBaQdZl4i9dUscl1,0,0.0,60
K26uNuY0VNPjJNF26wEx3bFg0kr2,0,0.0,70
K7ykiXe6CqQUKpEzs2nYrMTVuDA2,1,1.2048192771084338,83
LSLmd8jENtONZFVkIpRDX665Bu73,0,0.0,82
Lhv9P8ZrkDSIB7BGwooAqfu8SGF3,0,0.0,70
LliUMEIsrCVZ88YFQfevan2Og4z1,0,0.0,96
M4Km1Q2P2oPliChDQkwl6k20FUI3,0,0.0,93
MMSYeiMQi3gMr4PrXQcpXzFiegj2,0,0.0,108
O61Eik2zvrSQLMNpFbTNEgjWwMr2,1,1.282051282051282,78
